English,Turkish
Logger,
Mods,Modlar
Platforms,Platformlar
Foundation,Temel
Life,Yaşam
Gameplay,
Future,
Complete,
Operation,
Nations,Milletler
User Exp,Tecrübe puanı
In Progress,
Incomplete,
Fix the constitution,
Constitutional Amendsments,
amend me please,
Propose Constitutional Amendment,
This should fix it,
Fix all our problems,
This is to amend a hastily and poorly written constituion.,
Eco Laws and rights,
Enter Description,
Article,
Law and rights,
Create Work Parties,
Carpentry Research,
"Upon completion, receive",
with,
paid in tax,
Lumberjacks,
Propose Demographics,
Lumberjacks would chop wood if they could.,
Commercial District,
Bankers District,
Nature Reserve,
Enviroement Data,
Craftsman District,
Dock and shipping,
Goverment District,
Undisputed Ruler,
Eligible Candidates,
Who Can Remove From Office,
Propose Elected Title,
Required Of Candidates,
Has Government Banking Privileges,
Required OfOffice Holders,
Leader of the eco world,
Can Set Global Markers,
Consecutive Terms Allowed,
Can Use Treasury Bank Account,
Term Limit Days,
Can Elections Be Proposed During Term,
Can Set Global Objectives,
Total Term Allowed,
Can Set Treasury Taxes,
Board of Elections,
Active Election Process,
Draft Election Process,
Election Processes on this Board Of Elections,
Executive office,
Execute Action,
Eld Protection Act,
Pollution Reduction Act,
Laws on this Court,
Suvivalist,
Dining Room,
Carpenter Specialties,
Logging Specialty,
Wood is useful source and cutting down trees is a skill anyone can appreciate. Level by felling trees and clearing debris.,
Logging Level,
Carpenter Profession,
Default Currency,
Show All Currencies,
Lord of Earth,
<Enter Name>,
<Enter Description>,
Public Crating Stations,
Infinty,
Amount to Craft:,
Mint Item:,
's lawn,
After,
additional PPM.,
"ppm, the temperature level will raise",
Raises atmosphere CO2 by approximately,
every,
degree for every,
meter for every,
"ppm, the sea level will raise",
tons of CO2 per hour.,
tonnes of CO2,
Average room Tier: you have,
m3,
tons of CO2,
"When enabled, pullutes",
Your objects in the room use,
out of needed,
uses,
Lifetime pollution:,
of,
's Workbench,
's Mechanical Water Pump,
Water per second.,
calories of,
's Carpentry table,
labor on,
at,
at or above level,
labor.,işçilik.
Perform,
change Any Law,
You may,
at any,
You may vote in elections to,
immediately at any,
may do so immediately.,
may propose an election of type,
This Constitution is currently under election to be ratified:,
Ratify Eco,
's Truck,
labor at,
Location:,
Contract State:,
Move items from,
State:,
Contractor:,
Laborers:,İşçiler:
Deposit,
's Crane,
Credits in Use,
allow voting,
change Election Process,
immediataly at any,
By civic articles,
or in theworld webpage,
Law Changes By Election,
Courthouse,
Logged in. Located at,
House value:,
skill/day,beceri/gün
Esteemed,
User ID:,
Map name,
m SE,
Add New Entry,
m E,
m NE,
Show Government Accounts,
Title Holders,Ünvan Sahipleri
Else...,
Burnable,
Baked Food,
"Hello, World!",
Enter description here.,
Total:,
more recipes,
change Contitutional Amendments:,
To,
Election Guidelines,
{0}'s Truck,
New Text,
Advanced Updated {0},
Decreases resource cost for the table work order by,
Decreases craft time for the table work orders by,
Decreases resource cost for the table work order created with,
Decreases craft time for the table work orders created with,
Unknown,
filter,
Wool that has been shorn from an animal.,
Explorer Shirt,
Explorer Pants,
Explorer Hat,
Explorer Gloves,
Explorer Belt,
Chef Shoes,
Chef Shirt,
Chef Pants,
Chef Hat,
Terrestrial Animals,
Aquatic Animals,
Habitability,
"Difficulty setting {0} has invalid value ""{1}"", using ""{2}"" instead",
"Can't send string as localizable, because it has too many arguments: {0}. Max: {1}. Converted to server-localized string: {2}.",
law,
Nothing Selected,
The server crashed with error '{0}' and you can't play. Check logs in 'Eco_Data\\Server\\Logs' for more information.,
Failed to start the server. Exception was {0},
{0} plots {1} sq.m.,
{0} days/sec,
Carpentry Level,
Bighorn Sheep,
Blue Shark Species,
Graph,Grafik
Days,
Arctic Willow Species,
Bison Species,
Agave Species,
Alligator Species,
Clear Categories,Kategorileri Temizle
Pre-Made Graphs,Önceden Hazırlanmış Grafikler
Bullrush Species,
Coyote Species,
Player Actions,
Crab Species,
Bass Species,
Bighorn Sheep Species,
Deer Species,
Agouti Species,
Cod Species,
Civic Maps,
District Map {0},
(Removed),
GrassBlock,
Total soil moisture:,
Nitrogen:,
Phosphorus:,
Potassium:,
celsius,
"Chef Profession, Advanced Baking Specialty",
{0}%,
District Map,
Backup Owner,
Last Config Version,
Config Version,
Rent Enabled,
Snapping Turtle,
Mountain Goat,
A pointed metal fastener used in crafting to attach pieces of material together.,
Fertilizer,
(No penalty for room count because of residents number: {0}),
{0} payment type changed from {1} to {2}.,
"If this entry is removed, then all the property that belongs it will be transferred to this backup owner.  (Note: if this backup owner is invalid, then the property will become unowned.)",
{0} is outdated. All data was migrated to the new version.,
"A game of Eco takes place over multiple days, with the world simulating even while offline. We can match you with the best worlds by finding servers that have similar playtimes.",
Digging mode,
Driving mode,
Rotate Platform,
Boom Down+Pull/Up+Push,
Boom Down/Up,
Boom Pull/Push,
Rotate Scoop,
Dump Contents,
Use module,
Hold to Dig,
Arm Down/Up,
{0}st,
{0}nd,
{0}rd,
{0}th,
Skill Points,Yetenek Puanları
Summation,
Substraction,
Multiplication,
Division,
Modulo,
Max Active Players,
Exhaustion After Hours,
Is Limiting Hours,
"Max hours a user can play per day. After their allotted time, they can still play but not expend calories with work.  0 means no limit.",
Education,Eğitim
Achievement,
Only tax destinations are allowed (players with government banking privileges can create such bank accounts).,Sadece vergi gönderimine izin verilir (devlet bankası ayrıcalıklarına sahip olan oyuncular bu tür banka hesapları oluşturabilir).
Tuition,
Crafting Payment,
Crafting Refund,
A person who is a resident on the property.,
A person who is a resident and not an owner.,
A person who is an owner on a property where there are non-owning renters.,
"A person who has been invited to become a resident, but is not yet one (and not an owner).",
A person who owns the property.,
Rent Cost,
Median,
Deed Removed,
"An animal or a plant was damaged, but not destroyed.",
An animal or a plant was destroyed.,
School,
Overlaps District,
Self Taught,
Educated,
Dropped Out,
Expelled,
Legacy,
RconPlugin,
serverui,
Hashed Password,Değiştirilmiş Şifre
Detailed Description,Detaylı Açıklama
Server Category,Sunucu Kategorisi
Game Server Port,Oyun Sunucu Portu
Web Server Port,Site Sunucu Portu
Rcon Server Port,
Rcon IPAddress,
Rcon Password,
Max Connections,Maksimum Bağlantı
The value must start with http:// or https://.,Değer http:// veya https:// ile başlamalıdır.
Bind port for RCON traffic.  TCP only.  Requires a restart to take effect. More info available here: https://wiki.play.eco/en/RCON,
RCON IP Address for the traffic. If not specified then Any (0.0.0.0) address will be used. Requires a restart to take effect. More info available here: https://wiki.play.eco/en/RCON,
Password for authenticating incoming RCON traffic. A password must be provided to enable RCON support. More info available here: https://wiki.play.eco/en/RCON,
world,
Commands related to world stuff.,
Education Enabled,
Food Variety Multiplier Enabled,
Food Tastiness Multiplier Enabled,
Allows players to rent access to a given deed from one another when enabled.,
"When enabled, the variety of food you eat will provide a bonus.",
"When enabled, each player has unique preferences for each type of food that yields a bonus, and periodic 'cravings' will emerge for an additional bonus.",
Log Missed Strings,Günlük eksik stringler
Track Missed String,Kaçırılan dizeyi takip et
Missing localization strings logging behavior,Eksik lokalizasyon dizeleri logging davranışı
Missed strings tracking behavior,Eksik dizeleri takip etme davranışı
fastforward,hızlı ileri
ff,
education,
"Set education value (0 to 1) for a skill (default to 1), giving the skill if the user doesn't have it.  If no target user is set, apply to self.",
skillName,yetenekAdı
Gives a skill matching the given name.,
talentdel,
talentName,
cleartalents,
point,
dinnerbell,
animal,hayvan
unpollute,
fullReplacement,
removedeadplants,ölü bitkileri kaldır
plant,bitki
forcecollectglobalstats,
globalstats,
Force global stats to collect now. Updates world progress stats as well.,
allplants,tüm bitkiler
resetworldcaches,dünya belleğini sıfırla
tp,
yOrZ,
tpto,
fgive,
addvoid,
distance,
evict,
resident,yerli
res,
bt,
bm,
chat,sohbet
clearhistoryolderthan,
preserveDays,
language,dil
showsupportedlanguages,desteklenen dilleri göster
freecar,
calculate,
calc,
Evaluates provided math expression,
expression,
achievement4,
Achievement4,
Tier,Kademe
Stars To Self Teach,
Stars To Be Taught,
Stars To Become Teacher,
Calories To Teach,
Calories To Learn,
Time To Learn Hours,
Classroom Tier Required,
Can Be Educated,
settlement,
ownit,
Optional amount charged upon move-in for new residents.,
A list of citizens and demographics that may join as residents.  Only the owner of the property can set this list.,
Commands for changing things about users.,
energize,
Provide a user with extra hours they can use to perform labor when exhauasted.  Can be negative to remove previously granted energy.,
exhaust,
Force a user to be exhausted for the remainder of the day.,
SLGAccount Name,
SLGAccount Password,
Movement Hack Detection,
The user account associated with this server. This is public knowledge and shared with clients.  Setting this will allow achievements earned by players on this server to be visible in other servers (as well as future features to come). Visti play.eco to link your steam account or create a new account.,
Password for the above SLG account.,
When enabled users who likely cheat movement will be identified and kicked from server (beta - may identify non-cheating users as cheaters and disconnect),
nameOrID,
unban,
mute,sesini kapatmak
unmute,sesini açmak
unwhitelist,
removeadmin,
kickUser,
whoami,
whois,
listusers,
listadmins,
ignore,görmezden gelmek
ignoreUser,
markglobal,
removenearestglobalmark,
crave,
"Force a craving on a given user (self if untargeted user, random food if not set)",
foodName,
Efficiency Modules,Verimlilik Modülleri
Hidden/Research,Gizli/Araştırma
housing,
"Which category this room evaluates to, based on the furniture it contains",
"The computed value of the object towards skill, which gets reduced based on room state.",
Multiple furniture of the same type will provide diminishing returns.,
Multiple furnishings of the same type will be reduced by this percent with each additional object.,
Scale,
Applies To Property Type,
"If this is a teacher workstation, put the tier in this value.",
"If this is a student workstation, put the tier in this value.",
Each workstation needs 'support' matching its tier value.,
"For support objects, this many repeats will still provide value in a classroom.",
"Increases learning speed by this multiplier, summing with other furnishings.",
Increase calorie efficiency for studying by this multiplier in this classroom.,
Increase calorie efficiency for teaching by this multiplier in this classroom.,
Stars Used,
Method Learned,
Number of stars used.,
Was the skill gained by self-teaching or education?,
Create Tree Debris,
A citizen felled a tree and created debris,
The citizen who chopped down the tree that is generating debris.,
The average location of the debris.,
The number of debris blocks created in this action.,
Open Door Action,
Student,
Teacher,Öğretmen
Student enrolling.,
"The teacher, if one is assigned.",
Tuition Fee,
Tuition Currency,
Teacher Percent,
Subject Being Taught,
Enroll Action,
A student enrolled in a class.,
"Tuition fee, held in escrow.",
Currency which tuition is charged in.,
Percent of tuition to be held for teacher.,
The subject being taught in this class.,
Tuition Fee Total,
Tuition Fee Paid To Teacher,
Tuition Fee Paid To Owner,
Tuition Fee Refunded,
"Final tuition fee (prorated if left early), in total.",
Tuition paid to teacher.,
Tuition paid to table owner.,
"Tuition refunded to the student, if left early.",
Complete Class,
A student completed a class successfully.,
Completion Reason,
Left Class,
A student left or was removed from a class.,
Describes why the student left the class.,
String,Dize
Hours Between Executions,İnfazlar arasındaki saatler
Repeat For Each User,
Currency And Amount Game Values,
offers,teklifler
addaccountmanager,hesap yöneticisi ekle
removeaccountmanager,hesap yöneticisini kaldır
addaccountuser,hesap kullanıcısı ekle
removeaccountuser,hesap kullanıcısını kaldır
createaccount,hesap oluştur
deleteaccount,hesabı sil
setaccountowner,
gabe,
allrecurring,
myrecurring,
specifiedUser,
meteor,
addhours,
makevisible,
Education Context,
The student being educated.,
The teacher of the class.,
Students,
Subject Type,
Student Requirements,
Teacher Requirements,
Percent Of Tuition Earned,
Min Students Before Teaching,
"Requirements that must be satisfied throughout the course. If the student fails to maintain these requirements, they will be expelled.",
"If set, students will be charged this amount upon enrollment, which will be held in Escrow until completion or unerollment, upon which it will be split with the teacher and the owner's bank account.  Students that leave class before completion will have a prorated amount refunded.  Students who have a partial education when joining will be charged a prorated tuition.",
"Requirements that must be satisfied throughout the course. If the teacher fails to maintain these requirements, they will be removed.",
Thie percentage of tuition will be paid to the teacher when a student finishes a course or unenrolls.,
"Teaching will not begin until this many students are enrolled and have met the calorie requirements for studying.  This is to limit the calorie expenditure of the teacher, which is the same regardless of the number of students being taught.",
"Teaching requires labor, paid in advance in the form of calories. When students are enrolled and have studied, their queued 'study' calories and the teachers queued 'teaching' calories will tick down together, while their education rises.",
fin,
Location To Display,
Affects where the message will be displayed.,
Total Terms Allowed,
Can Set Global Objective,
Immigrant,
The immigrant applying to become a citizen.,
A set of rules for how immigrants may become citizens of a settlement.,
Game Value Wrapper,
Game Value Context,
Comparison,Karşılaştırma
Not Value,Değer değil
Arithmetic operations on other values from the world.,Dünyadaki diğer değerler üzerinde aritmetik işlemler.
Target citizen's personal bank account.,
Definition,
Variable's text representation.,
Variable's value that will be used in calculations.,
Formula,
Where,
Text Formula,
"Calculates a formula written out in text, using variables defined below.",
"The formula to compute. Can use operators +,-,*,/,%,^,(). Can use variables: add a name and you'll have the option to auto-create them from the tooltip.",
Round Type,
Round To Multiple,
Thresholds,
Progressive Percent,
"Choose a percent based on increasing thresholds, like tax-brackets.",
Value to query.,
List of threshold to query progressive percent value.,
Threshold,
Statistical queries of the world.,Dünyanın istatistiksel sorguları.
Species Types,Tür çeşitleri
Statistic,İstatistikler
Custom Stat Name,Özel istatistik adı
Time Range In Hours,Saat olarak zaman aralığı
Time Range Type,Zaman aralığı türü
"The name of the stat that will be recorded, creating it if it doesn't exist. Case insensitive.",
Matches Currency,Para birimi ile eşleşir
Authorized Or Not,Yetkili veya değil
Ignore Government Owned,Devlete ait olanları yoksay
Weight By Percent Owned,
Stats about players.,
Within Last Number Of Days,
Population Type,
Defines what kind of population will be queried.,
House Value,
Defines what kind of house value will be queried.,
The list of districts to query.,
Queries population overlapping or contained in specific districts.,
Population At Location,
Population values at given location.,
Location to query population.,
Population At District,
Population values relative to districts.,
The relation of resident's property and the districts.,
House Value At Location,
Get a value related to housing at a given location.,
Location to check house value of.,
Analysis Type,
Property Relation Type,
House Value At Districts,
Get a value related to housing at given districts.,
Defines what analysis of the data you want to perform.,
Resident Type,
Is Resident Type,
"Check if a citizen is a resident, renter, owner, or invited on a given property",
Defines the resident type to check for.,
Sections,
Property Location,
Invite Or Rescind,
Show Achievements At Trust Level,
Only achievements earned on other servers this level of trust and up will be shown in the game.,
CO2 Total Delta,
Temperature Total Delta,
Sea Level Total Delta,
Layer Type,Katman Türü
Subcategory,
Habitability Layer,Yaşanabilirlik Oranı
Species Change Rate,Tür Değişim Oranı
Is Terrestrial,
Decay Rate Flat,Azalma Oranı Sabit
Decay Rate Percent,Bozulma Oranı Yüzdesi
Zero At Height Diff,
Source Influence Rate,Kaynak Tesir Oranı
Base Layer Name,Ana Katman İsmi
Height Layer Name,Yükseklik Katman İsmi
Celsius Range,
Init Multiplier,Birim Çarpanı
Sync To Client,İstemciye Eşle
Override Render Range,
Min Color,Min Renk
Max Color,Maks Renk
Sum Relevant,Toplam Bağıntısı
Category Name,
Visible,
Render Range,İşleme Menzili
Value Type,Değer Türü
Area Description,Bölge Açıklaması
Initial Oxygen Percent,Başlangıç Oksijen Yüzdesi
Initial Nitrogen Percent,Başlangıç Nitrojen Yüzdesi
Atmosphere Display Enabled,Atmosfer Görüntüsü Etkin
Pollution Multiplier,Kirlilik Çarpanı
Sea Level Sim Enabled,Deniz Seviyesi Simulasyonu Aktive Edildi
Temperature Sim Enabled,Sıcaklık Simulasyonu Aktive Edildi
Max Sea Level Rise,Maksimum Deniz Seviyesi Artışı
Max Temperature Rise,Maksimum Sıcaklık Artışı
Max Sea Level Rise Rate Per Day,Günlük Maksimum Deniz Seviyesi Artış Oranı
Max Temperature Change Per Day,Günlük Maksimum Sıcaklık Artışı Değişimi
Pollution Per Tailing Per Tick,Tortu ve Tık Başına Kirlilik
Max Debris Blocks,Maksimum Yığın Blokları
Climate Settings,İklim Ayarları
Push To World,Dünyaya Zorla
Pull From World,Dünyadan Çıkart
Animal Behavior Lodding,
Base Skill Gain Rate,Temel Beceri Kazanım Oranı
Skill Damage Multiplier,Beceri Hasarı Çarpanı
Record Layer History,Katman Geçmişini Kaydet
Layer History Backups Per Day,Günlük Katman Geçmişi Yedeklemeleri
Time Of Day Scale,Günün Saati Ölçeği
Group By Essential Fields,
Group By All Fields,
Dont Group,
Stats Grouping Days,
Max Records To Group,
Keep Details Hours,
Rebuild Database On Exit,
Grouping Level,
"How old records can be grouped. It means it will try to process all last X days of records to group them. Usually you want to have this number low (1-2) in order to avoid process already processed records, but you can set high value (by example world age) in order to process at once all records from some old save with disabled grouping.",
"Max count of records that will be proccesed at once hourly. For reference, server with 100 players may reach 1.000.000 records per day. Usually 500.000 (default) should be ok, but you may want to tweak it if you have incredibly big count of records or if you are facing lag while it groups records.",
Most recent records wont be processed in order to have more exact values for laws like 'Users who in last 1 hour claimed plots ...'. You may want to tweak this value to increase this support.,
"It rebuilds database file at the moment of exiting the application. It may reduce space of stats file, but it will increase the time needed to exit.",
"Level of grouping data. Essential fields means only citizen, i.e, it may group action of 'drop rubble' and 'drop garbage' for same citizen. Currently othey fields are not used, so it should be good enough. But in the future there are may be another features with database, which may requiere another properties.",
Radius of initial seed points. Influences cell size.,
Percentage of the world to create as land. Rest will be ocean.,
Number of cells to place as coastline.,
Number of cells to place as shallow ocean near the coast.,
Weight of land to spawn for the desert biome.,
Weight of land to spawn for the warm forest biome.,
Weight of land to spawn for the cold forest biome.,
Weight of land to spawn for the taiga biome.,
Weight of land to spawn for the tundra biome.,
Weight of land to spawn for the ice biome.,
Weight of land to spawn for the rainforest biome.,
Weight of land to spawn for the wetland biome.,
Weight of land to spawn for the steppe biome.,
Weight of land to spawn for the high desert biome.,
Number of continents to spawn.,
Range that continents avoid other land masses.,
Weight of land to spawn as smaller islands.,
Min number of smaller islands to spawn.,
Range that islands avoid other land masses.,
Minimum number of rainforest biomes to spawn. Multiple biomes can merge into one larger biome.,
Minimum number of warm forest biomes to spawn. Multiple biomes can merge into one larger biome.,
Minimum number of cool forest biomes to spawn. Multiple biomes can merge into one larger biome.,
Minimum number of taiga biomes to spawn. Multiple biomes can merge into one larger biome.,
Minimum number of tundra biomes to spawn. Multiple biomes can merge into one larger biome.,
Minimum number of ice biomes to spawn. Multiple biomes can merge into one larger biome.,
Minimum number of desert biomes to spawn. Multiple biomes can merge into one larger biome.,
Minimum number of wetland biomes to spawn. Multiple biomes can merge into one larger biome.,
Minimum number of high desert biomes to spawn. Multiple biomes can merge into one larger biome.,
Minimum number of steppe biomes to spawn. Multiple biomes can merge into one larger biome.,
Size range to spawn lakes.,
Number lakes to spawn.,
Number of rivers to spawn.,
Distance in meters that rivers avoid themselves or other rivers.,
Approximate width of rivers.,
The distance in meters from the ocean where the maximum world elevation is allowed. (x in the elevation equation [(d*x)^y]),
The power or rate of change in elevation from the ocean. (y in the elevation equation [(d*x)^y]),
"Autoscales features based on world size compared to default (720). Internally affects the number of biomes and continent size. For finer control of larger worlds, disable this feature.",
Power used in the autoscale function (worldSize / defaultWorldSize) ^ exponent,
Whether or not to save an image of the terrain after generation.,
Water Level,Su Seviyesi
Heightmap Module,Yükseklik Haritası Modülü
Water Module,Su Modülü
Rainfall Module,Yağış Miktarı Modülü
Temperature Module,Sıcaklık Modülü
Terrain Module,Arazi Modülü
Voxel Size,Voksel Boyutu
Frequency Scale,Frekans Boyutu
Size Description,Boyut Açıklaması
May be used to specify weight variance. Every time when new block generated it's direction weight will be increased by random value from range [0; direction variance).,
sea,
Explorer Boots,
Beaver Carcass,
Marmot Carcass,
Prairie Dog Carcass,
Tailoring Modern Upgrade,
Blackboard,
Canning Assembly,
Cast Iron Bed,
Cast Iron Bench,
Cast Iron Chair,
Cast Iron Royal Bed,
Cast Iron Table,
Elevator Call Post,
Feminine Mannequin,
Hewn Dresser,
Hewn Nightstand,
Huge Banner Sign,
Huge Iron Banner Sign,
Huge Iron Sign,
Huge Steel Banner Sign,
Huge Steel Sign,
Huge Wooden Banner Sign,
Large Wooden Bookshelf,
Limestone Podium,
Masculine Mannequin,
Plastic Bench Blue,
Plastic Bench Green,
Plastic Bench Red,
Plastic Chair Blue,
Plastic Chair Green,
Plastic Chair Red,
Plastic Table Blue,
Plastic Table Green,
Plastic Table Red,
Pottery Table,
Small Meeting Chair,
Small Meeting Table,
Steel Abstract Fixture,
Steel Hanging Fixture,
Steel Hanging Lamp,
Steel Kitchen Lamp,
Steel Podium,
Steel Row Seating,
Steel Searchlight,
Steel Square Fixture,
Wooden Podium,
Amanita Mushroom Species,
Barrel Cactus Species,
Beans Species,
Beets Species,
Big Bluestem Species,
Birch Species,
Bolete Mushroom Species,
Bunchgrass Species,
Buttonbush Species,
Camas Species,
Cedar Species,
Ceiba Species,
Clam Species,
Common Grass Species,
Cookeina Mushroom Species,
Corn Species,
Cotton Species,
Creosote Bush Species,
Crimini Mushroom Species,
Deer Lichen Species,
Desert Moss Species,
Dwarf Willow Species,
Fern Species,
Filmy Fern Species,
Fir Species,
Fireweed Species,
Heliconia Species,
Huckleberry Species,
Jointfir Species,
Joshua Species,
Kelp Species,
King Fern Species,
Lattice Mushroom Species,
Lupine Species,
Oak Species,
Ocean Spray Species,
Old Growth Redwood Species,
Orchid Species,
Palm Species,
Papaya Species,
Peat Moss Species,
Pineapple Species,
Pitcher Plant Species,
Prickly Pear Species,
Pumpkin Species,
Redwood Species,
Rice Species,
Saguaro Cactus Species,
Salal Species,
Saxifrage Species,
Seagrass Species,
Spruce Species,
Sunflower Species,
Switchgrass Species,
Taro Species,
Tomatoes Species,
Trillium Species,
Urchin Species,
Waterweed Species,
Wheat Species,
White Bursage Species,
Max Professions per Citizen: {0},
Max Specialties per Citizen: {0},
Over-Specialization Rate: {0},
Desired Max Users: {0},
{0} star: {1},
World Skill Settings,
"0% means users get the bare-minimum number based on targeted number of players, each specialty going to each person once.  100% means everyone gets every specailty.",
Tier {0} Skills,
XP Needed For Each Star,
Each additional star after these costs {0} more than the previous.,
A device with a rotating drum that is used to shape molten synthetic materials into thin ribbons.,
Spices,
Food Storage,
Fireplace,
Food Preparation,
A device for making fabric by weaving yarn or thread.,
A large corrugated steel door.,
Used to call a nearby elevator.,
A corrugated steel door with fence-like viewing slots.,
A secure door made of hard corrugated steel.,
An automated device for making fabric by weaving yarn or thread.,
Fountain,
Clean Medium Fish,
Clean Large Fish,
Campfire Fish Medium,
Campfire Fish Large,
Butcher Medium Wooly Animal,
Tailoring Basic Upgrades,
Basic Upgrade that greatly increases efficiency when crafting Tailoring recipes,
Modern Upgrade that greatly increases efficiency when crafting Tailoring recipes,
"Spun wool that can be used for knitting, weaving, or sewing.",
"Wool fabric is warm and durable, but it can be slightly itchy.",
A dead prairie dog.,
Synthetic thread that has more resistance to abrasion than more natural threads.,
A synthetic fabric that is desired for its durability and cheap cost to produce.,
Nylon is a synthetic polymer that can be used as a cheap alternative to more natural textiles.,
A dead marmot.,
Cotton fiber that has been processed at a cotton gin and is ready to be used for textiles.,
"Cotton fabric is valued for its light weight, breathability, and softness.",
A dead beaver.,
A form-fitting vest and tie ensemble which includes measuring tape.,
Tailored slacks that fit just right.,
A stylish bowler hat made of tighly spun fur felt.,
Denim pants with knee patches.,
A reinforced wrist guard paired with a lone work glove.,
A thick leather apron that provides protection from the ocassional chunk of flying metal when hammering on an anvil.,
A long-sleeved flannel shirt that is often worn when working outdoors.,
Comfortable denim overalls to help with the frequent bending over that comes with farm work.,
A wide-brimmed straw hat designed to provide protection from the sun.,
Water-resistant nylon gloves with textured palms for increased grip.,
A short sleeved work shirt made from a blend of cotton and synthetic materials.,
Durable overalls with cargo pockets and hammer loops.,
A plastic hard hat that protects from falling objects and other hazards found in construction sites.,
Leather construction gloves with durable palms and fabric backs for breathability.,
A woven wool floor covering attached to a lumber backing.,
A woven nylon floor covering attached to a lumber backing.,
A woven cotton floor covering attached to a lumber backing.,
Prairie Dog,
Marmot,
Beaver,
PrairieDog Capacity,
Marmot Capacity,
Beaver Capacity,
Existence,
You logged in at {0} after server start!,
You used a mod that had a custom achievement (this one).,
Closed,
You are not authorized to Open/Close this door.,
This door has an invalid status and cannot be opened.,
harvest a plant,
harvesting a plant,
Wall 3 Point,
Wall 2 Point,
Could not find height map. Using default setting.,
Saving image to {0},
Description: Shows a preview of the terrain with the current properties.,
Rivers & Lakes,
Update Preview,
Open Storage,
Randomize Seed,
Documentation:,
Generating terrain preview,
Insufficient amount of operands.,
Missing {0},
Provided expression is empty.,
Missing opening bracket.,
Missing operator?,
{0} is not implemented.,
Unable to perform {0} operation between {1} and {2}. The result is {3}.,
Unable to get value of {0},
Insufficient amount of operators.,
not a number,
infinity,
an,
a,
Control-click: multiply input by {0}\nAlt-click: multiply input by {1}.,
RCON,
PlayerDefaults Required and Not Found. It will cause errors in runtime.,
"Unstuck disabled, try again in {0} seconds.",
"Time for inserting with parallelCount = {0}, statsCountPerParallel = {1} and bulk = {2} is {3}",
Inserts records to DB to get perfomance information on it.,
Send multiple chat messages over time to test scrolling,
"You naturally like some foods better than others, and when you eat more of those foods you like you get a multiplier to your skills.",
Tastiness Bonus: {0} (Calorie-Weigthed Average of bonuses),
"(Everyone has different tastes, determined randomly, and discovered by eating.  You have one favorite and one least favorite food.)",
{0} discovered their favorite food ever: {1},
{0} discovered their most hated food ever: {1},
worse than anything,
horrible,
bad,
good,
delicious,
better than anything,
least favorite,
favorite,
Food Eaten in the Last Day,
It's the worst thing you've ever tasted.,
It tastes horrible.,
It tastes good.,
It's delicious!,
It's the best food you've ever tasted!,
{0} of diet ({1} calories eaten),
ok,
It tastes ok.,
Subtotal:{0},
Balanced Diet Bonus,
Food Variety Multiplier,
Food Tastiness Multiplier,
You ate {0} for {1} calories. {2},
Nutrition now provides {0} skill per day ({1}).,
Variety Bonus,
Tastiness Bonus,
You've eaten {0} differrent types of food in the last 24 hours of at least {1} calories of each:,
Bonus: {0},
The number of different foods you eat gives you a multiplier to the value of your food.,
Craving for {0} was set on {1}.,
That really hit the spot - your craving has been satisfied!,
You got a craving for {0}.,
You could really go for some {0} right about now.,
You can't stop thinking about {0}.,
Some {0} would really taste good right now.,
You got a hankering for {0}.,
You are hungry for some {0}.,
Inventory only accepts {0}.,
There is no room for this type of resource.,
Inventory doesn't accept items.,
Inventory only accepts carried items.,
Inventory only accepts non-carried items.,
Inventory is too heavy.,
Inventory only accepts fuel.,
Inventory only accepts seeds.,
Inventory only accepts clothing items fitting that slot.,
Not enough room in inventory.,
"- {0}, can teach tier {1} subjects.",
Ignored an extra {0}. Only {1} allowed of this type.,
No student workstations in room.,
{0} unsupported: Add more education support furnishings to room.,
"(Tier is calculated as the minimum of student workstation tier ({0}), teacher's desk tier ({1}), and room tier ({2}))",
Located at {0},
"(Each student workstation needs +1 support per tier, which comes from other education furnishings in the room.)",
School Room Score: {0},
Non-Functioning {0},
No teacher's desk in room.,
"Too many teacher's desks in room, only one allowed.",
Education Furnishings,
Education Support,
Classroom Bonuses,
Errors,
Classroom,
{0} support,
{0} learning,
{0} studying,
{0} teaching,
Classroom can teach up Tier {0} subjects.,
"{0}, can learn tier {1} subjects.",
Support required:  {0} ({1} {2} * tier {3}),
Support available: {0},
+ {0} to Learning Speed Efficiency,
+ {0} to Studying Calorie Efficiency,
+ {0} to Teaching Calorie Efficiency,
Tier {0} {1} for {2},
bonus,
repeat,
student,
Classroom {0},
School - {0},
classroom,
Room Category: {0},
XP per day,
Furniture Type: {0},
Warning: work list must not be empty!,
Set Requirements,
Setup Payment for Work Party,
{0} granted {1}.,
{0} as {1},
{0} of the following must be true: {1}{2},
Number of {0} {1} {2},
{0} value at {1},
{0} {1} value {2} {3},
{0} is a {1},
{0} is not {1},
Total: {0},
effective percent = {0}%,
The formula has no variables.,
{0} (result of {1}),
Click {0},
{0} of {1},
{0} must stand after {1},
Progressive percent of {0},
Variables declared multiple times,
Unused variables,
to remove unused variables,
Undeclared variables,
to add undeclared variables,
Progressive percent,
Wrong order,
Change reputation of {0} by {1} with message '{2}'.,
Transferring {0} from {1} to {2}.,
Transfer {0} from {1} to {2} {3}.,
Try transfer {0} from {1} to {2}.,
Paying {0} {1} from {2}.,
Pay {0} {1} from {2} {3}.,
Try to pay {0} {1} from {2}.,
Collecting tax of {0} from {1} into {2}.,
