English,Japanese
A sturdy iron wheel that can support heavier vehicles than early wooden wheels.,
A disc shaped iron saw that can be attached to rotary machines to shape wood products.,
A solid iron plate for use in various crafting recipes.,さまざまな製作レシピに使用される固い鉄板。
A rotating iron rod that can be fixed to wheels for use in vehicles.,
In order to be usable it needs to be reinforced.,
A vessel used for heating fluids.,
A baked bun filled with tasty meat and mushrooms.,
An extra fatty leavened dough for making yummy pastries.,
Leavened dough with added yeast that rises when baked.,
"Blackened taro root. Not the tastiest meal, but a great source of energy for early rainforest settlers.",
Pineapple that has been charred over a basic campfire.,
Papaya fruit that has been charred over a basic campfire.,
A collection of charred mushrooms. Cooking mushrooms properly can remove some of the toxins.,
Heart of palm collected fom fallen pineapple trees that have been charred over a campfire.,キャンプファイヤーで焦げた、パイナップルの倒木から集められたヤシの新芽。
Blackened cactus fruit. A favorite of early desert settlers.,黒くなったサボテンの果実。 初期の砂漠開拓者のお気に入り。
A mushy mixture that can serve somewhat as a replacement protein in a meatless diet.,肉のない食事の代わりのタンパク質として多少役立つことができる穏やかな混合物。
Agave leaves that have been charred over a campfire,
"Baked tomatoes might not look as red or plump as the raw variety, but they are nice and tasty.",
Baked taro root,
Baked meat is less fatty than other methods of cooking.,
Baked heart of palm that retains more nutrients than more simple methods of cooking.,ヤシの新芽を焼いたもので、単純な調理方法よりも多くの栄養素が保持されます。
Baked corn that retains more nutrients than more simple methods of cooking.,
Baked beets that retain more nutrients than more simple methods of cooking.,
The succulent leaves of the agave plant can be cooked to make a nice meal.,
Wood pulp and dirt make a great filler for other fertilizers.,
Phosphate fertilizer is a great source of Phosphorus.,
A fertilize made from fur pelts and filler.,
A fertilizer made from hide ash and fillers.,
A filler ingredient used in a variety of fertilizers.,
"Compost fertilizer is a classic, low effort fertilizer.",堆肥は手間が少なく、伝統的な肥料です。
"Camas ash fertilizer, though not very potent, is a great source of potassium.",
Blood meal is a great source of nitrogen.,
Wide Hips,
Asphalt White Ramp LineD,アスファルトの白のランプ D
Asphalt White Ramp LineC,アスファルトの白のランプ C
Asphalt White Ramp LineB,アスファルトの白のランプ B
Asphalt White Ramp LineA,アスファルトの白のランプ A
White Ramp Edge LineD,白のランプエッジラインD
White Ramp Edge LineC,白のランプエッジラインC
White Ramp Edge LineB,白のランプエッジラインB
White Ramp Edge LineA,白のランプエッジラインA
Asphalt White Ramp Dash LineD,アスファルトの白のランプ C(白線)
Asphalt White Ramp Dash LineC,アスファルトの白のランプ C(白線)
Asphalt White Ramp Dash LineB,アスファルトの白のランプ B(白線)
Asphalt White Ramp Dash LineA,アスファルトの白のランプ A(白線)
Asphalt White Line,
White Edge,
Asphalt White Dash Line,
Asphalt White Cube,
Under Slope Turn,
Under Slope Side,
Under Slope Peak,
Under Slope Corner,
Under Peak Set,
Under Inner Peak,
Roof Turn,
Roof Side,
Roof Peak Set,
Roof Peak,
Roof Cube,
Roof Corner,
Peak Set,
Asphalt RampD,アスファルトのランプ D
Asphalt RampC,アスファルトのランプC
Asphalt RampB,アスファルトのランプB
Asphalt RampA,アスファルトのランプA
Asphalt Cube,
"Spruce log is a type of softwood, sometimes referred to as whitewood.",松の丸太は針葉樹の一種で、ホワイトウッドとも呼ばれます。
"Saguaro rib is a basic, lightweight wood harvested from the saguaro cactus.",サグアロサボテンの茎は、サグアロサボテンから採取される基本的な軽量木材です。
Redwood log is a type of softwood that can be easily identified by its distinct red bark.,レッドウッドの丸太は、独特の赤い樹皮によって簡単に識別できる針葉樹の一種です。
"Oak log is a type of hardwood. With its great strength and hardness, oak is commonly used for furniture and building materials.",樫の丸太は広葉樹の一種です。 樫の製材は強度と硬度に優れているため、家具や建材によく使われます。
Iron ore that has been concentrated to remove impurities. Ore concentrate is used by smiths to smelt metal bars.,鉄鉱石を濃縮して不純物を取り除いたもの。 濃縮鉱石は鍛冶屋が金属棒を精錬するために使用します。
Gold ore that has been concentrated to remove impurities. Ore concentrate is used by smiths to smelt metal bars.,金鉱石を濃縮して不純物を取り除いたもの。 濃縮鉱石は鍛冶屋が金属棒を精錬するために使用します。
Fir log is a type of softwood with a nice piney smell.,モミの丸太は、松のような良い香りを持つ針葉樹の一種です。
Slag that has been crushed into a fine gravel.,
Shale rocks that have been crushed into a fine gravel.,
Sandstone rocks that have been crushed into a fine gravel.,
Limestone rocks that have been crushed into a fine gravel.,細かい砂利に砕かれた石灰岩
Crushed iron ore that is ready to be concentrated.,
Granite rocks that have been crushed into a fine gravel.,
Crushed gold ore that is ready to be concentrated.,
Gneiss rocks that have been crushed into a fine gravel.,
Crushed copper ore that is ready to be concentrated.,
Basalt rocks that have been crushed into a fine gravel.,
Copper ore that has been concentrated to remove impurities. Ore concentrate is used by smiths to smelt metal bars.,銅鉱石を濃縮して不純物を取り除いたもの。 濃縮鉱石は鍛冶屋が金属棒を精錬するために使用します。
"Ceiba log is a type of hardwood. The Ceiba tree, with its giant trunk, is often sought after by loggers for the large volume of logs it produces.",パンヤノキは広葉樹の一種です。 巨大な幹を持つパンヤノキの木は、大量の丸太が採れるため、伐採業者に人気があります。
Cedar log is a type of softwood. Cedar wood is a natural repellent to moths.,杉の丸太は針葉樹の一種です。 杉材は天然の防虫剤です。
"Birch log is a type of hardwood, notable for its white and papery bark.",白樺の丸太は広葉樹の一種で、白く紙のような樹皮が特徴です。
Asphalt Concrete,
Ashlar is finely cut stone made by an expert mason. Ashlar stone is an especially decorative building material that comes in a variety of styles based on the type of rock used.,切石は熟練した石工によって作られた細かくカットされた石です。 切石は特に装飾的な建築材料であり、使用される岩の種類に応じてさまざまな形式があります。
Used to construct buildings and pickup manmade objects.,
A wooden pole attached to a line and hook. Used to catch fish from rivers and the ocean.,糸とフックが取り付けられた木製の棒です。川や海で魚を捕まえるために使用します。
This log cannot be sliced any smaller,
Air Pollution Generator,
Dev object for testing air pollution.,
"Water is an abundant resource. Fresh water can be found in rivers and lakes while salt water is found in the ocean. In addition to being a home to fish, water is needed for a variety of objects to function.",水は豊富な資源です。 淡水は川や湖にあり、塩水は海にあります。 水は魚の生息地であるだけでなく、さまざまな物体が機能するために必要です。
Adding Species: {0},
New Resource: {0},
Starting Tech Tree Sim,
Getting Starting Skills...,
Getting Initial Tables...,
Getting Recipes with No Skills...,
Getting World Resources...,
Getting Species Resources...,
No resources,
Simulating...,
Tech Tree Sim Complete,
Plants Missing Resources,
missing crafting table,
Uncraftable Accessed,
missing skills:,
Uncraftable Unaccessed,
Unobtainable Items,
missing ingredients:,不足している素材:
Error: Laser Unobtainable,
Error: Visible Recipes Uncraftable,
Adding Skill:,
New Craftable Items:,
Dirt Road,
Increases/decreases CO2 by this value per day.,
Multiplier for pollution. Requires server restart when changed.,
(Raises CO2 in atmosphere by {0}ppm every {1}),
There will be no way to create more {0} if you reset this mint.,
"Could not fit {0} in inventory, placed into void storage (access with icon next to backpack button).",
Source stack can't accept that many items (max is {0}).,
Destination stack can't accept that many items (max is {0}).,
"Payment made as transferring knowledge. Must be creating a skillbook, or have the skillbook in your inventory at posting time.",知識の移転が支払いとして行われます。スキル ブックを作成しているか、投稿時にスキルブックがインベントリにある必要があります。
Do you wish to delete {0}?,
Do you wish to delete this entry?,
entry,
(in the current block of hours: {0}),
(in the last number of hours: {0}),
in the last {0} seconds,
in the last {0} minutes,
in the last {0} hours,
today,
this hour,
in the current {0} second block,
in the current {0} minute block,
in the current {0} hour block,
in the last hour,最後の1時間
Determines the range of time that we count stats from. Use '0' for 'all time'.,
absolute value of {0},
{0} rounded {1},
to previous multiple of {0},
to next multiple of {0},
to nearest multiple of {0},
{0} (value was rounded {1}),
{0} (max value of list),
Max value of list,
{0} (min value of list),
Min value of list,
down,
up,
to nearest integer,
Max Value Chosen From List,
Min Value Chosen From List,
"Take the absolute value of a number (if it's negative, make it positive).",
The value to take the absolute value of.,
Rounds a value to the nearest whole number.,
The value to round.,
How to round it.,
"Which multiple to round to. (IE, enter '50' and 'Round Down' to round 180 to 150)",
Absolute Value,
with custom value: {0},
Results,
Applying Executive Action '{0}' (executed by {1}):,
Perform {0},
A title or short description of the executive action.,行政処分の表題または簡単な説明。
Cannot start an election for {0} because the election process it intends to use {1} is invalid: {2},使用しようとしている選挙プロセス {1} が無効であるため、{0} の選挙を開始できない: {2}
Cannot start an election for {0} because the election process it intends to use {1} is {2}.,{1} を使おうとしている選挙プロセスが {2} であるため、{0} の選挙を開始できない。
Click to open election in browser,クリックしてブラウザで選挙を開く
Cannot change a district map unless it's a draft.,
Citizens passed: {0},
Citizens failed: {0},
Open ends: {0},
Flowing {0} {1} per second.,秒間{0} の{1} が出ています。
Connected to:\r\n{0},
Disconnected.,
You have already learned {0}.,
Professions are groups of similar specialties. Players can focus on one profession or select specialties from a variety of professions.,職業は、同様の専門知識のグループです。 プレイヤーは 1 つの職業に集中することも、さまざまな職業から必要な専門知識を選択することもできます。
Specialties unlock new unique abilities and crafting recipes. New specialties can be gained by earning character experience.,専門分野は、新しいユニークな能力とクラフトレシピのロックを解除します。 キャラクター経験値を獲得することで、新しい専門分野を獲得できます。
The current spawn location.,
Decreases resource cost for the table work orders created with {0} by {1}.,{0} で作成されたテーブル作業指示書のリソースコストを{1} 減少させます。
Decreases craft time for the table work orders created with {0} by {1}.,{0} で作成された作業オーダーの製作時間を{1} 短縮します。
Decreases resource cost for the table work orders by {0}.,テーブル作業指示書のリソースコストを{0} 減少させます。
Decreases craft time for the table work orders by {0}.,テーブル作業オーダーの製作時間を{0} 短縮します。
Produces {0} PPM of air pollution per hour when operating.,稼働中は毎時{0} PPMの大気汚染を発生させます。
- {0} out of {1} {2} added.,- {1} {2} のうち {0} を追加済み。
- {0} out of {1} {2} performed.,
Needs {0} to finish current {1}.,現在の{1}を完了するには{0}が必要です。
({0} will be needed for remaining {1}),( {1} には {0} が必要です)
You can't drop garbage here,
Some data cannot be deleted. {0},
Object data has been deleted. {0},
ready to trigger on next Civics tick (in {0}).,
next trigger in {0}.,
"{0}: Triggered {1} {2} ago, {3}",
Cannot prevent play in this world due to world settings.,
Cannot prevent login in this world due to world settings.,
An object was placed or picked up.,
The rate of carbon dioxide being released in Parts Per Million.,
{0} has stashed following elements:,
You can use some other contract board to post them again.,
Stashed contracts list is not empty:,
Stashed work parties list is not empty:,
Would you like to post the stash on this board?,
All stashed contracts were moved to this board!,
All stashed work parties were moved to this board!,
Successfully moved:,
Failed to move due to the capacity of this board:,
{0} was turned off because it couldn't legally create air pollution:{1}{2},
CO2 emission from this {0},
CO2 rate: {0}ppm per hour ({1} of global rate),
CO2 rate: {0}ppm per hour when enabled.,CO2排出速度: 有効時に毎時{0}ppm。
{0}ppm per day ({1}ppm global lifetime),
Global CO2 Sources and Sinks (updates every {0}),ワールドのCO2発生源と吸収源 ({0} 毎に更新)
{0}ppm per day ({1}ppm total{2}),
CO2 Effects,
"Temperature rises {0} degree for every {1}ppm past {2}ppm (changing by {3} degrees per day, {4} degrees raised so far)",{2}ppmを越える毎に{1}ppmにつき温度が{0}度上昇する(1日に{3}度ずつ変わり、これまでに{4}度上昇)
"Sea level rises {0} meter every {1}ppm past {2}ppm (rising by {3} meters per day, {4} meters raised so far)",{2}ppmを超えるごとに{1}ppmにつき海面が{0}メートル上昇(1日あたり{3}メートルの上昇、これまでに{4}メートル上昇)
Total CO2,
"CO2 = carbon dioxide, PPM = parts per million",
", already at minimal level",
From Pollution,
From Animals,
From Plants,
Eco Server (:{0}). Press Ctrl + C or Ctrl + Break to exit.,
Build Ecopedia,
{0} Level,
{0} Profession,職業: {0}
You have reached the maximum level in this skill.,
"Failed to connect to the local server. It may be because of server crash, you can check the server logs in {0} for more details.",
Cancelled by user,
Toggle,
Stars,
"By spending a star, players can learn a new specialty. New stars are unlocked over time by earning character experience.",スターを使って、プレイヤーは新しい専門分野を学ぶことができます。新しい星は、キャラクターの経験値を獲得することで時間と共に解放されます。
"Levels are gained in a specialty when using the skill, either by crafting related recipes or using tools that receive a bonus with the specialty.",関連するレシピを作成するか、専門分野でボーナスを受けるツールを使用することによって、スキルを使用すると専門分野のレベルが上がります。
Change the form type in the building menu by pressing F while holding a hammer.,ハンマーを持った後、「F」の建築メニューで形を変更します。
Some recipes use 'tagged ingredients'.,いくつかのレシピでは「タグが付いた素材」を使用します。
Labor costs calories and may require certain specialties.,労働力の設定にはカロリーが必要で、特定の専門知識が必要になる場合もあります。
Crafting table,作業台
Min Durability,最低耐久度
Set time of day to noon.,時間を正午にする。
Set time of day to midnight,時間を真夜中にする。
Set time of day to the specified hour,時刻を指定した時間に設定する
resettime,
Reset time of day to match the clock.,時刻をクロックに合わせてリセットする。
Prevent If Unable To Pay,
Creates X tons of air pollution,X トンの空気汚染を発生させる
Efficiency,
Calorie Reduction,カロリー削減
Yield,
Labor Efficiency,
Allow Overthrow,
Lifetime CO2 From Pollution,
Lifetime CO2 From Animals,
Lifetime CO2 From Plants,
Total Ground Pollution,
Average Global Temperature,
CO2 From Citizen Activity ppm,
Follow Range,
Current Government,
Hand Plow,手鋤
Composite Bow,
A modern composite bow made with fiberglass that makes hunting a breeze. Requires arrows to fire.,グラスファイバー製のモダンなコンポジットボウ。発射には矢が必要。
Advanced Upgrade that greatly increases efficiency when crafting Smelting recipes.,
Advanced Upgrade that greatly increases efficiency when crafting Pottery recipes.,
Basic Upgrade that greatly increases efficiency when crafting Paper Milling recipes.,
Modern Upgrade that greatly increases efficiency when crafting Oil Drilling recipes.,
Modern Upgrade 4,近代アップグレード4
Modern Upgrade 3,近代アップグレード3
Modern Upgrade 2,近代アップグレード2
Modern Upgrade 1,近代アップグレード1
Modern Upgrade that greatly increases efficiency when crafting Mining recipes.,
Basic Upgrade that greatly increases efficiency when crafting Mining recipes.,
Advanced Upgrade that greatly increases efficiency when crafting Mining recipes.,
Modern Upgrade that greatly increases efficiency when crafting Mechanics recipes,
Advanced Upgrade that greatly increases efficiency when crafting Mechanics recipes.,
Basic Upgrade that greatly increases efficiency when crafting Masonry recipes.,
Advanced Upgrade that greatly increases efficiency when crafting Masonry recipes.,石工のレシピを作成する際の効率を大幅に向上させる応用アップグレード。
Basic Upgrade that greatly increases efficiency when crafting Logging recipes.,
Advanced Upgrade that greatly increases efficiency when crafting Logging recipes.,
Modern Upgrade that greatly increases efficiency when crafting Industry recipes.,
Modern Upgrade that greatly increases efficiency when crafting Glassworking recipes.,
Advanced Upgrade that greatly increases efficiency when crafting Glassworking recipes.,
Basic Upgrade that greatly increases efficiency when crafting Fertilizers recipes.,
Basic Upgrade that greatly increases efficiency when crafting Farming recipes.,
Modern Upgrade that greatly increases efficiency when crafting Electronics recipes.,
Modern Upgrade that greatly increases efficiency when crafting Cutting Edge Cooking recipes.,
Advanced Upgrade that greatly increases efficiency when crafting Cooking recipes.,
Modern Upgrade that greatly increases efficiency when crafting Composites recipes.,
Basic Upgrade that greatly increases efficiency when crafting Carpentry recipes.,
Advanced Upgrade that greatly increases efficiency when crafting Carpentry recipes.,
Basic Upgrade that greatly increases efficiency when crafting Campfire Cooking recipes.,
Basic Upgrade that greatly increases efficiency when crafting Butchery recipes.,
Basic Upgrade 4,基礎アップグレード4
Basic Upgrade 3,基礎アップグレード3
Basic Upgrade 2,基礎アップグレード2
Basic Upgrade 1,基礎アップグレード1
Basic Upgrade that greatly increases efficiency when crafting Basic Engineering recipes.,
Advanced Upgrade that greatly increases efficiency when crafting Baking recipes.,
Advanced Upgrade 4,
Advanced Upgrade 3,
Advanced Upgrade 2,
Advanced Upgrade 1,
Modern Upgrade that greatly increases efficiency when crafting Advanced Masonry recipes.,石工のレシピを作成する際の効率を大幅に向上させる近代アップグレード。
Advanced Upgrade that greatly increases efficiency when crafting Advanced Cooking recipes.,高度な料理レシピを作成する際の効率を大幅に向上させる高度なアップグレード。
Advanced Upgrade that greatly increases efficiency when crafting Advanced Baking recipes.,
Steam Tractor Plow,
An attachment for the steam tractor that allows for quick plowing.,土地をすばやく耕せる、蒸気トラクター用のアタッチメント。
A thick gruel of boiled grains with a dash of fruity flavor.,
Charred Hearts Of Palm,焦げたパルミット
Baked Hearts Of Palm,焼いたパルミット
"A potentially poisonous mushroom. It might not be wise to eat it raw, but it can be detoxified when prepared properly by a chef. Eat at your own risk!",潜在的に有毒なキノコ。 生で食べるのは賢明ではないかもしれませんが、シェフが適切に調理すれば解毒することができます。 自己責任で食べてください！
"Allows the creation of Elected Titles, which can be given special privileges.",特別な権限を持つ選出された肩書の作成を可能にします。
reference,
Referenced by {0},
{0} link,
Here is a link to the next nested level: {0},
And here is some random description: {0},
Link {0},
Top level foldout {0},
with {0} inside,
secret,
Here is a list of some linkables within the same message:,
{0} title,
You found a {0}!,
Title {0},
No animals species named '{0}'.  Valid species are: {1},
No animals species around named '{0}'.,
You have been given {0} specialty points by {1}.,
Payments,
"This clause allows you to restrict the acceptance of a contract to only those that have a reputation equal to or greater than the defined amount.\n\nThere are two kinds of reputation you can specify here: \n - {0}, which is the sum of all player's ratings, multiplied by a network effect.\n - {1}, which is the sum of the opinions from players you have rated favorably (and who they have rated favorably, etc).\n\nYou can review the reputations of all players on the server through the citizen list, which displays players in reputation order, and displays reviews from other players in the reputation tooltip.",この項目は請負者を一定以上の評判を持ったプレイヤーに限定することができます。\n\nここで指定できるのは二種類の評判です。: \n - {0} は、全てのプレイヤーの信用度の総計をネットワーク効果の係数でかけたものです。\n - {1} はあなたが好意的に評価しているプレイヤー達 (と、彼らが好意的に評価しているプレイヤー達など) からの意見を集約したものです。\n\nプレイヤーリストで、サーバー上の全てのプレイヤーの評判を確認することができます。プレイヤーリストは、プレイヤーを評判の順に表示し、評判のツールチップで他のプレイヤーからの評価を表示します。
Remove all tree stumps and debris from the property under the given marker.\n\nThe contractor will be temporarily rights to remove debris and stumps on the specified property.\n\nNote: You can split property into seperate deeds for more control.,指定された土地からすべての木の切り株と瓦礫を取り除きます。\n\n請負者には、指定された土地の切り株や瓦礫を除去する権利が一時的に与えられます。\n\n注: 土地を個別の権利書に分割することで、より詳細に管理できます。
Remove all tree debris from property at {0}.  Contractor will be given temporary permission to remove debris on property.,{0} の土地から木の破片をすべて取り除きます。 請負者には敷地内の瓦礫を撤去する一時的な許可が与えられます。
"With this clause, the contractor must plow the given number of square meters of field into plantable soil.\n\nThe contractor will temporarily be given right to plow on the specified property.\n\nNote: You can split property into seperate deeds for more control.",指定された平方メートル数の畑を植栽可能な土壌に耕してもらいます。\n\n請負者には、指定された土地を耕す権利が一時的に与えられます。\n\n注: 土地を個別の権利書に分けることで、より詳細に管理できます。
All grass tiles on specified property must be cut with a sickle or other mower. \n\nThe contractor will temporarily be given the right to mow on the specified property.\n\nNote: You can split property into seperate deeds for more control.,指定された敷地上のすべての芝生タイルは、鎌またはその他の芝刈り機で切断する必要があります。 \n\n請負業者には、指定された不動産の草を刈る権利が一時的に与えられます。\n\n注: より詳細に管理するために、不動産を個別の権利書に分割することができます。
Defines a container that must contain a set of objects. Both you and the contractor must have access rights on the selected container.\n\nYou can automatically give the contractor access rights to the container for the term of the contract with an additional {0} contract clause.,オブジェクトを一式入れるべきコンテナを指定します。その際、あなたと請負者が、共に選択したコンテナに対するアクセス権を持っている必要があります。\n{0}条項を使用して、契約期間中、請負者にコンテナへのアクセス権を自動的に付与できます。
"All plants yielding the given types of resources must be harvested from this property, and placed into the specified container.\n\nThe contractor will temporarily be given rights to harvest on the specified property.\n\nNote: You can split property into seperate deeds for more control.",指定された種類のリソースを生み出すすべての植物を収穫し、指定されたコンテナに保管してもらいます。\n\n請負者には、指定された土地で収穫する権利が一時的に与えられます。\n\n注: 土地を別々に分割することで、更に細かくコントロールすることができます。
error,
Are you sure you want to mark {0} as completed?,
Some clauses are possibly incomplete.,
Draft is not yet proposed.,
Are you sure you want to submit {0} to client {1} for approval?,
{0} marked contract {1} as completed.,
Contract {0} was submitted to client {1} for approval.,
{0} completed contract: {1}!,
You completed {0}'s contract: {1}!,
Click to view and accept or reject.,
{0} by {1},
Total {0},
air pollution in PPM,
One of a variety of values related to the environment.,
The environment value to take.,
Returns statistical values regarding players.,
The game action we're evaluating.,
"The type of range we're using. If 'counting back from present', we use the past X hours.  If using 'current time block', we use the most recent block of time of that size (IE, if time range is 24 we would use only the current day, resetting at midnight).",使用している時間範囲のタイプ。 「現在から逆算する」場合は、過去 X 時間を使用します。 「現在の時間ブロック」を使用する場合、そのサイズの最新の時間ブロックを使用します (つまり、時間範囲が 24 の場合、当日のみ可能で、午前 0 時にリセットされます)。
but {0},
Returns positive result.,
Returns negative result.,
"Cannot prevent {0} of Capitol objects, as this would prevent others from overthrowing the government.",
(Reason: {0}),
(prevent action if unable to pay),
(prevent action if unable to pay and {0}),
Nothing will be performed if any related transaction fails.,
"Triggers of type {0} cannot be prevented, which legal action {1} may do as configured.",
"Skipped, no valid people in {0}.",
Actions to run once performed.,
Election was automatically vetoed due to invalid status.,選挙は無効のため自動的に拒否された。
Learned,
Specialized,
Resources complete.,
Can't collect {0} : {1},
{0} halted. Please release space in attached inventories or collect the item.,{0} は停止しました。貯蔵庫のスペースを解放するか、アイテムを収集してください。
Halted: Containing table '{0}' is disabled.,
Crafting {0} {1} of {2}.,
- {0} out of {1} crafting time passed.,
For Remaining {0},
- {0} {1} required ({2} available in storage).,
- {0} additional {1} required.,
- {0} additional craft time needed.,
Current Repetition,
Knowledge Share,
Containing {0} is disabled.,
Labor complete.,
Dynamic value - can be affected by modifiers,Dynamic value - モジュールの影響を受ける
"Note: when using 'Citizen Statistics' on this action, the returned value will be the sum of all pollution amounts over the requested period (not just a count of the pollution actions that occurred).",
Air pollution was released (triggered every 30 sec of operation).,
Amount of carbon dioxide released into the atmosphere this interval (30 seconds) in Parts Per Million.,
"What interval of time was spent polluting?  This is assigned '0' for the first pollution action, then 30 seconds for subsequent actions.",
Add Resources To Work Order,
Create Work Order,協働提案を作成
Item Crafted,
Add Labor To Work Order,
{0} doesn't have {1},
This item cannot be placed on the ground.,
Accepts following plugin modules: {0}.,以下のプラグインモジュールを受け付けます。: {0}
Time spent operating: {0},運転に費やした時間: {0}
Total CO2 released over operating lifetime: {0}ppm ({1} of global CO2),稼働中に排出されたCO2の総量: {0}ppm (世界のCO2の{1})
"Determines whether overthrowing a government is allowed or not. If set, then a constitution with higher house value than the current can be ratified.  Setting this to true also makes it impossible to make laws about placing/crafting a constitution.",政府の転覆が許可されるかどうかを決定します。 制定されれば、現在よりも住宅価値が高い憲法で批准できるようになる。 これを true に設定すると、憲法の制定/制定に関する法律を制定することもできなくなります。
{0} began: Should {1} be added?,
{0:0.00} update ms/s,{0:0.00} 更新 ms/秒
{0:0.00} encode ms/s,{0:0.00} エンコード ms/秒
Ticking Active Chunks,
Compressing Frozen Chunks,
Unable to load ENet network library. It may be caused by missing Visual C++ Redistributable 2019. You can try to download and install it from [https://support.microsoft.com/en-us/help/2977003/the-latest-supported-visual-c-downloads] and start the server again.,
{0} Benefits,{0}の特典
{0} Level {1} Bonus: {2},{0}のレベル{1}ボーナス: {2}
Look Left/Right,
Look Down/Up,
Vehicle Boom Down/Up,
Vehicle Boom Pull/Push,
Vehicle Swing Arm Down/Up,
"The more balanced your diet, the faster you gain specialty points.",食事のバランスが良いほど、専門分野ポイントを早く獲得できます。
Time slept:,
"Remove this element immediately if you have executive privileges, or start an election to remove it if you have election privileges.",管理者権限がある場合はこの要素を直ちに削除し、選挙権限がある場合は選挙を開始してこの要素を削除します。
Work orders also need labor to complete.,作業指示を完了するには労働力も必要です。
It means that order will accept any of the listed items.,
Time Total,
Time Chunk Maps,
Time Simulations,
Time Predators,
Time Statistics Collection,
Time Plant Decay,
Tick Time,
Callbacks Time,
Pre Tick,
Pre Tick Actions,
Post Tick,
Climate,
Record History,
Pull,
Push,
Block Update Time,
Region Update Time,
Resources,
PerformancePlugin,
Industrial,工業
Outside,
Power grid has insufficient {0} power,
Power grid disabled this generator to save resources,
Power grid operational,
(Unnamed Marker),（名前のないワールドマーカー）
Speed x{0}{1},
Open/Close,
Setup Lock,
Examine,
Sit,座る
Drive,
Stop,
Claim Property,要求プロパティ
Open Trunk,
Push Wheelbarrow,
Your Trades,
Logins,
Your Contracts,
Transfers,
WorldObjects,
"Tier 0 buildings are made from unprocessed natural blocks (caves, mud huts, etc).",
"To build a Tier {0} building, use a {1} to place Constructs of the following blocks",
Heat,
Electric,
Disabled,
Softwood Boards,
Hardwood Boards,
Tailoring Basic Upgrade,
Masonry Advanced Upgrade,石工の応用アップグレード
Work order was destroyed.,
Transport all materials from container A to container B.\n\nThe contractor will be granted authorization rights to remove items from container A and add them container to B.,コンテナAに含まれる全てのアイテムをコンテナBに輸送します。\n\n請負者には、コンテナAからアイテムを取り出し、コンテナBに追加する権限が付与されます。
"This clause will grant the contractor authorization to the selected object or property.  Authorization can be granted temporarily for the length of the contract, or it can be given permanently. This permission can be given at either the beginning or end of the contract.\n\nIf you need a player to deliver something in a private container, or build on private land, you'll need to set their permissions with this clause to ensure they have access.  Players accepting a contract should always ensure that they will receive the needed permissions to perform it.",プレイヤーがオブジェクトや土地にアクセスする権限を与えます。\n\n「許可の期間（一時的/永続的）」と、「権限を与えるタイミング（契約の開始時/終了時）」を設定することができます。\nもし、プライベートコンテナに何かを運んでもらったり、プライベートな土地に何かを建ててほしいなら、この項目で権限を設定して、アクセスできるようにする必要があります。プレイヤーが契約を受けることで、それを遂行するために必要な権限を受け取れることを保証するべきです。
"This clause provides a payment, with the option of collecting a deposit from the contractor.\n\nDeposits and payments are held in escrow for the duration of the contract. The amount in escrow is given to the contractor if the contract is successfully completed, or it goes to the client if the contract is marked as failed.",この条項では支払いを設定でき、請負者から保証金を徴収するオプションも存在します。 \n保証金と報酬金は契約期間中、エスクローに保管され、契約が正常に完了した場合には請負者、契約が失敗とされた場合には依頼者に渡されます。
Client doesn't have access to {0}.,
Contractor doesn't have access to {0}.,
Loan {0} {1} at {2}% interest for {3},
Sell a bond for {0} at {1}% interest for {2},
Sent message '{0}' to {1},
Taxation without target citizen is not possible.,
Taxation without target citizen skipped.,
{0} blocked by {1}.,
action is,
action is not,
m{0},
"{0} was owned by {1}, which has been removed.  Ownership changed to {2}.",
tag,
Tags Applying to,タグ:
You must finish posting {0} before posting another one.,
"Do you wish to reset information about the received goods?{0}Citizens will be able to claim items again, as if they had never visited the station.",受け取った商品に関する情報をリセットしますか?{0}の国民は、ステーションを訪れなかったかのように、再び商品を受け取ることができるようになります。
consumer,
{0} is distributing {1} to {2} less than {3} days old.,
Reference Updated.,
Clr,
Esc,
KEnt,
PgUp,
PgDn,
NumLock,
rCtrl,
rAlt,
rCmd,
Cmd,
Vertical,
Horizontal,
You can reset contribution history of this station:,
Fungi,菌類
Failed to get derived types for '{0}' in assembly '{1}' (usually safe to ignore for third party assembly). Error message: {2},
(with count: {0}),
Duplicate deeds claiming plot {0}: '{1}' and '{2}'.  Removing from {3}.,
Notify,
K=,
cLoc,
sLoc,
Win,
rWin,
AltGr,
SysReq,
Output tank is not full,
Output tank is full,
Payments upon completion: {0},
{0} completion payments,
{0} cancelled. {1},
No payments upon completion.,
Remove constitutional articles:,憲法の条文を削除する
More than {0} hours have passed since the last interaction.,前回のやり取りから{0} 時間以上が経過しました。
"As the owner of {0}, you are allowed to take ownership of this work order.",
to take ownership of this work order,
Owners of {0} are allowed to take ownership of this work order.,
{0} have passed since the last interaction.,最後のやり取りから {0} が経過しました。
Owners of {0} will be allowed to take ownership of this work order in {1}.,
Do you wish to take ownership of {0}?,
You have become the owner of {0}.,
Currently owned by {0},
{0} took ownership of {1} at {2}.,
{0} regained ownership of {1} at {2}.,
Click to take ownership of this work order,
You must be the owner of this project to cancel it.,
to reset object,
Item data,
Click to reset data listed above,
Repeat the effect of this law on every user listed here.,
An effect that is run on each specified citizen at intervals.,
An effect that is run at a given interval.,
All objects required by power grid are present,
Missing objects required by power grid,
