Context,English,French
,Test and draw routing grid ,Teste et dessine le reseau routier
,Test the spawn location,Tester le point d'apparition
,"{0} can't flow, because the output {1} flow back to the input pipe.","{0} ne peut pas s'écoulé, car la sortie {1} est reliée au tuyau d'entrée."
,The output pipe can't handle pending amount of {0} converted from {1}. It causes temporary or permanent issues.,Le tuyau de sortie ne peut pas gérer le montant en attente de {0} converti à partir de {1}. Cela provoque des problèmes temporaires ou permanents.
,{0} pipe is disconnected.,Le tuyau {0} est déconnecté.
,{0} flow available at {1} liters per second,{0} débit disponible à {1} litres par seconde
,No {0} flow available.,Aucun {0} débit disponible.
,Output {0} flow available at {1} liters per second,Débit de sortie {0} disponible à {1} litres par seconde
,Output {0} flow not available,Débit de sortie {0} indisponible
,"{0}, must be at least {1} liters per second.","{0}, doit d'être d'au moins {1} litres par seconde."
,{0} flow available at {1} (of max {2}) liters per second.,{0} débit disponible à {1} (maximum {2}) litres par seconde.
,Commands related to work parties.,Commandes relatives aux groupes de travail.
,WorkParty,Équipe de Travail
,Spawn a work party for testing.,Fait apparaître un groupe de travail pour tester.
,Personal account should have Creator.,Le compte personnel devrait avoir un créateur.
,Money,Argent
,Create new bank accounts for each user.,Créer un nouveau compte bancaire pour chaque utilisateur.
Help text for chat command /addaccountmanager,Adds user as manager to bank account with ID.,Ajoute l'utilisateur en tant que gestionnaire au compte bancaire ayant l'ID.
Help text for chat command /removeaccountmanager,Remove user as manager from bank account with ID.,Retire l'utilisateur en tant que gestionnaire au compte bancaire ayant l'ID.
Help text for chat command /addaccountuser,Adds user to bank account with ID.,Ajoute des utilisateur au compte bancaire avec l'ID.
Help text for chat command /removeaccountuser,Removes user from bank account with ID.,Retire des utilisateur du compte bancaire avec l'ID.
Help text for chat command /createaccount,Creates an account with specified name.,Créée un compte avec le nom spécifié.
Help text for chat command /deleteaccount,Deletes an account even if there is still currency on it.,Supprime un compte même s'il y a encore de l'argent sur celui-ci.
Help text for chat command /setaccountowner,Manually set an account creator.,Définir manuellement un créateur de compte.
,Create a bunch of titles for testing.,Créée un ensemble de titres pour tester.
,Assign the current player to a new title that has treasury rights.,Assigne au joueur actuel un nouveau titre ayant des droits du Trésor public.
,"Cannot replace contents of {0}, it's currently in an election {1}.","Impossible de remplacer le contenu de {0}, il est actuellement dans une élection {1}."
,"Ignore auth skipped, {0} does not need auth.","Ignorer l'authentification passée, {0} n'a pas besoin d'authentification."
,Generate some test laws.,Génère quelques lois de test.
,Add a bunch of candidates to specfied election (or first election found if none specified).,Ajouter une sélection de candidats à l'élection spécifiée (ou première élection trouvé si aucune spécifiée).
,"Add a bunch of test votes to a specified election, or first election found.",Ajouter un lot de vote de test à l'élection spécifiée ou à la première élection trouvée.
,"If this percent of *all possible voters* votes yes, the election will instant-finish.","Si ce pourcentage d'électeurs votent ""oui"", l'élection se termine immédiatement."
,"If this percent of *all possible voters* votes no, the election will instant-fail.","Si le pourcentage indiqué des votants disent ""non"", l'élection échoue immédiatement."
,Election cannot start due to invalid elements:,L'élection ne peut pas commencer en raison d'éléments invalides :
,{0} is invalid.,{0} est invalide.
,{0} references the {1} {2} but it's in an invalid state.,"{0} fait référence à la / l' {1} {2}, mais son état est invalide."
,"{0} references the draft {1} {2}, but that draft is not part of the election.","{0} fait référence au projet {1} {2}, mais ce projet ne fait pas partie de l'élection."
,"{0} references {1} {2}, which is in the invalid state '{3}'.","{0} fait référence à {1} {2}, qui est dans l'état invalide ""{3}""."
,Election ended early because {0}% of eligible voters voted {1}.,L'élection s'est terminée plus tôt car {0} % des votants éligibles ont voté {1}.
,This election is already finished.,L'élection est déjà terminée.
,Generate some random districts around the user.,Génère quelques quartiers aléatoires autour de l'utilisateur.
,Generate some demographics.,Génère des données démographiques.
,Voice,Voix
,*Missing*,*Manquant*
,Create test users up to the given amount (default 5),Créée des utilisateurs de test jusqu'au montant donné (5 par défaut)
,Create test user with a specified name.,Crée un utilisateur test avec le nom spécifié.
,"Resets the tutorial, including record of given items (which menu option does not do).","Réinitialise le tutoriel, y compris l'enregistrement des objets donnés (ce que l'option de menu ne fait pas)."
,Starts specific tutorial task by name.,Démarre une tâche spécifique du tutoriel par son nom.
Help text for chat command /fastforward,Force the world to fast forward. Pass 0 to stop.,Force le monde à l'avance rapide. Envoyer 0 pour arrêter.
,Check deeds and remove contained ownables that do not belong to them,Vérifie les titres de propriété et supprime les objets possédables qui ne leur appartiennent pas
Help text for chat command /markglobal,Drops a global waypoint at the current position.  Accepts an optional text string for the waypoint.,Dépose un point de repère global à la position actuelle. Accepte une ligne de texte optionnelle pour le point de repère.
Help text for chat command /removenearestglobalmark,Removes the nearest global waypoint to your current position.,Supprime le point de repère global le plus proche de votre position actuelle.
,"Shows list of banned users or bans user by account id, steamid, slgid, or username","Affiche la liste des utilisateurs bannis ou bannit l'utilisateur par ID de compte, ID Steam, ID Slg, ou nom d'utilisateur"
Help text for chat command /unban,"Unbans user by account id, steamid, slgid, or username","Dé-bannie l'utilisateur par ID de compte, ID Steam, ID Slg, ou nom d'utilisateur"
,"Shows list of muted users or mutes user by account id, steamid, slgid, or username","Afficher la liste des utilisateurs muets par identifiant de compte, identifiant steam, slgid ou nom d'utilisateur"
Help text for chat command /unmute,"Unmutes user by account id, steamid, slgid, or username","Réactiver la parole d'un utilisateur en saisissant son identifiant de compte, son identifiant steam, son slgid ou son nom d'utilisateur"
Help text for chat command /whitelist,"Shows list of whitelisted users or adds user to the whitelist by account id, steamid, slgid, or username","Afficher la liste blanche des utilisateurs ou ajouter un utilisateur à la liste blanche par son identifiant de compte, son identifiant Steam, son slgid ou son nom d'utilisateur"
Help text for chat command /unwhitelist,"Removes user from the whitelist by account id, steamid, slgid, or username","Supprimer l'utilisateur de la liste blanche par son identifiant de compte, son identifiant Steam, son slgid ou son nom d'utilisateur"
Help text for chat command /admin,"Shows list of admins or adds user as an Admin by account id, steamid, slgid, or username","Afficher la liste des administrateurs ou ajouter un utilisateur en tant qu'administrateur par son identifiant de compte, son identifiant Steam, son slgid ou son nom d'utilisateur"
Help text for chat command /removeadmin,"Removes user as an Admin by account id, steamid, slgid, or username","Supprimer l'utilisateur en tant qu'administrateur par son identifiant de compte, son identifiant Steam, son slgid ou son nom d'utilisateur"
Help text for chat command /kick,Kicks user,Renvoie l'utilisateur
Help text for chat command /whoami,Shows your user ID,Affiche votre ID d'utilisateur
Help text for chat command /whois,Shows the user ID of the requested user.,Affiche l'ID de l'utilisateur demandé.
Help text for chat command /listusers,"Displays a list of all known users, showing username and ID.","Afficher une liste de tous les utilisateurs connus, avec leur nom d'utilisateur et leur identifiant de compte."
Help text for chat command /listadmins,Displays a list of all administrators.,Affiche une liste de tous les administrateurs.
Help text for chat command /ignore,Shows your Ignore List or adds the player to the Ignore List by the name or remove if the player is on the list already,Afficher la liste des gens ignorés ou ajouter un joueur à la liste par son nom ou le supprimer s'il y est déjà
,Spawns a setup for testing pipes.,Génère une installation pour tester les tuyaux.
,Performs commands for power manipulations.,Effectue des commandes pour des manipulations d'énergies.
,Reduces power consumption of all existing objects withing a given radius to passed value (defaults zero).,Réduit la consommation d'énergie de tous les objets existants d'un rayon donné à la valeur dépassée (valeur par défaut : zéro).
,Creates a craft setup where output from one thing is input to another.,Crée une chaine de fabrication où la sortie d'un établi est l'entrée d'un autre.
Help text for chat command /store,Spawns a store with storages and random trade offers.,Génère un magasin avec des stockages et des offres aléatoires.
Help text for chat command /addhours,Adds meteor impact hours,Ajoute des heures à l'impact du météore
,"Set the percent of a destroyed atmosphere to display, blended to over a given number of seconds.","Définir le pourcentage d'atmosphère détruite à montrer, fondu sur une durée en seconde."
Help text for chat command /destroy,Destroys the meteor in orbit.,Détruit le météore en orbite.
Help text for chat command /spawn,"Spawns a meteor into orbit, regardless of current disaster settings.","Fait apparaître un météore en orbite, peu importe les paramètres de catastrophe actuels."
,Begin the meteor impact sequence,Débute la séquence d'impact du météore
,Make the meteor strike instantly.,Provoque l'impact immédiat du météore.
Help text for chat command /makevisible,"Make the meteor enter the targetable range, or the specified angle if one is passed in.","Faites entrer le météore dans la zone de visée, ou dans l'angle spécifié si il y passe."
,Create a crater at the current position.,Créez un cratère à la position actuelle.
,Triggers world layers to act as if they were hit by a meteor.,Les calques du monde se comportent comme s'ils étaient frappées par le météore.
,"Makes meteorites rain down the sky, accepting the number to send and how long between them.","Fait pleuvoir des météorites du ciel, en indiquant le nombre de météorites à envoyer et le temps d'interval entre."
,"Spawns a test treasury, grants related privileges to the user, opens UI, allocates taxes.","Crée un bureau Trésor public de test, accorde les privilèges associés à l'utilisateur, ouvre l'interface utilisateur, alloue les taxes."
,Creates and applies a Distribution Station with carried items,Crée et applique une station de distribution avec des articles transportés
,Creates and applies a Distribution Station.,Crée et applique une station de distribution.
,"Spawns 2 test exchanges, one for the user and one for another user. Adds some entries, performs some tests.","Génère 2 échanges de tests, un pour l'utilisateur et le second pour un autre utilisateur. Ajoute quelques entrées, effectue quelques tests."
,Setup a test environment for cranes.,Mets en place un environnement de test pour les grues.
,{0} cannot be copied into while in {1} state.,{0} ne peut pas être copié dans l'état {1}.
,"Can't edit {0}, it's not active.","Impossible d'éditer {0}, il n'est pas actif."
,"Can't edit {0}, it's not a draft.","Impossible d'éditer {0}, ce n'est pas un projet."
,{0} cannot be removed while in {1} state.,{0} ne peut pas être supprimé à l'état {1}.
,"Spawn a zoning office, passing the number of maps and districts in each. Defaults to a lot (3 maps with 100 districts each).","Créez un bureau du territoire, en passant le nombre de cartes et de quartier dans chacun. La valeur par défaut est beaucoup (3 cartes avec 100 quartiers chacune)."
,*deleted*,*supprimé*
,Select a target to transfer ownership to.\n\n(This will only be permitted if you own the property or a law specially allows the Property Transfer action.),Sélectionnez une cible à laquelle transférer la propriété.\n\n(Cela ne sera autorisé que si vous possédez la propriété ou si une loi autorise spécialement l'action de transfert de propriété.)
,{0} attacked you! You lost {1} calories,{0} vous a attaqué ! Vous avez perdu {1} calories
,Select the control for {0},Sélectionnez la commande pour {0}
,"Elections can have multiple 'provisions' added to them before voting starts.  To add more, edit the civic object (law, demographic, etc) and attach it to this election. \n\nOnce an election is started, no more provisions can be added.","Les élections peuvent être assorties de plusieurs ""dispositions"" avant le début du vote. Pour en ajouter, modifiez l'objectif civique (loi, démographie, etc.) et joignez-le à cette élection.\n\nUne fois qu'une élection est lancée, aucune disposition supplémentaire ne peut être ajoutée."
,"Currency is not created yet, only owner can create currency.","La monnaie n’est pas encore créée, seul le propriétaire peut créer une monnaie."
,The store is currently closed for customers.,Le magasin est actuellement fermé pour les clients.
,Create Government Account,Créer un compte gouvernemental
,Ambience Volume,Volume d’ambiance
,Residency,Résident
,Overlay,Superposition
,Entry Status,Statut de l’Entrée
,Allow Name Change,Autoriser Changement de Nom
,Readonly,Lecture seule
,Allow New Entries,Autoriser les nouvelles entrées
,Default Entry Status,Statut des Entrées par Défaut
,Map Hint Title,Titre de l'indice de carte
,Map Hint,Indice de carte
,Map Entries,Entrées de Carte
,Map,Carte
,Max Area,Zone maximale
,Allow Delete,Autoriser la suppression
,Entry Description,Description de l’Entrée
,Map Entry Id,ID d'entrée de carte
,Invitation List,Liste d’Invitation
,Property Type,Type de propriété
,Rent,Loyer
,Move In Fee,Frais d'emménagement
,Move In Fee Currency,Monnaie des frais d'emménagement
,Received Rent Account,Compte recevant le loyer
,Citizen Resident,Citoyen Résident
,Residents,Résidents
,Invitations,
,Max Occupants,Occupants maximum
,Action Location,Lieu de l'action
,Previous Deed Owner,Précédent propriétaire du titre de propriété
,Residency Change,Changement de résidence
,Existing Occupants,Occupants Existants
,Residency Change Reason,Motif de changement de résidence
,Rent Currency,Monnaie du loyer
,User Account,Compte Utilisateur
,Service Account,Compte de service
,Payment Type,Type de paiement
,Percent Of All Voters To Instant Win,Pourcentage de tous les votants pour une victoire immédiate
,Percent Of All Voters To Instant Lose,Pourcentage de tous les votants pour une défaite immédiate
,Wages Source Bank Account,Compte bancaire débité pour les salaires
,2D,
,3D,
,Spin Globe,Rotation de la Terre
,Settlements,Colonies
,Resident,Résident
,Not Resident,Pas Résident
,Taking Residency,Devenir résident
,Leaving Residency,Quitter la résidence
,Invite,Inviter
,Rescind Invitation,Annuler l'invitation
,Owner Taking Residence,Propriétaire prenant résidence
,Accepting Invite,Accepter l'invitation
,Owner Removed,Propriétaire retiré
,Voluntary,Volontaire
,Could Not Pay Rent,Impossible de payer le loyer
,Owner Access,Accès propriétaire
,Private,Privé
,Settlement System Enabled,Système de colonies activé
,Income,Revenu
,Expense,Dépense
,Recurring Transfer Frequency,Fréquence de transfert récurrente
,Occupancy Penalties:,Pénalités d'occupation :
,Occupant,
,A large lumber table for eating meals or getting some work done.,Une grande table en bois d’œuvre pour prendre des repas ou travailler.
,A sturdy lumber chair. It doesn't feel as wobbly as more basic wooden chairs.,Une chaise en bois robuste. Elle ne se semble pas aussi bancale que les chaises en bois plus basiques.
,A lumber bench for when you need extra seating space than a traditional chair.,Un banc en bois de charpente pour lorsque vous avez besoin de plus d'espace pour vous asseoir qu'une chaise traditionnelle.
,Hewn Softwood Door,Porte en bois tendre taillé
,Hewn Hardwood Door,Porte en bois dur taillé
,Flat Steel Door,Porte en acier lisse
,A beautiful modern flat steel door with a large viewing window.,Une belle porte moderne en tôle d’acier inoxydable avec une grande fenêtre.
,An industrial elevator for transporting extra large loads vertically.,Un ascenseur industriel pour transporter verticalement de très grosses charges.
,Industrial Elevator,Ascenseur industriel
,"Harvested from a number of plants, these fibers are useful for a surprising number of things.","Récoltées à partir d'un certain nombre de plantes, ces fibres sont utiles pour un nombre surprenant de choses."
,"A Henley shirt is a collarless pullover shirt, characterized by a placket beneath the round neckline, about 8 to 13 cm long and usually having 2 to 5 buttons. It essentially resembles a collarless polo shirt.","Une chemise Henley est un pull-over sans col, caractérisée par une échancrure à boutons sous l'encolure ronde, d'environ 8 à 13 cm de long et comportant habituellement 2 à 5 boutons. Il ressemble essentiellement à un polo sans col."
,White Edge Rotate,Rotation de la ligne de bordure blanche
,Two White Edge Rotate,Rotation de deux lignes de bordures blanches
,"Healthy soil is essential to support life. When displaced, dirt can be used to terraform an area to support buildings and infrastructure.","Un sol sain est essentiel au maintien de la vie. Lorsqu'elle est déplacée, la terre peut être utilisée pour terraformer une zone afin de soutenir les bâtiments et les infrastructures."
,"High quality sand is a sought after resource used for making glass and concrete. Though desert sand is abundant, it is not suitable for these materials.","Le sable de haute qualité est une ressource recherchée pour la fabrication du verre et du béton. Bien que le sable du désert soit abondant, il ne convient pas pour ces matériaux."
,Wrong {0} was detected : {1},Mauvais {0} a été détecté : {1}
,Server,Serveur
,Invalid localization in {0} for `{1}`: `{2}`,Localisation invalide dans {0} pour `{1}`: `{2}`
,Disconnect client with a long message,Déconnecte le client avec un long message
,Total,
,Occupancy Penalty: {0} ({1} residents),Pénalité d'occupation : {0} ({1} résidents)
,Money in Account,Argent sur le compte
,Pay Every Tick was {0}.,Payer tous les tick a été {0}.
Parameter for chat command /enabledisable,enabled,activé
,disabled,désactivé
Help text for chat command /allrecurring,Display all recurring transfers paid in the game,Afficher tous les transferts récurrents payés dans la partie
Help text for chat command /myrecurring,Display all recurring transfers for the given user,Afficher tous les transferts récurrents pour l'utilisateur donné
,Enable debug command to pay recurring transfers every tick.,Activer la commande de débogage pour payer les transferts récurrents à chaque minute.
,{0} currency changed from {1} to {2},{0} monnaie changée de {1} à {2}
,{0} {1} for all {2},{0} {1} pour tous {2}
,Invalid currency: {0},Monnaie invalide : {0}
,Invalid amount per hour: {0},Montant invalide par heure : {0}
,Amount per hour must be > 0: {0},Le montant par heure doit être > 0 : {0}
,Context for determining subscription cost at initial creation.,Contexte pour déterminer le coût de l'abonnement lors de la création initiale.
,The citizen paying/receiving the funds.,Le citoyen qui paie/reçoit les fonds.
,The account the charge is coming from.,Le compte d'où provient la charge.
,The account the charge is going to.,Le compte où la charge va.
,Defines the how the cost is determined for a given individual.,Définit la façon dont le coût est déterminé pour une personne donnée.
,The currency the charge will be paid in.,La monnaie avec laquelle la charge sera payée.
,How much will be transferred per hour.,Combien seront transférés par heure.
,Which time counts for purposes of this transfer.,Quelle mocalité de temps compte dans le cadre de ce transfert.
,Recurring Transfers,Transferts récurrents
,Recurring Payments and Transfers:,Paiements et transferts récurrents :
,New recurring transfer started: {0},Nouveau transfert récurrent débuté : {0}
,Couldn't pay your {0} wages: {1},Impossible de payer votre {0} salaires : {1}
,"If setting {0}, must set all of: the {1} currency, amount and bank account for the {2}.","Si vous définissez {0}, vous devez définir tous les éléments suivants : la monnaie {1}, le montant et le compte bancaire pour le {2}."
,{0} stopped. ({1}),{0} s'est arrêté. ({1})
,{0} is a citizen of {1},{0} est un citoyen de {1}
,Is this citizen currently a member of the given settlement?,Ce citoyen est-il actuellement membre de la colonie donnée ?
,The settlement they must be a member of.,La colonie dont ils doivent être membres.
,{0} has a residence,{0} a une résidence
,residence location of {0},lieu de résidence de {0}
,{0}'s residence,résidence de {0}
,distance between {0} and {1},distance entre {0} et {1}
,Determines if the given citizen has a residence.,Détermine si le citoyen donné a une résidence.
,The user who's residency we're checking.,L'utilisateur dont la résidence est vérifiée.
,Gets the location of a given citizen's residence (or 'invalid' if none).,"Obtient l'emplacement de la résidence d'un citoyen donné (ou ""invalide"" si aucun)."
,"Distance between two locations, ignoring vertical difference.","Distance entre deux emplacements, sans tenir compte de la différence verticale."
,First location to check.,Premier lieu à vérifier.
,Second location to check.,Deuxième lieu à vérifier.
,Location to check district status of.,Emplacement pour vérifier l'état du quartier.
,is a resident,est un résident
,is not a resident,n'est pas un résident
,{0}'s wages from {1},Salaire de {0} versé provenant de {1}
,The bank account used to pay wages from.,Le compte bancaire d'où proviennent les salaires.
,wages,salaires
,{0} {1} to become a resident at {2},{0} {1} pour devenir résident de {2}
,Rescind invitation for,Annuler invitation pour
,Add a given citizen or group to 'Invited Residents' on a property.,"Ajouter un citoyen ou un groupe donné aux ""Résidents invités"" sur une propriété."
,Should the citizen be invited or should the invite be rescinded?.,Le citoyen doit-il être invité ou l'invitation doit-elle être annulée ?.
,Invite Resident,Inviter un résident
,with location: {0},avec emplacement : {0}
,Performed transfers,Transferts effectués
,Take money from one bank account and transfer it to another.,Prélevez de l'argent sur un compte bancaire et transférez-le sur un autre.
,Holdings of this bank account will be used to perform the transfer.,Les avoirs de ce compte bancaire seront utilisés pour effectuer le virement.
,Where the money goes to.,Là où va l'argent.
,An optional custom value to link a location.,Une valeur personnalisée facultative pour lier un emplacement.
,Transfer to Account,Transfert au compte
,Structural,Structurel
,Law Enforcement,Application de la loi
,Communication,
,Editing {0},Modifie {0}
,"Optional set of wages paid for citizens in this demographic (or fees, if payments are set negative).","Ensemble facultatif de salaires payés pour les citoyens de ce groupe démographique (ou de frais, si les paiements sont définis comme négatifs)."
,You were un-invited to {0} by {1} at {2}.,Vous avez été désinvité de {0} par {1} à {2}.
,A list of citizens or aliases (titles or demographics) that are invited and may accept.,Une liste de citoyens ou d'alias (titres ou données démographiques) qui sont invités et peuvent accepter.
,Invite Citizens or Groups to Join,Inviter des citoyens ou des groupes à se joindre
,Invites,Invitations
,Are you sure you want to remove {0} from {1}?,Êtes-vous sûr de vouloir supprimer {0} de {1} ?
,this {0},ce {0}
,Open the map.,Ouvrir la carte.
,Right-click food to eat it.,Clic-Droit sur la nourriture pour la manger.
,SettlementsPlugin,
Help text for chat command /settlement,Commands for controlling settlements.,Commandes pour contrôler des colonies.
,Settlement,Colonie
,Citizens of {0},Citoyens de {0}
,You {0} a citizen of this {1}.,Vous {0} un citoyen de ce {1}.
,Room is too big. {0} is more than {1} meters from the room detection point.,La pièce est trop grande. {0} est plus de {1} mètres depuis le point de détection de la pièce.
,Resident access permitted.,Accès des résidents autorisé.
,Resident access permitted (placed by you),Accès des résidents autorisé (placé par vous)
,Resident access not permitted (not placed by you),Accès des résidents interdit (pas placé par vous)
,Action not permitted for residents.,Action interdite pour les résidents.
,{0} set their residence to their property {1}.,{0} définit sa résidence sur sa propriété {1}.
,{0} set their residence to the property {1} owned by {2}.,{0} a défini sa résidence sur la propriété {1} appartenant à {2}.
,{0} {1} of your property {2}.,{0} {1} de votre propriété {2}.
,"You are currently a resident of {0}, are you sure you want to leave residency there and switch to {1}?","Vous êtes actuellement un résident de {0}, êtes-vous sûr de vouloir emménager vers {1} ?"
,"Cannot join as a resident, max occupancy of {0} already reached.","Vous ne pouvez pas devenir résident, la limite de {0} places a été atteinte."
,You are not invited to become a resident of {0}.,Vous n'avez pas été invité à devenir un résident de {0}.
,You are already a resident of {0}.,Vous êtes déjà résident de {0}.
,Invitation accepted!  You are now a resident of {0}.,Invitation acceptée ! Vous êtes maintenant un résident de {0}.
,You are now a resident of {0}.,Vous êtes à présent un résident de {0}.
,(Ignoring rent and fees since you are an owner.),(Ignorer le loyer et les frais puisque vous êtes propriétaire.)
,You are no longer a resident of {0}.,Vous n'êtes plus un résident de {0}.
,Residents:,Résident :
,to become a resident,devenir un résident
,residency,résidence
,became a resident,est devenu un résident
,left residency,a quitté la résidence
,The resident in question.,Le résident en question.
,"A list of residents on this property. Residents gain points from housing values, and only private property can have residents.","La liste des résidents de cette propriété. Les résidents obtiennent un bonus avec la valeur du logement, seul les propriétés privées peuvent héberger des résidents."
,Number of occupants allowed.,Nombre d'occupants autorisés.
,Rent: {0},Loyer : {0}
,Must set a receiving bank account when setting rent or move-in fee.,Vous devez définir le compte bancaire percevant les loyers ou les frais d'emménagement.
,"Invalid move-in fee set, can't become resident: {0}","La valeur des frais d’emménagement est incorrecte, ne peuvent pas devenir résident : {0}"
,"Invalid move-in fee currency, can't become resident: {0}","La monnaie des frais d’emménagement est incorrecte, ne peuvent pas devenir résident : {0}"
,"Invalid rent set, can't become resident: {0}","La valeur du loyer est incorrecte, ne peuvent pas devenir résident : {0}"
,"Invalid rent currency set, can't become resident: {0}","La monnaie du loyer est incorrecte, ne peuvent devenir résident : {0}"
,"Move-in fee set, but no currency defined. Can't become resident: {0}",Le montant des frais d’emménagement est défini mais aucune monnaie n'a été précisé. Ne peuvent pas devenir résident : {0}
,"Rent set, but no currency defined. Can't become resident: {0}",Le montant du loyer est défini mais aucune monnaie n'a été précisé. Ne peuvent pas devenir résident : {0}
,Move in fee: {0} {1},Frais de d'emménagement : {0} {1}
,Rent: {0} {1},Loyer : {0} {1}
,Becoming a resident here has the following costs:\n\n{0}\nDo you want to proceed and specify a bank account to pay from?,Devenir résidant ici coûte :\n\n{0}\nVoulez vous continuer et spécifier un compte bancaire pour la transaction ?
,"{0} doesn't have enough {1} to cover the move-in fee of {2}, cannot become a resident.","{0} n'a pas assez de {1} pour payer les frais d'emménagement {2}, ne peut devenir résident."
,{0} was evicted from {1} because they couldn't pay rent.,{0} a été expulsé par {1} car il ou elle n'a pas payé le loyer.
,{0} was evicted from your property {1} because they couldn't pay rent: {2},{0} a été expulsé votre propriété {1} car il ou elle n'a pas pu payer le loyer : {2}
,You were evicted from {0} because you couldn't pay your rent: {1},Vous avez été expulsé de {0} car vous n'avez pas pu payer le loyer : {1}
,Move-in Fee,Frais d'emménagement
,Select bank account to pay rent and fees from.,Sélectionnez le compte bancaire pour payer le loyer et les frais.
,Move-in fee for {0},Frais d'emménagement pour {0}
,{0}'s rent for {1},Loyer de {0} pour {1}
,rent,loyer
,Set Rent,Définir un Loyer
,Currency charged for the move-in fee.,Monnaie utilisée pour les frais d'emménagement.
,Bank account where move-in fees and rent payments will go.,Le compte bancaire qui recevra les frais d’emménagement et le loyer.
,Housing Value:,Valeur de la résidence :
,Unavailable,Indisponible
,Select Citizens and Groups who may Access This Property.,Sélectionnez les citoyens et les groupes qui pourront avoir accès à cette propriété.
,Accessor,Accesseur
,Accessors,Accesseurs
,Resident of {0} at {1}.,Résident de {0} à {1}.
,Currently has no residence.,N'a actuellement aucune résidence.
,{0} Property Claims,Titre de propriété {0}
,Housing Value,Valeur de la résidence
,Added {0} residents.,Ajout de {0} résidents.
,You are not a resident of any deed.,Vous n'êtes résident d'aucun titre de propriété.
,Add a number of residents to the deed you're currently a resident on.,Ajoutez un certain nombre de résidents à titre de propriété dont vous êtes actuellement résident.
,"A citizen became a resident of a property, or left residency of a property.",Un citoyen est devenu résident d'une propriété ou a quitté la résidence d'une propriété.
,Is the citizen becoming a resident or leaving?,Le citoyen devient-il résident ou part-il ?
,The citizen who became a resident or left residency.,Le citoyen qui est devenu résident ou a quitté sa résidence.
,Total number of residents prior to joining.,Nombre total d'habitants avant de rejoindre.
,The position of the residency.,La position de la résidence.
,The fee charged for moving in.,Les frais d'emménagement.
,The currency the move-in fee was charged in.,La monnaie utilisée pour les frais d'emménagement.
,The reason for the residency change.,Le motif du changement de résidence.
,The rent that they will be charged/were charged.,Le loyer qui a été ou sera facturé.
,The currency the rent was charged in.,La monnaie utilisée pour le loyer.
,Can't place block there,Impossible de placer un bloc ici
,{0} Specialty\nLearned,Spécialité {0}\nApprise
,Recurring transfers like rent and wages are paid after this many minutes.,Les transferts récurrents comme les loyer ou les salaires sont versés après ce nombre de minutes.
Help text for chat command /veto,Veto an election.,Mettre son veto à une élection.
,Are you sure to exit from map without saving?,Etes-vous sûr de vouloir quitter la carte sans sauvegarder ?
,Map entry,Entrée de carte
,{0} may have {1} plots. Still left: {2},{0} possède {1} parcelles. Restant : {2}
,This plot is part of {0}.,Cette parcelle fait partie de {0}.
,This plot is already claimed.,Cette parcelle est déjà revendiquée.
,Starting a New {0},Commencer un nouveau {0}
,Are you sure you want to {0} world {1}?,Voulez-vous vraiment {0} le monde {1} ?
,Connecting to {0},Connexion au {0}
,LocalServer - {0},Serveur Local - {0}
,Loading items,Chargement des objets
,Dive/Sneak,Plonger/S'accroupir
,Toggle Notification Panel,Activer le centre de notifications
,Delete Server,Supprimer le serveur
,Copy Local Server,Copier le serveur local
,Rename Local Server,Renommer le serveur local
,Refresh Server List,Actualiser la liste des serveurs
,Storage Silo,Silo de stockage
,"A wooden silo capable of storing extra large stacks of crops, seeds, and fertilizer. Silos are not able to store other types of materials.","Un silo en bois pouvant stocker de très grandes piles de récoltes, de graines, et d'engrais. Les silos ne peuvent pas stocker d'autres types de matériaux."
,Standing Steel Brick Sign,Panneau sur pied de brique et d'acier
,Standing Long Steel Sign,Long panneau sur pied en acier
,Standing Glass Sign,Grand panneau sur pied en verre
,Powered Storage Silo,Silo de stockage électrique
,"A powered silo capable of storing extra large stacks of crops, seeds, and fertilizer. Silos are not able to store other types of materials.","Un silo électrique pouvant stocker de très grandes piles de récoltes, de graines et d'engrais. Les silos ne peuvent pas stocker d'autres types de matériaux."
,Hanging Steel Shop Sign,Panneau suspendu en acier pour magasin
,Hanging Steel Plain Sign,Panneau suspendu en acier épuré
,Hanging Steel Mine Sign,Panneau suspendu en acier pour mine
,Hanging Steel Framed Sign,Grand panneau suspendu encadré en acier
,Hanging Long Steel Sign,Long panneau suspendu en acier
,Corrugated Steel Fence Door,Porte en acier ondulé à croisillons
,Corrugated Steel Door,Porte en acier ondulé
,Half Slope B,Demi-pente B
,Half Slope A,Demi-pente A
,hit,coup nécessaire
,Chimney pipe output must be not farther than {0} blocks by horizontal from the object output.,La sortie du conduit de cheminée ne doit pas être à plus de {0} blocs à l'horizontale depuis la sortie de l'objet.
,Chimney pipe must have only one open end.,Le conduit de cheminée ne doit avoir qu'une seule extrémité de sortie ouverte.
,Chimney pipe output must be outside of all rooms.,La sortie du conduit de cheminée doit être à l'extérieur de toutes les pièces.
,Chimney pipe output must be above the object.,La sortie du conduit de cheminée doit être au-dessus de l'objet.
,"Chimney pipe must have only one open end, outside of all rooms, above the object and within {0} blocks by horizontal.","Le conduit de cheminée ne doit avoir qu'une seule extrémité de sortie ouverte, qui soit à l'extérieur de toute pièce, au-dessus de l'objet et à moins de {0} blocs à l'horizontale."
