English,Korean
Using tools requiring calories,도구를 쓰는 데 필수로 소모되는 칼로리
Fishing,낚시
Trading,Trading
Setting up contracts,Setting up contracts
{0} For Sale,{0} 판매
{0}\nGuide,{0}\nGuide
The amount of objects shown on the minimap and its actual quality.\n\nPerformance impact: Average,미니맵에 나오는 물체의 개수 및 그 세밀한 정도. \n\n성능 영향: 보통
"Enables / disables voice chat, this includes speaking and listening to other players.","다른 플레이어와 대화하고 듣는 것을 비롯하여, 음성 채팅을 활성화 / 비활성화합니다."
Used to simulate outdoor light rays in the environment.\n\nPerformance Impact: Average,환경에서의 야외 광선을 모사하는 데 쓰입니다. \n\n 성능 영향: 평균
OK \n,예 \n
Accept\n,Accept\n
Mark Failed\n,Mark Failed\n
Show Interact Cursor\n,Show Interact Cursor\n
Add New Entry\n,Add New Entry\n
Start\n,Start\n
No\n,No\n
Yes\n,예\n
Housing\n,Housing\n
Residents\n,Residents\n
Residency\n,주거지\n
\nThe list of players who have access to the deed.\nThese players will have full authority  for objects on the deed.,\n해당 증서에 권한을 가지는 플레이어 명단입니다. \n해당 플레이어들은 이 증서의 개체들에 대하여 모든 권한을 지니게 됩니다.
Q,Q
Recalculate\n,Recalculate\n
Edit\n,Edit\n
Restart Tutorial\n\n,튜토리얼 재시작하기\n\n
Property On Deed:\n,증서에 딸린 재산:\n
Work\n,Work\n
Settlements\n,정착지\n
Manage Rent\n,임대 관리\n
Min \nDurability:,최소 \n내구도:
Set\n,Set\n
Invited Residents\n,Invited Residents\n
Resources\n,Resources\n
Expand / collapse all trade groups.,Expand / collapse all trade groups.
(Applied),(Applied)
(Invited),(Invited)
Who can Access,Who can Access
Housing points,Housing points
Mac's Mansion,Mac's Mansion
Preview,미리보기
5 hours teaching time queued (1.5 classes),5 hours teaching time queued (1.5 classes)
6 Hours,6 Hours
Wave,Wave
Salute,Salute
Pinned,Pinned
Important,Important
Shows commands to profile the server and generate diagnostic data.,Shows commands to profile the server and generate diagnostic data.
Achievements Enabled,Achievements Enabled
Camera Mode Enabled,카메라 모드 활성화
Should the Camera mode be enabled? (Note: this system is not finished yet and is currently disabled),카메라 모드를 활성화합니까? (참고: 해당 시스템은 아직 완성되지 않아 현재는 비활성화 상태임)
List of different teleportation commands,List of different teleportation commands
repopulateanimallayer,repopulateanimallayer
Reset animal sim population to initial values (as it was on world generation),Reset animal sim population to initial values (as it was on world generation)
Shows commands for building and tech tree manipulation,Shows commands for building and tech tree manipulation
Shows Commands related to chat.,Shows Commands related to chat.
Shows commands related to notifications.,Shows commands related to notifications.
"Shows commands allowing to list, add, remove, and clear many things in the game (including laws, titles, elections, bank accounts, and many more). Ex: /objects remove laws, Law 1","등재, 추가, 삭제, 그리고 게임 내 여러 가지 것들을 없앨 수 있도록 하는 명령어를 보여줍니다. (법률, 직함, 선거, 계좌 등 여러 가지를 포함) 예: /objects remove laws, Law 1"
Shows commands for performing an animated emote.,Shows commands for performing an animated emote.
wave,wave
sit,sit
bow,bow
salute,salute
Shows commands for controlling settlements.,정착지를 제어하는 명령어를 보여줍니다.
Shows commands for rooms manipulations.,방을 다루는 명령어를 보여줍니다.
Shows commands for property manipulations.,부지를 다루는 명령어를 보여줍니다.
Shows commands for changing things about users.,유저에 관한 것을 바꾸는 명령어를 보여줍니다.
Shows commands for users administration.,유저를 관리하는 명령어를 보여줍니다.
Shows commands for manipulating money.,돈을 다루는 명령어를 보여줍니다.
Shows commands related to the economy.,경제에 관련된 명령어를 보여줍니다.
Shows commands for manipulations with meteor.,운석 관련을 다루는 명령어를 보여줍니다.
Shows commands related to user-defined districts.,유저 지정 구역과 관련된 명령어를 보여줍니다.
"Once an election of this type completes, another of the same type cannot be started for this many days.","해당 형태의 선거가 마무리 되면, 동일한 형태의 선거를 며칠 간은 개최할 수 없습니다."
Shows commands for viewing and manipulating player titles.,플레이어의 직위를 관찰하고 다루는 명령어를 보여줍니다.
Shows commands for avatars manipulation.,아바타를 다루는 명령어를 보여줍니다.
Shows commands for world pollution manipulation.,세계 오염을 다루는 명령어를 보여줍니다.
Shows commands for skills,기술에 관한 명령어를 보여줍니다.
Shows actors related commands,Shows actors related commands
A stockpile for distributing items to new players. Allows you to choose a specific set of items which each new player will be able to take.,신규 플레이어들에게 필요한 물품을 배포하기 위한 자재 창고. 신규 플레이어가 각자 가져갈 수 있는 물품의 설정이 가능하다.
A campsite.,야영지입니다.
A porcelain bathtub for when you need to get clean or just relax.,씻고 싶거나 그냥 쉬고 싶을 때를 위한 도자기 욕조.
The assembly line allows for mass production of mechanical products.,조립 라인은 기계 관련 생산품을 양산할 수 있게 한다.
An ashlar stone bench. Great for display though maybe not as comfy as a padded couch.,각진 석재 벤치입니다. 푹신한 소파보다는 좀 불편할 수도 있겠지만 전시용으로는 아주 좋습니다.
A fancy ashlar stone table that has been adorned with gold.,금으로 화려하게 장식된 각진 석재 탁자.
All citizens are survivalists in the world of Eco. How can you save the world if you can't save yourself?,Eco의 모든 시민은 생존전문가입니다. 자기 하나 건사하지 못하면 세상은 어떻게 살리겠습니까?
Metal is an important part of progress and smelting is the first step into a new age. Levels up by crafting related recipes.,금속은 문명의 발전에 중요한 부분이며 제련은 새로운 시대로 나아가는 첫걸음입니다. 관련 제작법으로 물건을 만들어서 레벨을 올립니다.
Self-improvement increases both the amount of weight citizens can carry and their stomach capacity. It also decreases the calories expended when using hammers and shovels. Experience is gained when leveling up other specialties.,자기 개선은 한 시민이 들고 다닐 수 있는 무게의 양과 위장의 용량을 모두 늘립니다. 또한 망치와 삽을 쓸 때 소모되는 칼로리를 감소시킵니다. 타 특기의 레벨을 올릴 때 경험치를 얻습니다.
Pottery is an advancement in masonry and can provide an excellent building material for communities. Levels up by crafting related recipes.,도기는 석조의 발전된 기술로 공동체를 위해 훌륭한 건축 자재를 제공할 수 있습니다. 관련 제작법으로 물건을 만들어서 레벨을 올립니다.
Paper to carry the written word. Or used to stuff in bookshelves. Levels up by crafting related recipes.,글을 옮길 종이입니다. 책장을 채우는 데 쓰이기도 하지요. 관련 제작법으로 물건을 만들어서 레벨을 올립니다.
"While it takes some advanced tools and constructions, harvesting and refining oil can be an important step. Levels up by crafting related recipes.","발전된 도구와 건축에는 투자가 필요하지만, 석유를 뽑아내어 정제하는 것은 발전 단계에서 중요합니다. 관련 제작법으로 물건을 만들어서 레벨을 올립니다."
Hitting rocks with a pickaxe can be surprisingly difficult. Levels up by breaking rocks.,곡괭이로 바위를 치는 작업은 상상 그 이상으로 어렵습니다. 바위를 쪼개어 레벨을 올립니다.
Milling various products can create important materials for baking and other uses. Levels up by crafting related recipes.,제분 기술의 다양한 생산품은 제빵과 그 외 용도의 중요한 재료를 만들 수 있습니다. 관련 제작법으로 물건을 만들어서 레벨을 올립니다.
Mechanics for more advanced creations. Levels up by crafting related recipes.,더욱 진보된 발명품을 만들기 위한 기계공작입니다. 관련 제작법으로 물건을 만들어서 레벨을 올립니다.
Rocks and mortar can provide a suitable building material alternative to wood. Levels up by crafting related recipes.,바위와 모르타르는 목재를 대체하기에 적합한 건축 자재를 제공할 수 있습니다. 관련 제작법으로 물건을 만들어서 레벨을 올립니다.
Wood is a useful resource and cutting down trees is a skill anyone can appreciate. Levels up by felling trees and clearing debris.,원목은 유용한 자원이고 나무를 베어내는 일은 누구든지 그 진가를 인정하는 기술입니다. 나무를 베어내고 잔해를 청소하여 레벨을 올립니다.
Advanced industrialization to produce larger machines and advanced technology. Levels up by crafting related recipes.,더 커다란 기계와 발전된 기술로 고도의 산업화를 이룩합니다. 관련 제작법으로 물건을 만들어서 레벨을 올립니다.
Hunt animals for skin and meat. Levels up by successfully hunting.,가죽과 고기를 얻기 위하여 동물을 사냥하세요. 성공적으로 사냥하여 레벨을 올립니다.
Glassworkers have improved ability to create glass which can be used as a clear building material or framed in steel to create a more industrial look. Levels up by crafting related recipes.,유리 세공업자의 유리 제작 능력이 향상되어 투명한 건축 자재로 사용되거나 강철 창문틀을 만들어 공장 특유의 느낌을 가미하는 데 쓰일 수 있습니다. 관련 제작법으로 물건을 만들어서 레벨을 올립니다.
Gathering covers harvesting materials from both the natural environment and human-created farms. Levels up by gathering plants - farmed or natural.,채집은 자연 환경과 인간이 만든 농장에서 모두 작물들을 수확하는 것을 다룹니다. 농장이나 자연에서 식물을 수확하여 레벨을 올립니다.
"Adding additional nutrients to the soil can improve farming yield or, if overdone, ruin it. Levels up by crafting related recipes.","토양에 비료를 뿌려 땅을 비옥하게 만드니 농업 생산량을 향상시할 수 있지만, 과하게 뿌리면 망칠 수도 있죠. 관련 제작법으로 물건을 만들어서 레벨을 올립니다."
The art of planting and cultivating flora. Levels up by crafting related recipes and using the hoe.,식물을 기르거나 재배하는 것과 관련된 기술입니다. 관련 제작법으로 물건을 만들거나 호미를 사용하여 레벨을 올립니다.
Electronics improves the recipes for many advanced materials needed for advanced technology. Levels up by crafting related recipes.,전자공학은 첨단 기술에 필요한 여러 첨단 자재의 제작법을 개량합니다. 관련 제작법으로 물건을 만들어서 레벨을 올립니다.
Cutting edge cooking works with ingredients that don't quite sound like food but can potentially provide high calorie and nutrition. Levels up by crafting related recipes.,식품공학은 왠지 먹을 수 없을 것만 같은 재료들로 조리를 하는 기술이지만 잠재적으로 높은 칼로리와 영양소가 풍부한 음식을 제공할 수 있습니다. 관련 제작법을 제작하여 레벨을 올립니다.
The basics of cooking in a more civilized environment give bonuses to a variety of food recipes. Levels up by crafting related recipes.,더욱 문명화된 환경에서의 요리법 기초는 다양한 음식의 조리법에 보너스를 줍니다. 관련 조리법으로 요리를 만들어서 레벨을 올립니다.
Allows the construction of advanced wood products for furniture and houses. Levels up by crafting related recipes.,가구 및 주택용 고급 목공품의 제작을 가능하게 합니다. 관련 제작법으로 물건을 만들어서 레벨을 올립니다.
Cutting logs into usable crafting and building materials is an important skill for budding communities. Levels up by crafting related recipes.,제작과 건축 자재로 유용한 잘라낸 통나무는 사회를 이루는 데 매우 중요한 기술입니다. 관련 제작법으로 물건을 만들어서 레벨을 올립니다.
Advanced techniques for producing food over a campfire with a little less burned and a little more golden brown. Levels up by crafting campfire recipes.,모닥불 요리를 좀 더 덜 태우고 약간 황금빛에 가깝게 만들어 낼 수 있는 고급 기술입니다. 관련 조리법을 제작하여 레벨을 올릴 수 있습니다.
Butchery allows for more usable products to be harvested from hunted animals and fish. Levels up by crafting related recipes.,도축업자는 사냥한 동물과 잡은 물고기에게서 얻어지는 사냥감을 더욱 쓸모있는 제품으로 만들 수 있게 합니다. 관련 제작법으로 물건을 만들어서 레벨을 올립니다.
Basic Engineering allows easier construction of roads and gives access to early forms of mechanical power. Levels up by crafting related recipes.,기초 공학은 도로 건설을 수월하게 해주고 초기형 기계식 동력을 사용할 수 있게 해줍니다. 관련 제작법으로 물건을 만들어서 레벨을 올립니다.
An introduction to cooking with an oven. Levels up by crafting related unleavened recipes.,요리에 오븐을 도입합니다. 발효되지 않은 것에 관련된 조리법으로 음식을 만들어서 레벨을 올립니다.
Advanced smelting aids in the production of steel - a key ingredient in the progress of any group. Levels up by crafting advanced smelting recipes.,고급 제련은 철강 생산에 필요한 기술이자 모든 기술 발전의 핵심 요소입니다. 고급 제련에 관련된 제련법으로 물건을 만들어서 레벨을 올립니다.
Advanced masonry allows the production of high-quality stone furniture and material for houses. Levels up by crafting related recipes. ,고급 석조 기술을 이용해 질 높은 석조 가구와 집을 이루는 재료들을 생산할 수 있습니다. 관련 제작법을 제작하여 레벨을 올릴 수 있습니다. 
Advanced cooking techniques for producing more complex foods. Levels up by crafting advanced cooking recipes.,더욱 복잡한 기술을 요하는 요리를 만들 때 필요한 고급 요리 기술입니다. 고급 요리에 관련된 요리법으로 요리를 만들어서 레벨을 올립니다.
Advanced baking mostly improves recipes that involve a leavening agent. Levels up by crafting advanced baking recipes.,고급 제빵은 팽창제가 들어가는 요리법을 대다수 개량합니다. 고급 제빵에 관련된 조리법으로 음식을 만들어서 레벨을 올릴 수 있습니다.
Basic Upgrade that greatly increases efficiency when crafting Tailoring recipes.,이 기초 업그레이드는 재단 물품을 제작할 때 효율이 크게 증가합니다.
Modern Upgrade that greatly increases efficiency when crafting Tailoring recipes.,이 현대식 업그레이드는 재단 물품을 제작할 때 효율이 크게 증가합니다.
Modern Upgrade that greatly increases efficiency when crafting Mechanics recipes.,이 현대식 업그레이드는 기계공작 물품을 제작할 때 효율이 크게 증가합니다.
A dead turkey.,죽은 칠면조입니다.
An extremely useful synthetic material derived from petrochemicals.,석유화학으로 얻어낸 극히 유용한 합성 재료.
Provides speed and torque conversions from a rotating power source to another device.,회전하는 동력원에서 다른 장치로 속도와 회전력을 제공하는 부품.
An iron bolt used to hold together inventions.,장치들을 서로 잡아두는 데 쓰이는 철제 볼트.
"A crustacean that loves the ocean, just don't get caught in its pinch!","A crustacean that loves the ocean, just don't get caught in its pinch!"
A blue shark.,청새리상어입니다.
"A dressed salad that, with the added sweetness, it's pretty tasty.","A dressed salad that, with the added sweetness, it's pretty tasty."
Colocasia esculenta.,먹을 수 있는 연근 뿌리.
To give thanks for the fact that this food gives two extra nutrients than other food items of the same tier.,감사하게도 이 음식은 같은 등급의 다른 음식들과 달리 두 가지 영양소를 함유하고 있다.
A thick stew chock-full of meat and charred vegetables. A surprisingly good combination.,A thick stew chock-full of meat and charred vegetables. A surprisingly good combination.
"Comforting, best served hot from the griddle.",불판에서 가장 맛있게 대접하는 편안함.
Round and large.,Round and large.
Nice fresh Pineapple.,신선한 파인애플.
Nice fresh Papaya.,신선한 파파야.
A sweet pastry that is great for breakfast or anytime you need a quick boost of energy.,아침 식사 대용 혹은 기운이 좀 필요할 때 먹기 좋은 달달한 페이스트리.
Deep fried Camas. Bit greasy.,튀긴 카마스. 좀 기름지다.
Tiny Cup Mushrooms.,술잔 버섯.
Agave leaves that have been charred over a campfire.,모닥불 위에 올렸던 용설란 잎.
"A thick stew chock-full of meat, camas, and corn. A surprisingly good combination.","A thick stew chock-full of meat, camas, and corn. A surprisingly good combination."
Boletus edulis.,먹을 수 있는 버섯.
Baked taro root.,구운 토란입니다.
A multipurpose filler that is made from what you have available.,당장 가용한 재료로 만든 다목적 보충제.
"An excellent fertilizer that provides a mix of nutrients, but especially potassium.","An excellent fertilizer that provides a mix of nutrients, but especially potassium."
It just looks cool.,조금 멋있어 보이네요.
"A fossil fuel essential for manufacturing gasoline, plastics, and asphalt. Its extraction, transport, and burning all have environmental impacts.","휘발유, 합성수지, 아스팔트 등을 생산하는 데 필수적인 화석 연료. 이 연료를 시추, 운송, 연소하는 과정들 모두 환경에 영향을 끼친다."
A dusty surface formed by tampering dirt with a road tool. It's servicable for any wheeled vehicle.,도로 정비 도구로 흙을 다져 만든 흙먼지가 날리는 노면. 바퀴 달린 모든 운송수단에 제 역할을 다한다.
"To discover skill, construct a {0} at a {1}.",이 기술을 알아내려면 {1}에서 {0}을(를) 만드세요.
Shows commands for preforming debugging and hard testing commands.,Shows commands for preforming debugging and hard testing commands.
Shows commands for spawning a storage with predefined set of items in the game,Shows commands for spawning a storage with predefined set of items in the game
Click to activate this channel in the Chat input.,클릭하여 해당 채널에서의 채팅 입력을 활성화합니다.
Cannot remove a pinned tab,Cannot remove a pinned tab
Cannot delete a pinned tab,Cannot delete a pinned tab
It doesn't taste great.,It doesn't taste great.
...and {0} other items,...and {0} other items
Shows commands related to work parties.,Shows commands related to work parties.
This position can be replaced by a new election now.,새로운 선거를 당장 열어서 자리를 대체할 수 있습니다.
{0} {1} block {2} passed: {3},{0} {1} block {2} passed: {3}
Shows commands related to world stuff.,Shows commands related to world stuff.
Shows commands for tutorials.,Shows commands for tutorials.
Use a hammer to start building a house from the logs you've processed.,Use a hammer to start building a house from the logs you've processed.
Here you can control access to your tent.\nYou can also configure access to your entire property as follows:,야영지의 권한을 조정할 수 있는 곳입니다.\n아래에서 소유지 전체의 권한도 조정할 수 있습니다.
Objects Containing {0},Objects Containing {0}
"The skill scroll can't be created, there is not enough space in the inventory.",인벤토리의 공간이 모자라 기술 두루마리를 만들 수 없습니다.
Shows commands for a variety of housing operations.,Shows commands for a variety of housing operations.
Shows commands for crafting process.,Shows commands for crafting process.
Shows commands for common testing scenarios.,Shows commands for common testing scenarios.
"Create all the government objects in their needed buildings near you, ratify the constitution, and add at least one of each civics object to their tables. Pass 'false' to make the constitution not require elections to make changes.","근처 건물에 필요한 정부 구조물을 생성하고, 헌법을 비준하며, 각 구조물에 최소 하나의 시민 관련 개체을 추가합니다. '거짓' 값을 치면 헌법을 만들거나 바꾸기 위하여 선거를 치루지 않아도 됩니다."
Shows commands for achievements.,Shows commands for achievements.
"You can't sell {0}, you don't have this item.",{0}을(를) 팔 수 없습니다. 해당 물품을 보유하고 있지 않습니다.
"You can't buy {0}, it's out of stock.",재고가 없어서 {0}을(를) 구매할 수 없음.
Server dirtied tooltip parts:\n{0},Server dirtied tooltip parts:\n{0}
Ctrl+Click,Ctrl+Click
Alt+Click,Alt+Click
How much debt would you like to pay off to {0}?,How much debt would you like to pay off to {0}?
You owe {0}.,You owe {0}.
"Wrong number of arguments. Expected arguments count: {0}, but {1} extra args present.","Wrong number of arguments. Expected arguments count: {0}, but {1} extra args present."
"Wrong number of arguments. Expected arguments count: {0}, but {1} arguments missing.","Wrong number of arguments. Expected arguments count: {0}, but {1} arguments missing."
Wrong argument value. Can't convert argument {0} to {1}.,Wrong argument value. Can't convert argument {0} to {1}.
UI cache enabled,UI cache enabled
UI cache disabled,UI cache disabled
UnknownSource,UnknownSource
Profiling data snapshot saved to {0},Profiling data snapshot saved to {0}
Start taking profiling data snapshot and saving to {0} (for next {1:N} seconds)...,Start taking profiling data snapshot and saving to {0} (for next {1:N} seconds)...
Toggle All Source Inventories,모든 출발 인벤토리 버튼
Allow the store to sell items from all linkable storage,상점에 연결 가능한 모든 저장소의 물품의 판매를 허용
Toggle All Destination Storages,모든 도착 저장고 버튼
Allow the store to deposit purchased items into all linkable storage,상점에 연결 가능한 모든 저장소에 사들인 물품의 비축을 허용
Toggle Source Inventory,공급 인벤토리 버튼
Allow the store to sell items from this storage,상점에서 이 저장소의 물품을 판매하는 것을 허용
Toggle Destination Storage,도착 저장고 버튼
Allow the store to deposit purchased items into this storage,상점에 연결 가능한 모든 저장소에 사들인 물품의 비축을 허용
Toggle All Crafting Inputs,모든 제작 반입 버튼
Toggle All Crafting Outputs,모든 제작 반출 버튼
Toggle Crafting Input,제작 반입 버튼
Toggle Crafting Output,제작 반출 버튼
How much debt would you like to pay off to {debt.Lender}? \nYou owe {Text.StyledNum(debt.Am,How much debt would you like to pay off to {debt.Lender}? \nYou owe {Text.StyledNum(debt.Am
Selected: 0,Selected: 0
Multiple rooms with different types of furniture in each one will give you a bonus.,Multiple rooms with different types of furniture in each one will give you a bonus.
Expands or collapses all linkable inventories.,연결 가능한 모든 보관소 목록을 펼치거나 접습니다.
Transparent mode opacity,투명 모드에서의 불투명도
Linkable inventories,연결 가능한 보관소
53m NW,53m NW
Wanted,원함
Quantity:,Quantity:
Backward/Forward/Left/Right,Backward/Forward/Left/Right
Rotate Left/Rotate Right,왼쪽으로 회전/오른쪽으로 회전
Drop / Pull Hook,Drop / Pull Hook
+8 slots hidden from filter,+8 slots hidden from filter
Total {0}: {1},Total {0}: {1}
Revolting!,줘도 안 먹어!
Horrible!,끔찍한!
Yuck.,우윀
Yum!,맛있다!
Delicious!,이야 맛있다!
Incredible!,Incredible!
"The quality of your diet increases your {0}, which raises your XP faster.","식단의 질이 좋을수록 {0} 가 증가하는데, 경험치를 더 빠르게 올립니다."
Nutrition Multiplier,영양 배수
calories,칼로리
nutrition,nutrition
"{0} at {1}, {2} ","{0} at {1}, {2} "
You find this food tastes {0},이 음식의 맛은 {0}입니다
This {0} is unable to move underwater. Dismounting.,{0}은(는) 물 속에서 움직일 수 없습니다. 강제로 하차됨.
This {0} is unable to move underwater,{0}은(는) 물 속에서 움직일 수 없음
Are you sure you want to disconnect?,접속을 끊겠습니까?
Allow the store to sell items from all linkable storage.,상점에 연결 가능한 모든 저장소의 물품의 판매를 허용합니다.
Allow the store to deposit purchased items into all linkable storage.,상점에 연결 가능한 모든 저장소에 사들인 물품의 비축을 허용합니다.
Allow the store to sell items from this storage.,상점에서 이 저장소의 물품을 판매하는 것을 허용합니다.
Allow the store to deposit purchased items into this storage.,상점에서 이 저장소에 사들인 물품의 비축을 허용합니다.
Allow the Crafting Table to use ingredients from all linkable storage.,작업대에서 연결 가능한 모든 저장소의 물품을 재료로 사용하도록 허용합니다.
Allow the Crafting Table to place finished products into all linkable storage.,작업대가 제작을 다 마친 제품들을 연결 가능한 모든 저장소에 두도록 허용합니다.
Allow the Crafting Table to use ingredients from this storage.,이 저장소의 물품을 작업대가 재료로 사용하도록 허용합니다.
Allow the Crafting Table to place finished products into this storage.,작업대가 제작을 다 마친 제품들을 이 저장소에 두도록 허용합니다.
Show hidden tabs,Show hidden tabs
Quit Game,게임에서 나가기
Exit To Main Menu,메인 메뉴로 나가기
LINKABLE INVENTORIES,연결이 가능한 보관소
"In this section you can see inventories that are within range to be accessed by this object.\n\nThis object will input and output automatically to the inventories you select here, prioritized according to their order in this list.","해당 구역에서 여러분은 이 개체와 이어질 수 있는 거리 내의 보관소들을 볼 수 있습니다.\n\n 해당 개체는 여러분이 고른 보관소에서 투입과 반출을 자동적으로 시행하며, 보관소 목록의 순서에 따라서 그 우선순위가 정해집니다."
WANTED,원함
FOR SALE,판매
Complete Trade,거래 완료
ADD TO CART,ADD TO CART
Shopping Cart,장바구니
SELECTED,SELECTED
Change Chat text size,채팅의 글자 크기를 변경합니다.
Transparent mode opacity\n,투명 모드에서의 불투명도\n
Change Opacity of Chat Log when in Transparent Mode,투명 모드일 때 채팅 로그의 불투명도를 바꿉니다.
News Feed,News Feed
Enter name...,Enter name...
Build Form\n,Build Form\n
Resume,계속 진행하기
The value must be between 0.25 and 100.,값은 0.25에서 100 사이여야 합니다.
dottrace,dottrace
Profiling active,Profiling active
Ready to run profiling,Ready to run profiling
Profile CPU with dotTrace,Profile CPU with dotTrace
Right-click to learn {0} (consumes item),{0}을(를) 배우려면 마우스 오른쪽을 누르세요 (물품을 소비함)
You already know this skill,이미 해당 기술을 알고 있음
Update,업데이트
Click to modify selection,클릭하여 선택을 수정하기
Failed to give {0} reputation because {1} has given their max daily reputation.,"{1} 이(가) 일일 최대 평판을 받아, 평판 {0} 을 주지 못했습니다."
{0} is now,{0} is now
{0} more,{0} more
"{0} is empty, nothing to move.",{0}은(는) 비어 있습니다. 옮길 것이 없습니다.
Destination container must be different from the source.,물건이 반출되는 보관소는 반입 보관소가 아니어야 합니다.
"Cannot transport unique items (tools, deeds, etc).","특별한 물품들(도구, 증서, 등)은 운송할 수 없습니다."
Craft a {0} using the resources you've collected.,Craft a {0} using the resources you've collected.
"When finished crafting, retrieve the {0} from the storage tab.","When finished crafting, retrieve the {0} from the storage tab."
You'll need to strip your logs of bark at your {0} to build with them.,You'll need to strip your logs of bark at your {0} to build with them.
Place down your {0}.,{0}을(를) 내려놓으세요.
Open the workbench and find the {0} Recipe. Click 'Order'.,작업대를 열고 {0} 제작법을 찾으세요. 주문 버튼을 누르세요.
Collect at least 4 {0} in hand.  Make more if needed.,Collect at least 4 {0} in hand.  Make more if needed.
Select on toolbar and right-click to place,도구 모음에서 선택 후 오른쪽 클릭해 배치하세요
Right-click to create a {0}.,마우스 오른쪽을 눌러서 {0}을(를) 만드세요.
Right-click to consume,마우스 오른쪽을 눌러서 섭취하기
Current Research Work Orders: ,현재 연구 작업 주문: 
Hidden Tabs,Hidden Tabs
Click to close EcoLog ,Click to close EcoLog 
New Message Badge Visibility,New Message Badge Visibility
Note: Modifying these values may result in an unpredictable outcome. \r\nChange them if you know what you are doing.,참고: 해당 값들을 수정할 시 예측이 불가능한 결과가 발생할 수 있습니다. \r\n자신이 무엇을 하고 있는지 알고 있을 때에만 값을 변경하세요.
Expand / collapse advanced settings,고급 설정 접기 / 펼치기
Non-Baker,Non-Baker
Available channels:,Available channels:
Create a new channel,새 채널을 만들기
Channels list,채널 목록
Seconds,초
Minutes,분
Pinned,Pinned
Important,Important
Shows commands to profile the server and generate diagnostic data.,Shows commands to profile the server and generate diagnostic data.
The address of a Discord server used for players on this world.  Should only include the portion after 'https://discord.gg/' as that will be filled in.,이 세계의 플레이어들이 사용하는 Discord 서버의 주소입니다. 나중에 알아서 채워지므로 'https://discord.gg/'의 뒷 부분만 포함해야 합니다.
Face Tracking Enabled,Face Tracking Enabled
Achievements Enabled,Achievements Enabled
Allows players to use facetracking feature,플레이어가 안면추적 기능의 사용을 하도록 허용
Should the achievements be enabled or not? (Note: this system is incomplete),업적을 활성화합니까? 아니면 비활성화합니까? (참고: 해당 체계는 미완성 상태임)
List of different teleportation commands,List of different teleportation commands
repopulateanimallayer,repopulateanimallayer
Reset animal sim population to initial values (as it was on world generation),Reset animal sim population to initial values (as it was on world generation)
Shows commands for building and tech tree manipulation,Shows commands for building and tech tree manipulation
Shows Commands related to chat.,Shows Commands related to chat.
Shows commands related to notifications.,Shows commands related to notifications.
"Shows commands allowing to list, add, remove, and clear many things in the game (including laws, titles, elections, bank accounts, and many more). Ex: /objects remove laws, Law 1","등재, 추가, 삭제, 그리고 게임 내 여러 가지 것들을 없앨 수 있도록 하는 명령어를 보여줍니다. (법률, 직함, 선거, 계좌 등 여러 가지를 포함) 예: /objects remove laws, Law 1"
Shows commands for performing an animated emote.,Shows commands for performing an animated emote.
Displays info on what settlement this claim stake is tied to.,Displays info on what settlement this claim stake is tied to.
Target Settlement,대상 정착지
"Invite a member of a lower-level settlement to become a member of this settlement (or accept their application to do so, if it exists).",낮은 등급의 정착지 구성원을 초대하여 해당 정착지의 구성원이 되도록 합니다. (혹은 그러한 신청이 존재한다면 그 신청을 수락하면 됩니다.)
"Apply for this settlement to become a member of a higher-level settlement (or accept an invitation to do so, if it exists).",해당 정착지가 신청을 넣어서 높은 등급의 정착지의 구성원이 되도록 합니다. (혹은 그러한 초대가 존재한다면 그 초대를 수락하면 됩니다.)
Displays and sets the settlement that is the parent of this claim stake.,Displays and sets the settlement that is the parent of this claim stake.
Shows commands for controlling settlements.,정착지를 제어하는 명령어를 보여줍니다.
Settlement Name,정착지 이름
Shows commands for rooms manipulations.,방을 다루는 명령어를 보여줍니다.
Shows commands for property manipulations.,부지를 다루는 명령어를 보여줍니다.
Loaded,Loaded
Shows commands for changing things about users.,유저에 관한 것을 바꾸는 명령어를 보여줍니다.
Shows commands for users administration.,유저를 관리하는 명령어를 보여줍니다.
Shows commands for manipulating money.,돈을 다루는 명령어를 보여줍니다.
Shows commands related to the economy.,경제에 관련된 명령어를 보여줍니다.
Shows commands for manipulations with meteor.,운석 관련을 다루는 명령어를 보여줍니다.
Shows commands related to user-defined districts.,유저 지정 구역과 관련된 명령어를 보여줍니다.
Percent Of Days To Be Active For Long Term Demographic,인구통계에서 장기간 상태가 되는 활동적인 일 수의 비율
Percent of days a user needs to be considered active (as determined by other property) to be in the 'Long Term demographic'.  1 = 100%,유저가 '장기 인구통계'가 되기 위해 활동적이라고(다른 부지에 따라 결정됨) 간주되기 위해 필요한 일 수의 비율. 1 = 100%
Revoke Citizenship,시민권 박탈
Revoke the citizenship of a player.,플레이어 한 명의 시민권을 박탈합니다.
Player who's citizenship is being revoked.,자신의 시민권이 박탈된 플레이어입니다.
Shows commands for viewing and manipulating player titles.,플레이어의 직위를 관찰하고 다루는 명령어를 보여줍니다.
Hours Required,시간이 필요함
Days Active,Days Active
'Active' days count of a citizen. (A day is considered 'Active' if citizen was online for more than the required amount of time per day),시민의 '활동적인' 시간을 셉니다. (하루마다 필요로 하는 시간보다 더 오래 접속했으면 그 날은 '활동적인'으로 간주함)
The citizen whose 'Active' days we are counting.,The citizen whose 'Active' days we are counting.
