English,Polish
Each workstation needs 'support' matching its tier value.,
"For support objects, this many repeats will still provide value in a classroom.",W przypadku obiektów pomocniczych taka liczba powtórzeń nadal będzie stanowić wartość w sali lekcyjnej.
"Increases learning speed by this multiplier, summing with other furnishings.","Zwiększa szybkość uczenia się, o ten mnożnik, sumując się z innymi meblami."
Increase calorie efficiency for studying by this multiplier in this classroom.,"Zwiększ efektywność kaloryczną podczas nauki, o ten mnożnik, w tej klasie."
Increase calorie efficiency for teaching by this multiplier in this classroom.,"Zwiększ efektywność kaloryczną podczas nauczania, o ten mnożnik, w tej klasie."
Stars Used,
Method Learned,
Number of stars used.,
Was the skill gained by self-teaching or education?,
Create Tree Debris,Tworzenie ścinek drzewnych
A citizen felled a tree and created debris,Obywatel ściął drzewo i stworzył ścinki
The citizen who chopped down the tree that is generating debris.,"Obywatel, który ściął generujące ścinki drzewo."
The average location of the debris.,Przeciętne położenie ścinek.
The number of debris blocks created in this action.,Ilość bloków ścinek utworzonych przez tę akcję.
Open Door Action,Akcja otwarcia drzwi
Student,Uczeń
Teacher,Nauczyciel
Student enrolling.,
"The teacher, if one is assigned.",
Tuition Fee,
Tuition Currency,
Teacher Percent,Procent Nauczyciela
Subject Being Taught,
Enroll Action,
A student enrolled in a class.,
"Tuition fee, held in escrow.",
Currency which tuition is charged in.,
Percent of tuition to be held for teacher.,Procent czesnego przeznaczonego dla nauczyciela.
The subject being taught in this class.,
Tuition Fee Total,
Tuition Fee Paid To Teacher,
Tuition Fee Paid To Owner,
Tuition Fee Refunded,
"Final tuition fee (prorated if left early), in total.",
Tuition paid to teacher.,
Tuition paid to table owner.,
"Tuition refunded to the student, if left early.",
Complete Class,
A student completed a class successfully.,Uczeń pomyślnie ukończył zajęcia.
Completion Reason,
Left Class,
A student left or was removed from a class.,Uczeń opuścił zajęcia lub został usunięty z zajęć.
Describes why the student left the class.,Opisuje dlaczego uczeń opuścił zajęcia.
String,
Hours Between Executions,
Repeat For Each User,
Currency And Amount Game Values,
offers,
addaccountmanager,
removeaccountmanager,
addaccountuser,
removeaccountuser,
createaccount,
deleteaccount,
setaccountowner,
gabe,
allrecurring,
myrecurring,
specifiedUser,
meteor,
addhours,
makevisible,
Education Context,
The student being educated.,
The teacher of the class.,
Students,Uczniowie
Subject Type,
Student Requirements,Wymagania uczniowskie
Teacher Requirements,
Percent Of Tuition Earned,Procent zarobionego czesnego
Min Students Before Teaching,Min uczniów przed nauczaniem
"Requirements that must be satisfied throughout the course. If the student fails to maintain these requirements, they will be expelled.","Wymagania, które muszą być spełnione przez cały kurs. Jeśli uczeń nie spełni tych wymagań zostanie wydalony."
"If set, students will be charged this amount upon enrollment, which will be held in Escrow until completion or unerollment, upon which it will be split with the teacher and the owner's bank account.  Students that leave class before completion will have a prorated amount refunded.  Students who have a partial education when joining will be charged a prorated tuition.",
"Requirements that must be satisfied throughout the course. If the teacher fails to maintain these requirements, they will be removed.",
Thie percentage of tuition will be paid to the teacher when a student finishes a course or unenrolls.,"Ten procent czesnego zostanie wypłacony nauczycielowi, gdy uczeń zakończy kurs lub wyrejestruje się."
"Teaching will not begin until this many students are enrolled and have met the calorie requirements for studying.  This is to limit the calorie expenditure of the teacher, which is the same regardless of the number of students being taught.",
"Teaching requires labor, paid in advance in the form of calories. When students are enrolled and have studied, their queued 'study' calories and the teachers queued 'teaching' calories will tick down together, while their education rises.",
fin,
Location To Display,
Affects where the message will be displayed.,
Total Terms Allowed,
Can Set Global Objective,
Immigrant,
The immigrant applying to become a citizen.,
A set of rules for how immigrants may become citizens of a settlement.,
Game Value Wrapper,
Game Value Context,
Comparison,
Not Value,
Arithmetic operations on other values from the world.,
Target citizen's personal bank account.,
Definition,
Variable's text representation.,
Variable's value that will be used in calculations.,
Formula,
Where,
Text Formula,
"Calculates a formula written out in text, using variables defined below.",
"The formula to compute. Can use operators +,-,*,/,%,^,(). Can use variables: add a name and you'll have the option to auto-create them from the tooltip.",
Round Type,Okrągły Typ
Round To Multiple,Zaokrąglić Do Wielokrotności
Thresholds,
Progressive Percent,Procent progresywny
"Choose a percent based on increasing thresholds, like tax-brackets.","Wybierz wartość procentową na podstawie rosnących progów, takich jak progi podatkowe."
Value to query.,
List of threshold to query progressive percent value.,Lista progów do zapytania o progresywną wartość procentową.
Threshold,
Statistical queries of the world.,Statystyczne zapytania świata.
Species Types,Rodzaje Gatunków
Statistic,Statystyka
Custom Stat Name,Nazwa statystyki zdefiniowana przez użytkownika
Time Range In Hours,Przedział Czasu W Godzinach
Time Range Type,Rodzaj Przedziału Czasowego
"The name of the stat that will be recorded, creating it if it doesn't exist. Case insensitive.",
Matches Currency,Dopasowywanie Walut
Authorized Or Not,Autoryzowany lub nie
Ignore Government Owned,Ignoruj Własność Rządu
Weight By Percent Owned,Waga według posiadanego procentu
Stats about players.,Statystyki dotyczące graczy.
Within Last Number Of Days,W ciągu ostatniej liczby dni
Population Type,
Defines what kind of population will be queried.,
House Value,
Defines what kind of house value will be queried.,
The list of districts to query.,
Queries population overlapping or contained in specific districts.,
Population At Location,
Population values at given location.,
Location to query population.,
Population At District,
Population values relative to districts.,
The relation of resident's property and the districts.,
House Value At Location,
Get a value related to housing at a given location.,
Location to check house value of.,
Analysis Type,
Property Relation Type,
House Value At Districts,
Get a value related to housing at given districts.,
Defines what analysis of the data you want to perform.,
Resident Type,
Is Resident Type,
"Check if a citizen is a resident, renter, owner, or invited on a given property",
Defines the resident type to check for.,
Sections,Sekcje
Property Location,Lokalizacja Nieruchomości
Invite Or Rescind,
Show Achievements At Trust Level,
Only achievements earned on other servers this level of trust and up will be shown in the game.,
CO2 Total Delta,
Temperature Total Delta,
Sea Level Total Delta,
Layer Type,Typ Warstwy
Subcategory,Podkategoria
Habitability Layer,Warstwa zamieszkująca
Species Change Rate,Szybkość Zmiany Gatunku
Is Terrestrial,
Decay Rate Flat,Stała stopa rozpadu
Decay Rate Percent,Szybkość rozkładu w procentach
Zero At Height Diff,Zero na różnicy wysokości
Source Influence Rate,Wskaźnik wpływu pochodzenia
Base Layer Name,Nazwa Warstwy bazowej
Height Layer Name,Nazwa Warstwy Wysokości
Celsius Range,Zakres Celsjusza
Init Multiplier,Mnożnik początkowy
Sync To Client,Synchronizacja z Klientem
Override Render Range,
Min Color,Min. Kolor
Max Color,Max. Kolor
Sum Relevant,Znaczenie sumy
Category Name,
Visible,
Render Range,Zasięg Renderowania
Value Type,Typ Wartości
Area Description,Opis Obszaru
Initial Oxygen Percent,Startowe stężenie tlenu w procentach
Initial Nitrogen Percent,Startowe stężenie azotu w procentach
Atmosphere Display Enabled,Włączone wyświetlanie atmosfery
Pollution Multiplier,Mnożnik zanieczyszczenia
Sea Level Sim Enabled,Włączona symulacja poziomu morza
Temperature Sim Enabled,Włączona symulacja temperatury
Max Sea Level Rise,Maksymalny wzrost poziomu morza
Max Temperature Rise,Maksymalny wzrost temperatury
Max Sea Level Rise Rate Per Day,Maksymalna dzienna szybkość wzrostu wskaźnika poziomu morza
Max Temperature Change Per Day,Maksymalna dzienna wartość zmiany temperatury
Pollution Per Tailing Per Tick,Zanieczyszczenie przypadające na odpad na tik
Max Debris Blocks,Maksymalna ilość bloków ścinek
Climate Settings,Ustawienia Klimatu
Push To World,Wepchnij do świata
Pull From World,Wyciągnij ze świata
Animal Behavior Lodding,
Base Skill Gain Rate,Wskaźnik przyrostu podstawowej umiejętności
Skill Damage Multiplier,Mnożnik obrażeń umiejętności
Record Layer History,Nagraj historię warstw
Layer History Backups Per Day,Dzienne pokłady kopii zapasowych historii
Time Of Day Scale,Skala pory dnia
Group By Essential Fields,
Group By All Fields,
Dont Group,
Stats Grouping Days,
Max Records To Group,
Keep Details Hours,
Rebuild Database On Exit,
Grouping Level,
"How old records can be grouped. It means it will try to process all last X days of records to group them. Usually you want to have this number low (1-2) in order to avoid process already processed records, but you can set high value (by example world age) in order to process at once all records from some old save with disabled grouping.",
"Max count of records that will be proccesed at once hourly. For reference, server with 100 players may reach 1.000.000 records per day. Usually 500.000 (default) should be ok, but you may want to tweak it if you have incredibly big count of records or if you are facing lag while it groups records.",
Most recent records wont be processed in order to have more exact values for laws like 'Users who in last 1 hour claimed plots ...'. You may want to tweak this value to increase this support.,
"It rebuilds database file at the moment of exiting the application. It may reduce space of stats file, but it will increase the time needed to exit.",
"Level of grouping data. Essential fields means only citizen, i.e, it may group action of 'drop rubble' and 'drop garbage' for same citizen. Currently othey fields are not used, so it should be good enough. But in the future there are may be another features with database, which may requiere another properties.",
Radius of initial seed points. Influences cell size.,Promień początkowych punktów wysiewu. Wpływa na wielkość komórki.
Percentage of the world to create as land. Rest will be ocean.,Procent świata do stworzenia jako ląd. Reszta będzie oceanem.
Number of cells to place as coastline.,Liczba komórek do umieszczenia jako linia brzegowa.
Number of cells to place as shallow ocean near the coast.,
Weight of land to spawn for the desert biome.,
Weight of land to spawn for the warm forest biome.,
Weight of land to spawn for the cold forest biome.,
Weight of land to spawn for the taiga biome.,
Weight of land to spawn for the tundra biome.,
Weight of land to spawn for the ice biome.,
Weight of land to spawn for the rainforest biome.,
Weight of land to spawn for the wetland biome.,
Weight of land to spawn for the steppe biome.,
Weight of land to spawn for the high desert biome.,
Number of continents to spawn.,
Range that continents avoid other land masses.,
Weight of land to spawn as smaller islands.,
Min number of smaller islands to spawn.,
Range that islands avoid other land masses.,
Minimum number of rainforest biomes to spawn. Multiple biomes can merge into one larger biome.,Minimalna liczba biomów lasów deszczowych do spawnienia. Wiele biomów może łączyć się w jeden większy biom.
Minimum number of warm forest biomes to spawn. Multiple biomes can merge into one larger biome.,Minimalna liczba ciepłych biomów leśnych do spawnienia. Wiele biomów może łączyć się w jeden większy biom.
Minimum number of cool forest biomes to spawn. Multiple biomes can merge into one larger biome.,Minimalna liczba chłodnych biomów leśnych do spawnienia. Wiele biomów może łączyć się w jeden większy biom.
Minimum number of taiga biomes to spawn. Multiple biomes can merge into one larger biome.,Minimalna liczba biomów tajgi do spawnienia. Wiele biomów może łączyć się w jeden większy biom.
Minimum number of tundra biomes to spawn. Multiple biomes can merge into one larger biome.,Minimalna liczba biomów tundry do spawnienia. Wiele biomów może łączyć się w jeden większy biom.
Minimum number of ice biomes to spawn. Multiple biomes can merge into one larger biome.,Minimalna liczba biomów lodowych do spawnienia. Wiele biomów może łączyć się w jeden większy biom.
Minimum number of desert biomes to spawn. Multiple biomes can merge into one larger biome.,Minimalna liczba biomów pustynnych do spawnienia. Wiele biomów może łączyć się w jeden większy biom.
Minimum number of wetland biomes to spawn. Multiple biomes can merge into one larger biome.,Minimalna liczba biomów bagiennych do spawnienia. Wiele biomów może łączyć się w jeden większy biom.
Minimum number of high desert biomes to spawn. Multiple biomes can merge into one larger biome.,Minimalna liczba wysokich biomów pustynnych do spawnienia. Wiele biomów może łączyć się w jeden większy biom.
Minimum number of steppe biomes to spawn. Multiple biomes can merge into one larger biome.,Minimalna liczba biomów stepowych do spawnienia. Wiele biomów może łączyć się w jeden większy biom.
Size range to spawn lakes.,
Number lakes to spawn.,
Number of rivers to spawn.,
Distance in meters that rivers avoid themselves or other rivers.,
Approximate width of rivers.,
The distance in meters from the ocean where the maximum world elevation is allowed. (x in the elevation equation [(d*x)^y]),
The power or rate of change in elevation from the ocean. (y in the elevation equation [(d*x)^y]),
"Autoscales features based on world size compared to default (720). Internally affects the number of biomes and continent size. For finer control of larger worlds, disable this feature.","Automatyczne skalowanie funkcji na podstawie wielkości świata w porównaniu z wartością domyślną (720). Wewnętrznie wpływa na liczbę biomów i rozmiar kontynentu. Aby uzyskać lepszą kontrolę nad większymi światami, wyłącz tę funkcję."
Power used in the autoscale function (worldSize / defaultWorldSize) ^ exponent,
Whether or not to save an image of the terrain after generation.,
Water Level,Poziom wody
Heightmap Module,Moduł mapy wysokości
Water Module,Moduł wody
Rainfall Module,Moduł opadu deszczu
Temperature Module,Moduł temperatur
Terrain Module,Moduł terenowy
Voxel Size,Rozmiar woksela
Frequency Scale,Skala Częstotliwości
Size Description,Opis Rozmiaru
May be used to specify weight variance. Every time when new block generated it's direction weight will be increased by random value from range [0; direction variance).,
sea,
Explorer Boots,Buty Odkrywcy
Beaver Carcass,Tusza bobra
Marmot Carcass,Tusza świstaka
Prairie Dog Carcass,Tusza nieświszczuka
Tailoring Modern Upgrade,Nowoczesne ulepszenie Krawiectwa
Blackboard,
Canning Assembly,
Cast Iron Bed,Żeliwne łóżko
Cast Iron Bench,Żeliwna ławka
Cast Iron Chair,Żeliwne krzesło
Cast Iron Royal Bed,Żeliwne łoże królewskie
Cast Iron Table,Żeliwny stół
Elevator Call Post,
Feminine Mannequin,
Hewn Dresser,
Hewn Nightstand,
Huge Banner Sign,
Huge Iron Banner Sign,
Huge Iron Sign,
Huge Steel Banner Sign,Ogromny stalowy znak banerowy
Huge Steel Sign,Ogromny stalowy znak
Huge Wooden Banner Sign,
Large Wooden Bookshelf,Średnia drewniana biblioteczka
Limestone Podium,
Masculine Mannequin,
Plastic Bench Blue,Ławka z niebieskiego plastiku
Plastic Bench Green,Ławka z zielonego plastiku
Plastic Bench Red,Ławka z czerwonego plastiku
Plastic Chair Blue,Krzesło z niebieskiego plastiku
Plastic Chair Green,Krzesło z zielonego plastiku
Plastic Chair Red,Krzesło z czerwonego plastiku
Plastic Table Blue,Stół z niebieskiego plastiku
Plastic Table Green,Stół z zielonego plastiku
Plastic Table Red,Stół z czerwonego plastiku
Pottery Table,Stół garncarski
Small Meeting Chair,Małe krzesło konferencyjne
Small Meeting Table,Mały stół konferencyjny
Steel Abstract Fixture,Stalowa abstrakcyjna oprawa
Steel Hanging Fixture,Stalowa oprawa wisząca
Steel Hanging Lamp,Stalowa wisząca lampa
Steel Kitchen Lamp,Stalowa lampa kuchenna
Steel Podium,
Steel Row Seating,
Steel Searchlight,
Steel Square Fixture,
Wooden Podium,
Amanita Mushroom Species,Gatunek Muchomora czerwonego
Barrel Cactus Species,Gatunek Okrągłego Kaktusa
Beans Species,Gatunek fasoli
Beets Species,Gatunki buraka
Big Bluestem Species,Gatunek palczatki Gerarda
Birch Species,Gatunek Brzozy
Bolete Mushroom Species,Gatunek borowików szlachetnych
Bunchgrass Species,Gatunki Trawy kępiastej
Buttonbush Species,Gatunek guzikowca zachodniego
Camas Species,Gatunek Kamasji
Cedar Species,Gatunek Cedru
Ceiba Species,Gatunek puchowca
Clam Species,Gatunek małża
Common Grass Species,Gatunek trawy
Cookeina Mushroom Species,Gatunek grzybów czarkowatych
Corn Species,Gatunek Kukurydzy
Cotton Species,Gatunki Bawełny
Creosote Bush Species,Gatunek Trójnika Pustynnego
Crimini Mushroom Species,Gatunki Pieczarki
Deer Lichen Species,Gatunek chrobotka reniferowego
Desert Moss Species,Gatunek mchu pustynnego
Dwarf Willow Species,Gatunek Wierzby karłowatej
Fern Species,Gatunek paproci
Filmy Fern Species,Gatunki Paproci
Fir Species,Gatunek Jodły
Fireweed Species,Gatunek Wierzbówki
Heliconia Species,Gatunek Helikonii
Huckleberry Species,Gatunek jagody
Jointfir Species,Gatunek przęśli
Joshua Species,Gatunki Jukki
Kelp Species,Gatunek wodorosta
King Fern Species,Gatunki Paproci Królewskiej
Lattice Mushroom Species,Gatunki Kraciastego Grzyba
Lupine Species,Gatunek łubinu
Oak Species,Gatunek dębu
Ocean Spray Species,Gatunek oceanicznych zarośli
Old Growth Redwood Species,Gatunek sekwoi olbrzymiej
Orchid Species,Gatunek Orchidei
Palm Species,Gatunek palm
Papaya Species,Gatunek papai
Peat Moss Species,Gatunek mchu torfowego
Pineapple Species,Gatunek ananasa
Pitcher Plant Species,Gatunek dzbanecznika
Prickly Pear Species,Gatunek opuncji
Pumpkin Species,Gatunek Dyni
Redwood Species,Gatunek sekwoi
Rice Species,Gatunki ryżu
Saguaro Cactus Species,Gatunek Kaktusa Saguaro
Salal Species,Gatunek Golterii
Saxifrage Species,Gatunek skalnicy
Seagrass Species,Gatunek trawy morskiej
Spruce Species,Gatunek świerku
Sunflower Species,Gatunek słonecznika
Switchgrass Species,Gatunek prosa
Taro Species,Gatunki kolokazji
Tomatoes Species,Gatunek pomidorów
Trillium Species,Gatunek trójlistu
Urchin Species,Gatunek jeżowca
Waterweed Species,Gatunek moczarki
Wheat Species,Gatunki pszenicy
White Bursage Species,Gatunek ambrozji dumosa
Max Professions per Citizen: {0},
Max Specialties per Citizen: {0},
Over-Specialization Rate: {0},
Desired Max Users: {0},
{0} star: {1},
World Skill Settings,
"0% means users get the bare-minimum number based on targeted number of players, each specialty going to each person once.  100% means everyone gets every specailty.",
Tier {0} Skills,
XP Needed For Each Star,
Each additional star after these costs {0} more than the previous.,
A device with a rotating drum that is used to shape molten synthetic materials into thin ribbons.,
Spices,
Food Storage,
Fireplace,Kominek
Food Preparation,
A device for making fabric by weaving yarn or thread.,Urządzenie do wytwarzania tkanin poprzez tkanie przędzy lub nici.
A large corrugated steel door.,Duże drzwi z blachy ryflowanej.
Used to call a nearby elevator.,
A corrugated steel door with fence-like viewing slots.,Drzwi ze stali ryflowanej ze szczelinami widokowymi przypominającymi płot.
A secure door made of hard corrugated steel.,Bezpieczne drzwi wykonane z twardej stali ryflowanej.
An automated device for making fabric by weaving yarn or thread.,Zautomatyzowane urządzenie do wytwarzania tkanin poprzez tkanie przędzy lub nici.
Fountain,
Clean Medium Fish,Czysta średnia ryba
Clean Large Fish,Oczyść dużą rybę
Campfire Fish Medium,Średnia ryba z ogniska
Campfire Fish Large,Duża ryba z ogniska
Butcher Medium Wooly Animal,Przerób średnie wełniane zwierzę
Tailoring Basic Upgrades,Podstawowe ulepszenie Krawiectwa
Basic Upgrade that greatly increases efficiency when crafting Tailoring recipes,"Podstawowe ulepszenie, które znacznie zwiększa wydajność podczas tworzenia przepisów Krawiectwa"
Modern Upgrade that greatly increases efficiency when crafting Tailoring recipes,"Nowoczesne ulepszenie, które znacznie zwiększa wydajność podczas tworzenia przepisów Krawiectwa"
"Spun wool that can be used for knitting, weaving, or sewing.",
"Wool fabric is warm and durable, but it can be slightly itchy.","Tkanina wełniana jest ciepła i trwała, ale może powodować lekkie swędzenie."
A dead prairie dog.,Martwy nieświszczuk.
Synthetic thread that has more resistance to abrasion than more natural threads.,"Nić syntetyczna, która ma większą odporność na ścieranie niż nici bardziej naturalne."
A synthetic fabric that is desired for its durability and cheap cost to produce.,
Nylon is a synthetic polymer that can be used as a cheap alternative to more natural textiles.,"Nylon to syntetyczny polimer, który może być stosowany jako tania alternatywa dla bardziej naturalnych tekstyliów."
A dead marmot.,Martwy świstak.
Cotton fiber that has been processed at a cotton gin and is ready to be used for textiles.,"Włókno bawełniane, które zostało przetworzone w odziarniarce do bawełny i jest gotowe do wykorzystania w tekstyliach."
"Cotton fabric is valued for its light weight, breathability, and softness.","Tkanina bawełniana jest ceniona za lekkość, oddychalność i miękkość."
A dead beaver.,Martwy bóbr.
A form-fitting vest and tie ensemble which includes measuring tape.,
Tailored slacks that fit just right.,"Spodnie dopasowane, tak aby leżały idealnie."
A stylish bowler hat made of tighly spun fur felt.,
Denim pants with knee patches.,Spodnie dżinsowe z łatami na kolanach.
A reinforced wrist guard paired with a lone work glove.,
A thick leather apron that provides protection from the ocassional chunk of flying metal when hammering on an anvil.,Gruby skórzany fartuch zapewniający ochronę przed przypadkowymi odłamkami metalu podczas wbijania młotka w kowadło.
A long-sleeved flannel shirt that is often worn when working outdoors.,"Flanelowa koszula z długim rękawem, często noszona podczas pracy na świeżym powietrzu."
Comfortable denim overalls to help with the frequent bending over that comes with farm work.,"Wygodny kombinezon dżinsowy, który pomaga przy częstym schylaniu się podczas pracy na roli."
A wide-brimmed straw hat designed to provide protection from the sun.,"Słomkowy kapelusz z szerokim rondem, zaprojektowany z myślą o ochronie przed słońcem."
Water-resistant nylon gloves with textured palms for increased grip.,Wodoodporne rękawice nylonowe z teksturowaną powierzchnią dłoni dla lepszego chwytu.
A short sleeved work shirt made from a blend of cotton and synthetic materials.,"Koszula robocza z krótkim rękawem, wykonana z mieszanki bawełny i materiałów syntetycznych."
Durable overalls with cargo pockets and hammer loops.,
A plastic hard hat that protects from falling objects and other hazards found in construction sites.,
Leather construction gloves with durable palms and fabric backs for breathability.,Skórzane rękawice budowlane z wytrzymałymi dłońmi i wierzchnią częścią z materiału zapewniającą oddychalność.
A woven wool floor covering attached to a lumber backing.,Tkana wykładzina podłogowa z wełny przymocowana do podkładu z drewna.
A woven nylon floor covering attached to a lumber backing.,Tkana wykładzina podłogowa z nylonu przymocowana do podkładu z drewna.
A woven cotton floor covering attached to a lumber backing.,Tkana wykładzina podłogowa z bawełny przymocowana do podkładu z drewna.
Prairie Dog,Nieświszczuk
Marmot,Świstak
Beaver,Bóbr
PrairieDog Capacity,Liczebność nieświszczuków
Marmot Capacity,Liczebność świstaków
Beaver Capacity,Liczebność bobrów
Existence,
You logged in at {0} after server start!,Zalogowano na {0} po starcie serwera!
You used a mod that had a custom achievement (this one).,
Closed,
You are not authorized to Open/Close this door.,Nie masz autoryzacji do otwierania lub zamykania tych drzwi.
This door has an invalid status and cannot be opened.,Te drzwi mają nieprawidłowy status i nie można ich otworzyć.
harvest a plant,
harvesting a plant,zbierz roślinę
Wall 3 Point,
Wall 2 Point,
Could not find height map. Using default setting.,
Saving image to {0},
Description: Shows a preview of the terrain with the current properties.,
Rivers & Lakes,
Update Preview,
Open Storage,Otwórz magazyn
Randomize Seed,Losowe Ziarno
Documentation:,
Generating terrain preview,
Insufficient amount of operands.,
Missing {0},
Provided expression is empty.,
Missing opening bracket.,
Missing operator?,
{0} is not implemented.,
Unable to perform {0} operation between {1} and {2}. The result is {3}.,
Unable to get value of {0},
Insufficient amount of operators.,
not a number,
infinity,
an,
a,
Control-click: multiply input by {0}\nAlt-click: multiply input by {1}.,
RCON,
PlayerDefaults Required and Not Found. It will cause errors in runtime.,
"Unstuck disabled, try again in {0} seconds.",
"Time for inserting with parallelCount = {0}, statsCountPerParallel = {1} and bulk = {2} is {3}",
Inserts records to DB to get perfomance information on it.,
Send multiple chat messages over time to test scrolling,
"You naturally like some foods better than others, and when you eat more of those foods you like you get a multiplier to your skills.","Naturalnym jest, że lubisz niektóre potrawy bardziej niż inne, a kiedy jesz więcej tych potraw, które lubisz, zyskujesz mnożnik do swoich umiejętności."
Tastiness Bonus: {0} (Calorie-Weigthed Average of bonuses),
"(Everyone has different tastes, determined randomly, and discovered by eating.  You have one favorite and one least favorite food.)","(Każdy ma inny gust, ustalany losowo i odkrywany poprzez jedzenie. Masz jedno ulubione i jedno najmniej ulubione jedzenie.)"
{0} discovered their favorite food ever: {1},{0} odkrył/a swój ulubiony posiłek wszechczasów: {1}
{0} discovered their most hated food ever: {1},{0} odkrył/a swój najbardziej znienawidzony posiłek wszechczasów: {1}
worse than anything,
horrible,okropne
bad,
good,
delicious,
better than anything,
least favorite,
favorite,
Food Eaten in the Last Day,Jedzenie spożyte w ostatnim dniu
It's the worst thing you've ever tasted.,"To najgorsza potrawa, jakiej przyszło ci kiedykolwiek próbować."
It tastes horrible.,To smakuje okropnie.
It tastes good.,
It's delicious!,To jest pyszne!
It's the best food you've ever tasted!,"To najlepsza potrawa, jakiej przyszło ci kiedykolwiek próbować!"
{0} of diet ({1} calories eaten),
ok,
It tastes ok.,
Subtotal:{0},
Balanced Diet Bonus,
Food Variety Multiplier,Mnożnik różnorodności pożywienia
Food Tastiness Multiplier,Mnożnik smakowitości pożywienia
You ate {0} for {1} calories. {2},"Zjadasz {0}, co zawiera następującą ilość kalorii: {1}. {2}"
Nutrition now provides {0} skill per day ({1}).,
Variety Bonus,
Tastiness Bonus,
You've eaten {0} differrent types of food in the last 24 hours of at least {1} calories of each:,"Zjedzono różne rodzaje jedzenia w liczbie {0} przez ostatnie 24 godziny, gdzie każdy rodzaj zawierał kalorie w liczbie {1}:"
Bonus: {0},
The number of different foods you eat gives you a multiplier to the value of your food.,"Liczba różnych produktów spożywczych, które jesz, daje mnożnik wartości twojego pożywienia."
Craving for {0} was set on {1}.,Pragnienie na {0} zostało ustawione na {1}.
That really hit the spot - your craving has been satisfied!,To naprawdę trafiło w dziesiątkę – Twoje pragnienie zostało zaspokojone!
You got a craving for {0}.,Masz chęć na {0}.
You could really go for some {0} right about now.,
You can't stop thinking about {0}.,
Some {0} would really taste good right now.,
You got a hankering for {0}.,
You are hungry for some {0}.,
Inventory only accepts {0}.,
There is no room for this type of resource.,Nie ma miejsca na tego typu zasoby.
Inventory doesn't accept items.,
Inventory only accepts carried items.,
Inventory only accepts non-carried items.,
Inventory is too heavy.,
Inventory only accepts fuel.,
Inventory only accepts seeds.,Ekwipunek akceptuje tylko nasiona.
Inventory only accepts clothing items fitting that slot.,W ekwipunku akceptowane są wyłącznie elementy odzieży pasujące do tego slotu.
Not enough room in inventory.,Nie ma wystarczająco miejsca w ekwipunku.
"- {0}, can teach tier {1} subjects.",
Ignored an extra {0}. Only {1} allowed of this type.,
No student workstations in room.,Brak stanowisk roboczych dla uczniów w sali lekcyjnej.
{0} unsupported: Add more education support furnishings to room.,{0} nieobsługiwane: Dodaj do pokoju więcej mebli edukacyjnych.
"(Tier is calculated as the minimum of student workstation tier ({0}), teacher's desk tier ({1}), and room tier ({2}))","(Poziom jest obliczany jako minimalny poziom stacji roboczej ucznia ({0}), poziomu biurka nauczyciela ({1}) i poziomu pokoju ({2}))"
Located at {0},
"(Each student workstation needs +1 support per tier, which comes from other education furnishings in the room.)","(Każde stanowisko robocze ucznia wymaga +1 wsparcia na każdy poziom, które pochodzi z innego wyposażenia edukacyjnego w pokoju.)"
School Room Score: {0},Wynik za pokój szkolny: {0}
Non-Functioning {0},
No teacher's desk in room.,Brak biurka nauczyciela w pomieszczeniu.
"Too many teacher's desks in room, only one allowed.","Za dużo biurek nauczycielskich w pomieszczeniu, dozwolony jest tylko jeden."
Education Furnishings,Meble edukacyjne
Education Support,
Classroom Bonuses,Bonusy sali lekcyjnej
Errors,
Classroom,Sala lekcyjna
{0} support,
{0} learning,
{0} studying,
{0} teaching,
Classroom can teach up Tier {0} subjects.,W sali lekcyjnej można uczyć przedmiotów poziomu {0}.
"{0}, can learn tier {1} subjects.",
Support required:  {0} ({1} {2} * tier {3}),
Support available: {0},
+ {0} to Learning Speed Efficiency,
+ {0} to Studying Calorie Efficiency,
+ {0} to Teaching Calorie Efficiency,
Tier {0} {1} for {2},
bonus,
repeat,
student,uczeń
Classroom {0},Sala lekcyjna {0}
School - {0},
classroom,sala lekcyjna
Room Category: {0},Kategoria pokoju: {0}
XP per day,PD na dzień
Furniture Type: {0},Typ mebli: {0}
Warning: work list must not be empty!,
Set Requirements,
Setup Payment for Work Party,
{0} granted {1}.,
{0} as {1},
{0} of the following must be true: {1}{2},
Number of {0} {1} {2},
{0} value at {1},
{0} {1} value {2} {3},
{0} is a {1},
{0} is not {1},
Total: {0},
effective percent = {0}%,efektywny procent = {0}%
The formula has no variables.,
{0} (result of {1}),
Click {0},
{0} of {1},
{0} must stand after {1},
Progressive percent of {0},Progresywny procent z {0}
Variables declared multiple times,
Unused variables,
to remove unused variables,
Undeclared variables,
to add undeclared variables,
Progressive percent,Procent progresywny
Wrong order,
Change reputation of {0} by {1} with message '{2}'.,
Transferring {0} from {1} to {2}.,
Transfer {0} from {1} to {2} {3}.,
Try transfer {0} from {1} to {2}.,
Paying {0} {1} from {2}.,
Pay {0} {1} from {2} {3}.,
Try to pay {0} {1} from {2}.,
Collecting tax of {0} from {1} into {2}.,
Collect tax of {0} from {1} into {2} {3}.,
Try to collect tax of {0} from {1} into {2}.,
Possible access through {0},
Only creator can start election.,
on property with root location in,
on property that overlaps,
Setting Up Shop,
Fireworks Show,Pokaz fajerwerków
Opened a store with at least one item listed.,
Online for the destruction of the meteor.,
Generates the world block stats,
{0} Reverted to: {1},
