English,Russian
Exhaustion,Истощение
"On this server, you are set to become exhausted after {0}. Once you are exhausted, you can still interact in the world, but cannot spend calories.","Согласно настройкам этого сервера вы устанете через {0}. Как только вы устанете, вы сможете продолжать взаимодействовать с миром, но не сможете тратить калории."
Check your exhaustion level.,Проверьте свой уровень истощения.
Can't seed a tree within {0} meters of another tree.\n\nClosest tree is {1} at {2:N1} meters {3}.,Нельзя посадить дерево ближе {0} метров от другого.\n\nБлижайшее дерево – {1} на {2:N1} метрах {3}.
Is a {0},Это {0}
You cannot schedule maintenance for {0}. Automatic maintenance is scheduled at {1}.,Вы не можете запланировать обслуживание для {0}. Автоматическое обслуживание запланировано на {1}.
Maintenance cannot be in the past.,Обслуживание не может быть проведено в прошлом.
User maintenance already scheduled. Clear the existing user maintenance first.,Обслуживание пользователей уже запланировано. Сначала очистите существующее обслуживание пользователей.
Invalid date and time,Недопустимые дата и время
Next maintenance at {0},Следующее обслуживание в {0}
Server is shutting down {0}. Reason: {1}.,Остановка сервера {0}. Причина: {1}.
Server is scheduled to shutdown at {0}. Reason: {1},Плановое отключение сервера через {0}. Причина: {1}
No maintenance scheduled.,Обслуживание не запланировано.
Server shutdown has been cancelled.,Остановка сервера была отменена.
Previously scheduled shutdown has been cancelled. Auto maintenance shutdown will happen in,Предыдущее запланированное выключение было отменено. Автоматическое выключение произойдет через
Maintenance,Обслуживание
Use Ctrl+Click to apply {0}x calories.,"Нажмите с зажатым Ctrl, чтобы добавить {0}x калорий."
Use Alt+Click to apply all calories,"Нажмите с зажатым Alt, чтобы добавить все калории"
calories of {0} labor,калории {0} работы
Can't perform action without user,Невозможно применить действие без пользователя
Cannot plant in the skies.,Нельзя сажать в небе.
Harvested from Species,Добывается из видов
Wooden Barge,Деревянная баржа
Small Wooden Boat,Маленькая деревянная лодка
Unable to {0} here. You reached the sky!,Невозможно {0} здесь. Вы достигли неба!
You briefly faint and lose control of the {0}. You are starving!,Вы ненадолго теряете сознание и теряете контроль над {0}. Вы голодаете!
General Goods,Товары общего назначения
earned,получено
spent,потрачено
Take {0},Взять {0}
Labor on {0},Работы на {0}
You do not have the ability to remove this in the constitution: {0}.,"У вас нет возможности удалить это в конституции, {0}."
{0} List,Список {0}
Global constitution isn't created properly,Глобальная конституция не была создана правильно
Immigration Policies,Иммиграционные политики
Immigration Policy,Иммиграционная политика
Can't find election!!,Не удалось найти голосование!!
Cannot execute civic actions without a valid Constitution on {0}.,Невозможно выполнить гражданские действия без действующей Конституции на {0}.
Finished in {0} sec,Завершено за {0} с
ID already existed in universal id table,ID уже существует в таблице универсальных id
Steam Game Server initialized,Игровой сервер Steam запущен
Error downloading mods,Ошибка загрузки модов
Requires {0} Level {1},Требует {0} Уровня {1}
{0} Researching,Игрок {0} проводит изучение
Discovered by: {0},Открыто игроком: {0}
{0} Level {1}:,{0} Уровень {1}:
Recipes unlocked at {0},Рецепты разблокируются в {0}
Cart,Тележка
Total size of cached strings: {0}kb,Общий размер кэшированных строк {0}Кб
(queried from server),(запрошен с сервера)
Client Tooltip Cache:,Кэш подсказок клиента:
Out of stock.,Нет в наличии.
Select Item Filter,Выбрать фильтр предметов
{0} stacks hidden by filter.,{0} стаков скрыто фильтром.
Achievements:,Достижения:
Do you wish to receive {0} {1} in exchange for your {2} {3}?,Хотите ли вы получить {0} {1} в обмен на ваши {2} {3}?
Editor was closed because {0} was deleted.,"Редактор был закрыт, потому что {0} был удалён."
To {0},К {0}
{0} whispers,{0} шепчет
SearchableListUI is not support type {0},SearchableListUI не поддерживает тип {0}
"{0} plots, {1} sq m.","{0} участков, {1} кв.м."
Wardrobe,Гардероб
Claims,Занято
"Can't leave vehicle, the way out is blocked","Невозможно выйти из транспорта, выход заблокирован"
Select Items for {0},Выбор предметов для {0}
Unknown Source,Неизвестный источник
Completed the {0} tutorial,Завершено обучение {0}
Glass Refraction,Преломление стекла
High Quality Water,Вода высокого качества
Mod Image,Изображение мода
Hand,Рука
Server ID: {0},ID Сервера: {0}
Changes the distance at which game objects are rendered.\r\n\nPerformance\r impact: High,"Регулирует расстояние, на котором отрисовываются игровые объекты.\r\n\nВлияние на производительность\r: Высокое"
Volumetric Lighting,Объемное освещение
Used to simulate outdoor light rays in the enviroment.\n\nPerformance Impact: Average,Используется для имитации внешних световых лучей в окружающей среде.\n\nВлияние на производительность: cреднее
\nAllows carts to be controlled by mouse in addition to keys. Also returns old way of carts behavior as it was in earlier versions.,\nПозволяет управлять транспортом с помощью мыши в дополнение к клавиатуре. Соответствует поведению транспорта в предыдущих версиях.
Effect used to reproduce an imaging artifact of real-world cameras.\n\nPerformance Impact: Average,"Эффекты, имитирующие шумы настоящей фотокамеры.\n\nВлияние на производительность: среднее"
Extent of the observable game world that is seen on the display at any\r given moment in the third person view. Bounds depend on camera distance.\n\nPerformance\r impact: None,Увеличение угла обзора игрового мира\rв режиме от третьего лица. Границы зависят от дальности камеры.\n\nВлияние на\rпроизводительность: нет
Autocraft\n,Авто-крафт
Master Input Inventories Toggle,
"Switching On/Off all Linked Inventories' ""Input Inventory"" toggle at once.",
Master Output Inventories Toggle,
"Switching On/Off all Linked Inventories' ""Output Inventory"" toggle at once.","Включите/выключите Тумблер ""Ввод инвентаря"" для всех связанных инвентарей одновременно."
The store is opened for customers. \nYou can temporary close it by switching the toggle.,"Магазин открыт для покупателей. \nВы можете временно закрыть его, нажав на переключатель."
Expand/Collapse children,Развернуть/Свернуть дочерние
Expands or collapses the children settlements,Раскрыть/свернуть список дочерних поселений
"The hammer can shape the material into many forms: windows, floors, stairs, etc.","При помощи молотка материалу можно придать различные формы: окна, полы, лестницы и другие."
How to Build,Как строить
All the forms can be built one at a time or in multiples.,Все формы могут быть построены по одной или с использованием различных типов заполнения.
You can select this in the building menu as well.,Вы также можете выбрать их в меню строительства.
Scroll to bottom,Пролистать вниз
Copy to clipboard,Копировать в буфер
Food Panel Unlocked,Панель еды разблокирована
Housing Panel Unlocked,Панель Жилища разблокирована
You can discover new specialties and unlock new recipes by reading skill scrolls.,Вы можете открыть новые специальности и разблокировать новые рецепты читая страницы навыков.
Skills Panel Unlocked,Панель навыков разблокирована
Choose professions and specialties here.,Выбирайте профессии и специальности здесь.
Rent\n,Аренда\n
These benefits can be improved by leveling-up the specialty.,Эти преимущества могут быть улучшены путём повышения уровня специальности.
Baker,Пекарь
How to Level-Up,Как повышать уровень
Option,Настройка
How to Craft,Как производить
Post\n,Отправить\n
"Chat channels help us to organize chat messages into specific topics. You can filter which channels to listen to in your chat tab settings. \nTo write a message to your channel, use # symbol (<i>e.g. #General</i>).","Каналы чата помогают группировать сообщения в чате по определенным тематикам. Вы можете отфильтровать какие каналы отображать в настройках вкладок чата. \nЧтобы отправить сообщение в нужный канал, используйте символ # (<i>например #Общий</i>)."
Set up chat sources to be visible within this chat tab.,"Выберите источники, которые будут видны на этой вкладке чата."
Display Filter,Фильтр отображения
Display only selected items.,Отображает только выбранные предметы.
Clear filters,Сбросить
"Clear all active filters, including any name filters.","Очистить все активные фильтры, включая фильтры по имени."
Collapse/Expand all,Свернуть/Развернуть все
Expands or collapses all linked inventories.,Свернуть или раскрыть все связанные хранилища.
Repair\n,Ремонт\n
\nShift clicking a tool will add it to repair slot or inventory\nShift clicking button will repair tool and pull it back to inventory,\nShift-клик по инструменту добавит его в слот для ремонта или инвентарь\nShift-клик по кнопке отремонтирует инструмент и вернет его обратно в инвентарь
Your duties are driven by the ratified Constitution,Ваши обязанности определяются ратифицированной Конституцией
Input Inventory,Входной инвентарь
Output Inventory,Выходной инвентарь
Debug translations (QA ONLY),Отладка перевода (QA ONLY)
"Force chinese locked mode (QA ONLY, WILL QUIT GAME)","Режим принудительной блокировки китайского языка (ТОЛЬКО ДЛЯ QA, ВЫЙДЕТ ИЗ ИГРЫ)"
UI Volume,Громкость интерфейса
Information about a house on the deed.,"Информация о доме, находящемся в собственности."
"A list of residents on this property. \nResidents gain points from housing values, and only private property can have residents.",Список жильцов в этой собственности. \nТолько занятая собственность может заселять жильцов и давать им бонус дома.
General information and settings for the deed.,Общая информация и настройки права собственности.
Manage rent and invite citizens to be residents on the deed.,Управление арендой и приглашением жителей в качестве жильцов в эту собственность.
Who can access,Кто имеет доступ
Tech Tree,Дерево технологий
Channels managers list,Список Менеджеров канала
"Who can edit your channel settings, can be User, Demographic, or a Title","Кто может редактировать настройки вашего канала, может быть пользователем, категорией демографии или должностью"
Chat tab settings,Настройки вкладок чата
Channel users list,Список пользователей канала
"Who can read this channel, can be User, Demographic, or a Title","Кто может читать этот канал, это может быть пользователь, демографическая группа или титул"
Channels you can only read and write,"Каналы, в которых вы можете только писать и читать"
"Channels you can read, write, and you have manager privileges","Каналы которые Вы можете читать, писать и в которых у Вас есть привилегии"
Item Description of the type of item we are.,"Описание типа продукта, которым мы занимаемся."
Yours:,Ваши:
Quick Swap Set,Набор для быстрой замены
"Place claim papers from settlements (towns, countries, federations) to boost how many plots you can claim on this stake.","Поместите квитанции землемера из Поселения (Город, Страна, Федерация) для увеличения доступных участков на этом колышке землемера."
"As new citizens join this settlement, more claim papers and claim stakes will be spawned, allowing more land to be claimed. \n\nUse the land claim stakes to claim additional plots.  Add the claim papers to claim stakes in the town to increase the number of plots that can be claimed.","По мере роста населения этого Поселения, будут появляться новые  Квитанции землемера и Колышки землемера, позволяя занять больше участков. \n\nКвитанции землемера нужны для занятия дополнительных Участков. Положив Квитанции землемера в Колышек землемера в пределах города, вы увеличите количество Участков, которые могут быть заняты."
Filter is hiding stacks,Фильтр скрывает стопки
New tab created per whisper,Новая вкладка будет создаваться для каждого шёпота
Chat Font Size,Размер шрифта чата
Voice Users,Игроки в голосовом чате
Getting started!,Начинаем!
"Click to set rent on the property.\n\nRent is locked in when a citizen becomes a resident, and rent changes will not be applied unless they leave residency and return.\n\nOwners are not subjected to rent or move-in fee.","Нажмите, чтобы задать размер арендной платы.\n\nКогда житель въезжает, арендная плата фиксируется и изменения арендной платы не будут применяться, до тех пор, пока он не выселится и не вернётся вновь.\n\nС владельцев не взимается арендная плата или плата за въезд."
Researching...,Изучение...
Discovered by:,Открыто игроком:
This object has no built-in storage.\nPlace a storage nearby to link it here.,"У этого объекта нет встроенного хранилища.\nПоставьте хранилище рядом, чтобы связать с ним."
Consolidate,Объединить
Consolidate content from all inventories to take up the least possible inventory space,"Объединить содержимое всех хранилищ, чтобы максимально уменьшить занимаемое место"
Linked inventories,Подключенные хранилища
In this section you can see inventories that are within range to be accessed.\nYou can move items between all inventories.,"В этом разделе отображаются хранилища, которые находятся в пределах досягаемости.\nВы можете перемещать предметы между всеми этими хранилищами."
Open Deed,Открыть
In exchange for,В обмен на
Offering (Owner Currency),Предложение (валюта владельца)
Attached Claim Papers,Прикрепленные квитанции землемера
Spawned Claim Papers and Stakes,Созданные квитанции землемера и колышки землемера
Reserve:,Зарезервировано:
Price:,Цена:
Maximum value,Максимальное значение
The maximum value represents the maximum amount of this currency that your account will hold in case you exchange for it.,"Максимальное значение представляет собой максимальную сумму этой валюты, которая будет храниться на вашем счете при обмене на нее."
Minimum value,Минимальное значение
The minimum value represents the minimum amount of this currency that your account will hold in case you offer it.,"Минимальное значение представляет собой минимальную сумму в этой валюте, которая будет храниться на вашем счете в случае, если вы ее предложите."
Applied,Применено
Pending,В ожидании
Roster Title,Список должностей
Edit Channel,Редактировать канал
You have access to edit this channel,У Вас есть доступ на редактирование этого канала
Approve,Одобрить
Invite New Citizens,Пригласить новых Жителей
Delete Channel,Удалить канал
You have access to delete this channel,У вас есть право на удаление этого канала
Accept Invitation,Принять приглашение
Leave,Покинуть
Ramps Down/Up,Рампы вниз/вверх
Capture,Захватить
Emote Selection,Выбор эмоций
Hardwood Lumber Dresser,Комод из пиломатериалов лиственных пород
Lumber Dresser,Комод из пиломатериалов
Softwood Lumber Dresser,Комод из пиломатериалов хвойных пород
Trade failed: {0} doesn't have {1} {2},Сделка не удалась: {0} не достаточно {1} {2}
Move the {0} to your toolbar and select it.,Перетащите {0} на панель инструментов и выберите.
Place your starting camp in a good location (easy access to wood is especially important to start).,Разместите Ваш стартовый лагерь в хорошем месте (лёгкий доступ к дереву особенно важен на старте).
You must select at least one bank account.,Вы должны выбрать хотя бы один банковский счет.
Networked objects activated!,Сетевые объекты активированы!
Required Ingredients,Требуемые ингредиенты
Checkout,Проверить
"You can't add more {0} to the cart, no more wanted.","Вы не можете добавить еще {0} в корзину, больше не требуется."
"You can't add more {0} to the cart, not enough stock.","Вы не можете добавить еще {0} в корзину, не достаточно в наличии."
You have: {0},У вас есть: {0}
Sell to {0} for: {1},Продать {0} для: {1}
Quantity wanted: {0},Требуемое количество: {0}
Buy from {0} for: {1},Купить в {0} за я: {1}
Quantity available: {0},Доступное количество: {0}
Limit,Лимит
Reserve,Зарезервировано
Maximum amount allowed to buy.,Максимально количество доступное для покупки.
You don't have any of this item to sell.,У вас нет ни одного из этих предметов для продажи.
{0} Wanted,Требуется {0}
Chat Settings,Настройки чата
District name​,Название района​
Allows the Store to Sell Items from all Linked Inventories,Позволяет магазину продавать товары из всех подключенных инвентарей
Allows the Store to Buy Items into any Linked Inventory,Позволяет магазину покупать товары в любой присоединенный инвентарь
Amount needed:,Необходимое количество:
+ 82 items hidden from filter,+ 82 предмета скрыты фильтром
Work Station Output Inventory,Хранилище для готовой продукции рабочего стола
When enabled - connected workstation is allowed to place products into this inventory.\nClick this to change a state.,"Когда включено, верстаку разрешено класть ресурсы в этот инвентарь.\nНажмите, чтобы изменить."
Work Station Input Inventory,Хранилище материалов для рабочего стола
When enabled - connected workstation is allowed to take resources from this inventory.\nClick this to change a state.,"Когда включено, верстаку разрешено брать ресурсы из этого инвентаря.\nНажмите, чтобы изменить."
Time remaining:,Осталось времени:
Keys,Ключи
Your world will be unlike any other.,Ваш мир будет не похож ни на один другой.
Allow Friends to join,Разрешить друзьям подключаться
Your friends will be able to join your world.,Ваши друзья смогут присоединиться к вашему игровому миру.
Face Emotes,Мимика
Body Emotes,Жесты тела
Show Locked Benefits,Показывать недоступные
Common,Общий
Select Property for,Выберите недвижимость для
Eco-Plate for me and you.,Eco-тарелка для меня и для вас.
Boom Up/Boom Down,Стрела Вверх/Вниз
Take / Place,Взять / Положить
Put / Cancel,Поместить / Убрать
"Should the settlement system be used, or should the old style be set? (Note: this system is not finished yet and is currently disabled)",Включить систему поселений или же использовать старый стиль? (Примечание: система поселений ещё не закончена и сейчас отключена)
"Change owner of current target, if the target is a store it will change it without closing it.","Изменить владельца текущей цели, если целью является магазин, то это произойдет без его закрытия."
Is Vehicle,Транспорт
Is the object a vehicle?,Является объектом или транспортом?
Elk Species,Вапити
Fox Species,Лиса
Hare Species,Заяц
Jaguar Species,Ягуар
Moon Jellyfish Species,Ушастая аурелия
Mountain Goat Species,Горный козёл
Otter Species,Выдра
Pacific Sardine Species,Перуанская сардина
Prairie Dog Species,Луговая собачка
Salmon Species,Лосось
Snapping Turtle Species,Каймановая черепаха
Tarantula Species,Паук-птицеед
Trout Species,Форель
Tuna Species,Тунец
Turkey Species,Индюшка
Wolf Species,Волк
Crushed Stone Road Lv2,Дробление Каменной дороги Ур.2
Crushed Stone Road,Дробление Каменной дороги
Crushed Mortared Stone Lv2,Дробление Строительного камня Ур.2
Crushed Mortared Stone,Дробление Строительного камня
A mixture of rocks that can be used in a variety of recipes or simply as landfill.,"Смесь камней, которая может использоваться в различных рецептах или просто как наполнитель пустот."
An unexpected network disruption occured while handling an RCON connection.,Произошел непредвиденный сбой соединения RCON.
Using tools requiring calories,Использование инструментов требует калорий
Fishing,
Trading,Торговля
Setting up contracts,Настройка контрактов
{0} For Sale,{0} Для продажи
{0}\nGuide,{0}\nРуководство
The amount of objects shown on the minimap and its actual quality.\n\nPerformance impact: Average,"Количество объектов, отображаемых на миникарте и их качество.\n\nВлияние на производительность: Среднее"
"Enables / disables voice chat, this includes speaking and listening to other players.","Включает / отключает голосовой чат, относится к возможности говорить и слушать других игроков."
Used to simulate outdoor light rays in the environment.\n\nPerformance Impact: Average,Используется для имитации уличных лучей света в окружающей среде.\n\nВлияние на производительность: Среднее
OK \n,
Accept\n,Принять\n
Mark Failed\n,Не исполнен\n
Show Interact Cursor\n,Показать курсор взаимодействия\n
Add New Entry\n,Добавить новую запись\n
Start\n,Начать\n
No\n,Нет\n
Yes\n,Да\n
Housing\n,Жилище\n
Residents\n,Жильцы\n
Residency\n,Жилище\n
\nThe list of players who have access to the deed.\nThese players will have full authority  for objects on the deed.,\nСписок игроков имеющих доступ к собственности.\nЭти игроки имеют полный доступ ко всем объектам в собственности.
Q,
Recalculate\n,Пересчитать\n
Edit\n,Изменить\n
Restart Tutorial\n\n,Перезапустить обучение\n\n
Property On Deed:\n,Собственность относится к праву:\n
Work\n,Работа\n
Settlements\n,Поселения\n
Manage Rent\n,Управление арендой\n
Min \nDurability:,Мин. \nпрочность:
Set\n,Задать\n
Invited Residents\n,Приглашенные Жильцы\n
Resources\n,Ресурсы\n
Expand / collapse all trade groups.,Развернуть / свернуть все торговые группы.
(Applied),(Применено)
(Invited),(Приглашен)
Who can Access,Кто имеет доступ
Housing points,Бонус жилища
Mac's Mansion,Особняк игрока Mac
Preview,Предпросмотр
5 hours teaching time queued (1.5 classes),"5 часов обучения в очереди (1,5 занятия)"
6 Hours,6 часов
Wave,Волна
Salute,Салют
Pinned,Закреплено
Important,Важно
Shows commands to profile the server and generate diagnostic data.,Отображает команды для профилирования сервера и создания диагностических данных.
Achievements Enabled,Включить Достижения
Camera Mode Enabled,Включить Режим камеры
Should the Camera mode be enabled? (Note: this system is not finished yet and is currently disabled),Должны ли режим камеры быть включен? (Примечание: эта система ещё не завершена и в настоящий момент отключена)
List of different teleportation commands,Списки различных команд телепортации
repopulateanimallayer,
Reset animal sim population to initial values (as it was on world generation),Сбросить величину популяции животных до начальных значений (как они были на момент создания мира)
Shows commands for building and tech tree manipulation,Отображает Команды для строительства и манипуляций с древом технологий
Shows Commands related to chat.,Отображает команды связанные с чатом.
Shows commands related to notifications.,Отображает команды связанные с уведомлениями.
"Shows commands allowing to list, add, remove, and clear many things in the game (including laws, titles, elections, bank accounts, and many more). Ex: /objects remove laws, Law 1","Отображает команды позволяющие перечислять, добавлять, удалять и очищать многие вещи в игре (В том числе законы, титулы, выборы, банковские счета и многое другое). Пример: /objects remove laws, название закона"
Shows commands for performing an animated emote.,Отображает команды для выполнения анимированных эмоции.
wave,
sit,
bow,
salute,
Shows commands for controlling settlements.,Отображает команды для управления поселениями.
Shows commands for rooms manipulations.,Отображает команды для манипуляций с комнатами.
Shows commands for property manipulations.,Отображает команды для работы с собственностью.
Shows commands for changing things about users.,Отображает команды для изменения параметров игроков.
Shows commands for users administration.,Отображает команды для администрирования пользователей.
Shows commands for manipulating money.,Отображает команды для манипуляций с деньгами.
Shows commands related to the economy.,Отображает команды связанные с экономикой.
Shows commands for manipulations with meteor.,Отображает команды для манипуляций с астероидом.
Shows commands related to user-defined districts.,"Отображает команды для районов, созданных игроками."
"Once an election of this type completes, another of the same type cannot be started for this many days.","Когда выборы этого типа завершатся, другие выборы такого же типа не могут быть начаты в течение такого количества дней."
Shows commands for viewing and manipulating player titles.,Отображает команды для просмотра и манипуляций с титулами игроков.
Shows commands for avatars manipulation.,Отображает команды для манипуляций с аватарами.
Shows commands for world pollution manipulation.,Отображает команды для манипуляций с загрязнением мира.
Shows commands for skills,Отображает команды для навыков
Shows actors related commands,Отображает команды связанные с Акторами
A stockpile for distributing items to new players. Allows you to choose a specific set of items which each new player will be able to take.,Склад для раздачи предметов новым игрокам. Позволяет вам задать набор предметов который сможет забрать любой новый игрок.
A campsite.,Палатка.
A porcelain bathtub for when you need to get clean or just relax.,"Фарфоровая ванна для тех случаев, когда вам нужно помыться или просто расслабиться."
The assembly line allows for mass production of mechanical products.,Сборочная линия позволяет осуществлять массовое производство механических изделий.
An ashlar stone bench. Great for display though maybe not as comfy as a padded couch.,"Скамейка из резного камня. Отлично подходит для демонстрации, хотя, возможно, не так удобна, как мягкий диван."
A fancy ashlar stone table that has been adorned with gold.,"Изящный стол из резного камня, украшенный золотом."
All citizens are survivalists in the world of Eco. How can you save the world if you can't save yourself?,"Все жители мира Eco - выживальщики. Как вы можете спасти мир, если не можете спасти себя?"
Metal is an important part of progress and smelting is the first step into a new age. Levels up by crafting related recipes.,"Металл является важнейшим элементом развития, плавка - это первый шаг в новую эру. Повышается при создании относящихся к профессии рецептов."
Self-improvement increases both the amount of weight citizens can carry and their stomach capacity. It also decreases the calories expended when using hammers and shovels. Experience is gained when leveling up other specialties.,"Самосовершенствование увеличивает как количество веса, которое граждане могут нести, так и объем их желудка. А так же снижает потребление калорий при использовании молотков и лопат. Опыт набирается при прокачке других специальностей."
Pottery is an advancement in masonry and can provide an excellent building material for communities. Levels up by crafting related recipes.,"Гончарство – это развитие профессии каменщика, обеспечивающее общество отличным строительным материалом. Повышается при создании относящихся к профессии рецептов."
Paper to carry the written word. Or used to stuff in bookshelves. Levels up by crafting related recipes.,Бумага для сохранения написанных слов. Или для складывания в шкафы. Повышается при создании относящихся к профессии рецептов.
"While it takes some advanced tools and constructions, harvesting and refining oil can be an important step. Levels up by crafting related recipes.","Несмотря на то, что здесь требуются продвинутые инструменты и конструкции, добыча и переработка нефти – это очень важная технология. Повышается при создании относящихся к профессии рецептов."
Hitting rocks with a pickaxe can be surprisingly difficult. Levels up by breaking rocks.,Долбить скалы киркой может быть удивительно трудно. Повышается при разбивании камней и руды.
Milling various products can create important materials for baking and other uses. Levels up by crafting related recipes.,"При размалывании различных продуктов, создаются важные материалы для выпечки и других целей. Повышается при создании относящихся к профессии рецептов."
Mechanics for more advanced creations. Levels up by crafting related recipes.,Механика для более сложных вещей. Повышается при создании относящихся к профессии рецептов.
Rocks and mortar can provide a suitable building material alternative to wood. Levels up by crafting related recipes.,Из камней и связующего раствора получается неплохая альтернатива строительным материалам из древесины. Повышается при создании относящихся к профессии рецептов.
Wood is a useful resource and cutting down trees is a skill anyone can appreciate. Levels up by felling trees and clearing debris.,"Древесина - полезнейший ресурс, а рубка деревьев - навык, который сможет оценить каждый. Повышается при срубании деревьев и очистке территории от упавших древесных обломков."
Advanced industrialization to produce larger machines and advanced technology. Levels up by crafting related recipes.,Продвинутая индустриализация для производства больших механизмов и более сложных технологических процессов. Уровень повышается при изготовлении предметов из связанных с профессией рецептов.
Hunt animals for skin and meat. Levels up by successfully hunting.,Убивайте животных ради шкур и мяса. Повышается при успешной охоте.
Glassworkers have improved ability to create glass which can be used as a clear building material or framed in steel to create a more industrial look. Levels up by crafting related recipes.,"Стекольщики имеют навыки по созданию стёкол, которые можно использовать в качестве прозрачного строительного материала или закрепить в стальном каркасе для получения более промышленного вида. Повышается при создании относящихся к профессии рецептов."
Gathering covers harvesting materials from both the natural environment and human-created farms. Levels up by gathering plants - farmed or natural.,"Собирательство включает в себя сбор как диких, так и культивируемых растений. Уровень повышается при сборе диких и культивированных растений."
"Adding additional nutrients to the soil can improve farming yield or, if overdone, ruin it. Levels up by crafting related recipes.","Использование удобрений может повысить урожаи с полей. Ну или уничтожить их, если переборщить. Повышается при создании относящихся к профессии рецептов."
The art of planting and cultivating flora. Levels up by crafting related recipes and using the hoe.,Искусство посадки и выращивания растений. Повышается при создании относящихся к профессии рецептов и при использовании мотыги.
Electronics improves the recipes for many advanced materials needed for advanced technology. Levels up by crafting related recipes.,Электроника – это новые рецепты и материалы для продвинутых технологий. Повышается при создании относящихся к профессии рецептов.
Cutting edge cooking works with ingredients that don't quite sound like food but can potentially provide high calorie and nutrition. Levels up by crafting related recipes.,"Передовая кулинария использует ингредиенты, на первый взгляд не являющиеся съедобными, но потенциально крайне питательными и содержащими большое количество калорий. Уровень повышается при изготовлении блюд из связанных с профессией рецептов."
The basics of cooking in a more civilized environment give bonuses to a variety of food recipes. Levels up by crafting related recipes.,Основы кулинарии в более обустроенной кухне позволяет приготовить более разнообразную пищу. Уровень повышается при изготовлении блюд из связанных с профессией рецептов.
Allows the construction of advanced wood products for furniture and houses. Levels up by crafting related recipes.,Позволяет производить высококачественную деревянную мебель и материал для домов. Повышается при создании относящихся к профессии рецептов.
Cutting logs into usable crafting and building materials is an important skill for budding communities. Levels up by crafting related recipes.,"Превращение древесины в строительные материалы и различные предметы, важный навык для развивающихся общин. Повышается при создании относящихся к профессии рецептов."
Advanced techniques for producing food over a campfire with a little less burned and a little more golden brown. Levels up by crafting campfire recipes.,Передовые методы приготовления пищи на костре с меньшей степенью обугленности и более золотисто-коричневыи цветом. Повышается при готовке на костре.
