English,BrazilianPortuguese
Requested collection {0},Coleta de {0} solicitada
Release Date: {0},Data de lançamento: {0}
Time has wrong format. Template: 1m or 1h or 1d or or 1w.,A hora está em um formato errado. Modelo: 1m ou 1h ou 1d ou 1w.
"When you're not using tools are used for a job, you put these to work.","Quando você não está usando as ferramentas certas para o trabalho, coloque estas para funcionar."
Define the type of payment.,Define o tipo de pagamento.
Receive move-in fee or rent property fee.,Receba a taxa de mudança ou o aluguel da propriedade.
The citizen or group who receive the payment.,O cidadão ou grupo que recebe o pagamento.
Calories consumed in performing the action.,Calorias consumidas ao realizar a ação.
Unable to transfer negative amount.,Não é possível transferir um valor negativo.
{0} has no access to {1}.,{0} não tem acesso a {1}.
Unable to pay tax: {0} needed.,Não é possível pagar imposto: {0} necessário.
Total amount left to pay as tax: {0},Valor total restante a pagar como imposto: {0}
{0} doesn't have {1}.,{0} não tem {1}.
This changeset have already been applied.,Este conjunto de alterações já foi aplicado.
At least one bank account must be set.,Pelo menos uma conta bancária deve ser definida.
Target currency must be set.,A moeda de destino deve ser definida.
Transfer description must be set.,A descrição da transferência deve ser definida.
from {0},de {0}
to {0},para {0}
{0} taxed,{0} em impostos
taxed,tributado
transferred,transferido
digging a block,escavando um bloco
You must enter a reason.,Você deve inserir um motivo.
Amount to allocate per account must be greater than zero.,O valor a ser distribuído por conta deve ser maior que zero.
{0} used {1} to {2} with following message: {3},{0} usou {1} para {2} com a seguinte mensagem: {3}
tax funds,tributar fundos
allocate funds,distribuir fundos
{0} bought {1} from {2} for {3},{0} comprou {1} de {2} por {3}
repairing {0},reparando {0}
{0} paid fee for {1} in the amount of {2},{0} pagou taxa para {1} no valor de {2}
Increases {0}:,Aumenta {0}:
(stacking multiple buffs of this type {0} allowed),(acumular múltiplas melhorias deste tipo {0} permitido)
is,é
is not,não é
{0} Calorie Efficiency,{0} Eficiência de Calorias
{0} Tool Usage,{0} Uso de Ferramentas
Universal,
Saved +{0} calories,Queimou +{0} calorias
Universal Calorie Efficiency,Eficiência de Calorias Universal
Area Buffs,Melhorias em Área
Calorie Efficiency,Eficiência Calórica
All Buffs,Todas as Melhorias
Failed to restore from {0}. Trying another backup...,Falha ao restaurar de {0}. Tentando outro backup...
No suitable backups was found. Empty database was created.,Nenhum backup adequado foi encontrado. Um banco de dados vazio foi criado.
'{0}.db' corrupted. Corrupted db file was moved to '{1}'. Trying to restore from backup...,'{0}.db' está corrompido. O arquivo db corrompido foi movido para '{1}'. Tentando restaurar do backup...
Database restored from backup: {0},Banco de dados restaurado do backup: {0}
Item movement hotkeys,Teclas de atalho de movimento de item
Installed {0} provides following benefits:,O módulo {0} instalado oferece os seguintes benefícios:
{0} (x{1}),
Name contains unsupported {0},Nome contém {0} não suportados
character,caractére
You received a boost to your {0} action from {1}.,Você recebeu de {1} um bônus para sua ação {0}.
{0} Boost,Bônus de {0}
Small Ville,Vila Pequena
Property On Deed,Propriedade na escritura
Village Workbench,Bancada de Trabalho da Vila
This Workbench is on land that belongs to a deed:,Esta Bancada de Trabalho está em um terreno que pertence a uma escritura:
Occupancy Penalty:,Penalidades de ocupação:
Invited Residents,Residentes convidados
Eco House,Casa Ecológica
residents,residentes
Savings Account,Poupança
's Logging Company,(Companhia Madeireira)
Bank Accounts you Manage,Contas Bancárias que Você Gerencia
Currency to use,Moeda a ser usada
Fees Per Item:,Taxas por item:
My Deeds,Minhas Escrituras
Source Bank Amount,Conta bancária de origem
Accepts,Aceita:
m remaining,m restante
w,
Resources:,Recursos:
Labor:,Trabalho:
Time:,Tempo:
Projects,Projetos
Labor Required,Trabalho Necessário
Total In Circulation:,Total em circulação:
Coins Per Item:,Moedas por item:
Accepts plugin modules with the following tag(s):,Aceita módulos de conexão com a(s) seguinte(s) tag(s):
Basic Upgrade,Melhoria Básica
by,por
Accepted By:,Aceito por:
Property. Location:,Propriedade. Localização:
to retain from contractor on completion,para reter do contratante na conclusão
Posted by,Postado por
Corn Fields,Campos de Milho
Home sweet Home,Lar Doce Lar
Authorization Settings: Shipping Truck,Configurações de Autorização: Caminhão de Frete
Farm Cart,Carrinho da Fazenda
Shipping Truck,Caminhão de Frete
Daily Driver,Motorista Diário
Mortared Stone Ingredients,Ingredientes de Pedra Argamassada
Mortared Granite Ingredients,Ingredientes de Granito Argamassado
Mortared Sandstone Ingredients,Ingredientes de Arenito Argamassado
Mortared Limestone  Ingredients,Ingredientes de Calcário Argamassado
Convertor Out,Saída do Conversor
Current CO2 emission rate from animals:,Taxa atual de emissão de CO2 de animais:
Current CO2 emission rate from plants:,Taxa atual de emissão de CO2 de plantas:
Current CO2 emission rate from pollution:,Taxa atual de emissão de CO2 de poluição:
Open ends:,Extremidades abertas:
Flowing,Fluindo
ppm per day,ppm por dia
Port located at,Porto localizado em
Total CO2 ppm in Atmosphere:,Ppm total de CO2 na Atmosfera:
Sea Level:,Nível do Mar:
Smog per second.,Fumaça por segundo.
ppm (parts per million),ppm (partes por milhão)
Temperature Has Raised:,A Temperatura Aumentou:
Legally allowerd to pullute,Legalmente permitido a poluir.
Owned By,Propriedade de
Max To Buy,Máx. Para Comprar
Min % Durability,Durabilidade Min. (%)
Aslar Stone Recipe,Receita de Pedra Polida
Arrastra Recipe,Receita de Arrastra
Campfire Recipe,Receita de Fogueira
Capentry Table Recipe,Receita de Mesa de Carpintaria
Donations Welcome,Doações de Boas-vindas
Free food for New Citizens,Comida Gratuita para Novos Cidadãos
Connected to:,Conectado a:
done. Needs,concluído. Precisa
Receive,Receba
", splitting based on work performed.",", divisão com base no trabalho realizado."
reputation from,reputação de
Hewn Logs Project,Projeto de Madeiras Cortadas
for,para
Citizen has,O cidadão tem
", splitting based on work performed, paid as work is performed.",", divisão com base no trabalho realizado, pago conforme o trabalho é realizado."
Endangered Species Act,Lei de Espécies Ameaçadas
Revise Law,Revisar Lei
Laws on this court,Leis neste Tribunal
Active Law,Lei Ativa
Pollution Tax,Imposto por Poluição
Draft Law,Rascunho de Lei
or in the world webpage.,ou na página web do mundo.
By civic article,Pelo artigo cívico
Law Changes By Elections,Alterações de Lei por Eleição
Required Of Office Holders,Requisitos de detentores do cargo
Required Level,Nível requerido
Logger,Madeireiro
Direct Transfer Tax (public):,Imposto Sobre Transferência Direta (publica):
Contract Tax:,Imposto sobre contratos:
Mods,
Platforms,Plataformas
Foundation,Fundação
Life,Vida
Gameplay,Jogabilidade
Future,Futuro
Complete,Completo
Operation,Operação
Nations,Nações
User Exp,Exp. do usuário
In Progress,Em progresso
Incomplete,Incompleto
Fix the constitution,Corrigir a Constituição
Constitutional Amendsments,Emendas Constitucionais
amend me please,"me corrija, por favor"
Propose Constitutional Amendment,Propor Emenda Constitucional
This should fix it,Isso deve resolver
Fix all our problems,Resolve todos os nossos problemas
This is to amend a hastily and poorly written constituion.,Isso trata-se de corrigir uma constituição mal escrita e precipitada.
Eco Laws and rights,Leis e Direitos de Eco
Enter Description,Insira a descrição
Article,Artigo
Law and rights,Leis e Direitos
Create Work Parties,Criar Grupos de Trabalho
Carpentry Research,Pesquisa de Carpintaria
"Upon completion, receive","Após a conclusão, receba"
with,com
paid in tax,pago em imposto
Lumberjacks,Lenhadores
Propose Demographics,Propor Grupo Demográfico
Lumberjacks would chop wood if they could.,Os lenhadores cortariam lenha se pudessem.
Commercial District,Distrito Comercial
Bankers District,Distrito dos Banqueiros
Nature Reserve,Reserva Natural
Enviroement Data,Dados ambientais
Craftsman District,Distrito dos Artesãos
Dock and shipping,Doca e Embarque
Goverment District,Distrito do Governo
Center:,Centro:
Undisputed Ruler,Governante Incontestável
Eligible Candidates,Candidatos elegíveis
Who Can Remove From Office,Quem pode remover do cargo
Propose Elected Title,Propor Título Eleitoral
Required Of Candidates,Requisitos para candidatos
Has Government Banking Privileges,Tem privilégios bancários do governo
Required OfOffice Holders,Requisitos de detentores do cargo
Leader of the eco world,Líder do mundo de Eco
Can Set Global Markers,Pode definir marcadores globais
Consecutive Terms Allowed,Mandatos consecutivos permitidos
Can Use Treasury Bank Account,Pode usar a conta bancária da tesouraria
Term Limit Days,Limite de mandato em dias
Can Elections Be Proposed During Term,Eleições podem ser propostas durante o mandato
Can Set Global Objectives,Pode definir objetivos do mundo
Total Term Allowed,Total de mandatos permitidos
Can Set Treasury Taxes,Pode definir impostos da tesouraria
Board of Elections,Conselho Eleitoral
Active Election Process,Processo Eleitoral Ativo
Draft Election Process,Rascunho de Processo Eleitoral
Election Processes on this Board Of Elections,Processos Eleitorais neste Conselho Eleitoral
Executive office,Escritório executivo
Execute Action,Executar Ação
Eld Protection Act,Lei de Proteção de Idosos
Pollution Reduction Act,Lei de Redução de Poluição
Laws on this Court,Leis neste Tribunal
Suvivalist,Sobrevivente
Dining Room,Sala de Jantar
Level,Nível
Carpenter Specialties,Especialidades de Carpinteiro
Logging Specialty,Especialidade em Extração de Madeira
Wood is useful source and cutting down trees is a skill anyone can appreciate. Level by felling trees and clearing debris.,A madeira é um recurso útil e cortar árvores é uma habilidade que qualquer pessoa pode apreciar. Suba de nível derrubando árvores e limpando seus detritos.
Logging Level,Nível de Extração de Madeira
Carpenter Profession,Profissão de Carpinteiro
Default Currency,Moeda padrão
Show All Currencies,Mostrar todas as moedas
Lord of Earth,Senhor da Terra
<Enter Name>,<Insira o nome>
<Enter Description>,<Insira a descrição>
Public Crating Stations,Estações de Fabricação Públicas
Infinty,Infinito
Amount to Craft:,Quantidade a Fabricar:
Mint Item:,Item usado na cunhagem:
's lawn,(grama)
After,Após
additional PPM.,PPM adicional.
"ppm, the temperature level will raise","ppm, a temperatura vai aumentar"
Raises atmosphere CO2 by approximately,Aumenta o CO2 da atmosfera em aproximadamente
every,a cada
degree for every,grau para cada
meter for every,metro para cada
"ppm, the sea level will raise","ppm, o nível do mar vai subir"
tons of CO2 per hour.,toneladas de CO2 por hora.
tonnes of CO2,toneladas de CO2
Average room Tier: you have,Nível médio da sala: você tem
m3,
tons of CO2,toneladas de CO2
"When enabled, pullutes","Quando habilitado, polui"
Your objects in the room use,Seus objetos na sala usam
out of needed,da área necessária de
uses,usa
Lifetime pollution:,Poluição prolongada:
of,de
's Workbench,(Bancada de Trabalho)
's Mechanical Water Pump,(Bomba de Água Mecânica)
Water per second.,Água por segundo.
calories of,calorias de
's Carpentry table,(Mesa de Carpintaria)
labor on,trabalho em
at,em
at or above level,onde o nível é igual ou superior a
labor.,trabalho.
Perform,Realizar
change Any Law,alterar Qualquer Lei
You may,Você pode
at any,em qualquer
You may vote in elections to,Você pode votar nas eleições para
immediately at any,imediatamente em qualquer
may do so immediately.,pode fazer isso imediatamente.
may propose an election of type,podem propor uma eleição do tipo
This Constitution is currently under election to be ratified:,Esta Constituição está atualmente sob eleição para ser ratificada:
Ratify Eco,Ratificar Eco
's Truck,(Caminhão)
labor at,trabalho em
Location:,Localização:
Contract State:,Estado do contrato:
Move items from,Mover itens de
State:,Estado:
Contractor:,Contratante:
Laborers:,Trabalhadores:
Deposit,Depositar
's Crane,(Guindaste)
Credits in Use,Créditos em Uso
allow voting,permitir votação
change Election Process,alterar Processo Eleitoral
immediataly at any,imediatamente em qualquer
By civic articles,Pelos artigos cívicos
or in theworld webpage,ou na página web do mundo.
Law Changes By Election,Alterações de Lei por Eleição
Courthouse,Tribunal
Logged in. Located at,Conectado. Localizado em
House value:,Valor de habitação:
skill/day,habilidade/dia
Esteemed,Estimado
User ID:,ID de usuário:
Map name,Nome do mapa
m SE,
Add New Entry,Adicionar Nova Entrada
m E,
m NE,
Show Government Accounts,Mostrar contas do governo
Title Holders,Detentores do título
Else...,Senão...
Burnable,Queimável
Baked Food,Comida Assada
"Hello, World!","Olá, mundo!"
Enter description here.,Insira a descrição aqui.
Owned by,Propriedade de
Total:,
and,e
more recipes,mais receitas
change Contitutional Amendments:,alterar Emendas Constitucionais:
Law Changes By Election,Alterações de Lei por Eleição
To,Para
Election Guidelines,Diretrizes Eleitorais
{0}'s Truck,Caminhão de {0}
New Text,Novo texto
Advanced Updated {0},Melhoria Avançada {0}
Action On Each Citizen,Ação Sobre Cada Cidadão
Decreases resource cost for the table work order by,Diminui o custo do recurso para as ordens de trabalho da mesa em
Decreases craft time for the table work orders by,Diminui o tempo de fabricação para as ordens de trabalho da mesa em
Decreases resource cost for the table work order created with,Diminui o custo do recurso para a ordem de trabalho da mesa criada com
Decreases craft time for the table work orders created with,Diminui o tempo de fabricação para as ordens de trabalho de mesa criadas com
State:,Estado:
Unknown,Desconhecido(a)
filter,filtro
Wool that has been shorn from an animal.,Lã que foi cortada de um animal.
Explorer Shirt,Camisa de Explorador
Explorer Pants,Calças de Explorador
Explorer Hat,Chapéu de Explorador
Explorer Gloves,Luvas de Explorador
Explorer Belt,Cinto de Explorador
Chef Shoes,Sapatos de Chefe de Cozinha
Chef Shirt,Camisa de Chefe de Cozinha
Chef Pants,Calças de Chefe de Cozinha
Chef Hat,Chapéu de Chefe de Cozinha
Terrestrial Animals,Animais terrestres
Aquatic Animals,Animais aquáticos
Habitability,Habitabilidade
"Difficulty setting {0} has invalid value ""{1}"", using ""{2}"" instead","A configuração de dificuldade {0} tem um valor inválido ""{1}"", usando ""{2}"" no lugar"
"Can't send string as localizable, because it has too many arguments: {0}. Max: {1}. Converted to server-localized string: {2}.","Não é possível localizar a sequência, ela possui muitos argumentos: {0}. Máximo: {1}. Convertida em uma sequencia do servidor: {2}."
law,lei
Nothing Selected,Nada Selecionado
The server crashed with error '{0}' and you can't play. Check logs in 'Eco_Data\\Server\\Logs' for more information.,O servidor crashou com o erro '{0}' e você não pode jogar. Verifique os logs em 'Eco_Data\\Server\\Logs' para obter mais informações.
Failed to start the server. Exception was {0},Falha ao iniciar o servidor. A exceção foi {0}
{0} plots {1} sq.m.,{0} lotes {1} m²
{0} days/sec,{0} dias/seg
Carpentry Level,Nível de Carpintaria
Bighorn Sheep,Carneiro-selvagem
Blue Shark Species,Espécie de Tubarão-azul
Graph,Gráfico
Days,Dias
Arctic Willow Species,Espécie de Salgueiro-do-ártico
Bison Species,Espécie de Bisão
Agave Species,Espécie de Agave
Alligator Species,Espécie de Jacaré
Clear Categories,Limpar categorias
Pre-Made Graphs,Gráficos pré-feitos
Bullrush Species,Espécie de Junco
Coyote Species,Espécie de Coiote
Player Actions,Ações do Jogador
Crab Species,Espécie de Caranguejo
Bass Species,Espécie de Robalo
Bighorn Sheep Species,Espécie de Carneiro-selvagem
Deer Species,Espécie de Cervo
Agouti Species,Espécie de Cutia
Cod Species,Espécie de Bacalhau
Civic Maps,Mapas Cívicos
District Map {0},Mapa Distrital {0}
(Removed),(Removido)
GrassBlock,Bloco de Grama
Temperature:,Temperatura:
Rainfall:,Precipitação:
Total soil moisture:,Umidade total do solo:
Pollution:,Poluição:
Nitrogen:,Nitrogênio:
Phosphorus:,Fósforo:
Potassium:,Potássio:
celsius,°C
"Chef Profession, Advanced Baking Specialty","Profissão de Chefe de Cozinha, Especialidade em Assados Avançado"
{0}%,
District Map,Mapa Distrital
Backup Owner,Proprietário reserva
Last Config Version,Última Versão de Configuração
Config Version,Versão de Configuração
Rent Enabled,Habilitar sistema de aluguel
Snapping Turtle,Tartaruga-mordedora
Mountain Goat,Cabra-da-montanha
A pointed metal fastener used in crafting to attach pieces of material together.,Um parafuso de metal pontiagudo usado na fabricação para unir pedaços de material.
Fertilizer,Fertilizante
(No penalty for room count because of residents number: {0}),(Sem penalidade para a contagem de quartos devido ao número de residentes: {0})
{0} payment type changed from {1} to {2}.,{0} tipo de pagamento alterado de {1} para {2}.
"If this entry is removed, then all the property that belongs it will be transferred to this backup owner.  (Note: if this backup owner is invalid, then the property will become unowned.)","Se esta entrada for removida, então todas as propriedades que pertencem e ela serão transferidas para o proprietário reserva. (Nota: se o proprietário for inválido, a propriedade se tornará sem dono)."
{0} is outdated. All data was migrated to the new version.,{0} está desatualizado. Todos os dados foram migrados para a nova versão.
"A game of Eco takes place over multiple days, with the world simulating even while offline. We can match you with the best worlds by finding servers that have similar playtimes.","Uma partida de Eco pode durar vários dias, com o mundo simulando mesmo quando você não está conectado. Podemos combiná-lo com os melhores mundos, descobrindo servidores que possuem horas de jogo semelhantes às suas."
Digging mode,Modo de escavação
Driving mode,Modo de direção
Rotate Platform,Rotacionar plataforma
Boom Down+Pull/Up+Push,Descer+Puxar/Subir+Empurrar braço
Boom Down/Up,Descer/Subir braço
Boom Pull/Push,Puxar/Empurrar braço
Rotate Scoop,Rotacionar concha
Dump Contents,Despejar conteúdo
Use module,Usar módulo
Hold to Dig,Segure para escavar
Arm Down/Up,Descer/Subir braço
{0}st,{0}°
{0}nd,{0}°
{0}rd,{0}°
{0}th,{0}°
Skill Points,Pontos de Habilidade
Summation,Adição
Substraction,Subtração
Multiplication,Multiplicação
Division,Divisão
Modulo,Módulo
Max Active Players,Máximo de jogadores ativos
Exhaustion After Hours,Exaustão após horas
Is Limiting Hours,Está limitando as horas de jogo
"Max hours a user can play per day. After their allotted time, they can still play but not expend calories with work.  0 means no limit.","Máximo de horas que um usuário pode jogar por dia. Após atingir o tempo designado, eles ainda poderão continuar jogando, porem serão impossibilitados de gastar calorias com trabalho. 0 significa sem limite."
Education,Educação
Achievement,Conquista
Only tax destinations are allowed (players with government banking privileges can create such bank accounts).,Apenas destinos fiscais são permitidos (jogadores com privilégios bancários do governo podem criar tais contas bancárias).
Tuition,Matrícula
Crafting Payment,Pagamento de Fabricação
Crafting Refund,Reembolso de Fabricação
A person who is a resident on the property.,Uma pessoa que é residente na propriedade.
A person who is a resident and not an owner.,Uma pessoa que é residente e não é a proprietária.
A person who is an owner on a property where there are non-owning renters.,Uma pessoa que é dona de uma propriedade onde há inquilinos que não são proprietários.
"A person who has been invited to become a resident, but is not yet one (and not an owner).","Uma pessoa que foi convidada a se tornar residente, mas ainda não é (e não é dono)."
A person who owns the property.,Uma pessoa que é dona da propriedade.
Rent Cost,Custo de Aluguel
Median,Mediano
Deed Removed,Escritura Removida
"An animal or a plant was damaged, but not destroyed.","Um animal ou planta foi danificado, mas não destruído."
An animal or a plant was destroyed.,Um animal ou planta foi destruído.
School,Escola
Overlaps District,Sobrepõe Distritos
Self Taught,Autodidata
Educated,Educado
Dropped Out,Saiu
Expelled,Expulso
Legacy,Legado
RconPlugin,
serverui,
Hashed Password,Senha com Hash
Detailed Description,Descrição detalhada
Server Category,Categoria do servidor
Game Server Port,Porta do servidor (Jogo)
Web Server Port,Porta do servidor (Web)
Rcon Server Port,Porta do servidor (Rcon)
Rcon IPAddress,Endereço IP (Rcon)
Rcon Password,Senha (Rcon)
Max Connections,Conexões máximas
The value must start with http:// or https://.,O valor deve começar com http:// ou https://.
Bind port for RCON traffic.  TCP only.  Requires a restart to take effect. More info available here: https://wiki.play.eco/en/RCON,Porta de ligação para o tráfego RCON. Apenas TCP. Requer uma reinicialização para ter efeito. Mais informações disponíveis aqui: https://wiki.play.eco/en/RCON
RCON IP Address for the traffic. If not specified then Any (0.0.0.0) address will be used. Requires a restart to take effect. More info available here: https://wiki.play.eco/en/RCON,"Endereço IP do RCON para o tráfego. Se não for especificado, será usado o endereço Any (0.0.0.0). Requer uma reinicialização para ter efeito. Mais informações disponíveis aqui: https://wiki.play.eco/en/RCON"
Password for authenticating incoming RCON traffic. A password must be provided to enable RCON support. More info available here: https://wiki.play.eco/en/RCON,Senha para autenticar o tráfego de entrada RCON. Uma senha deve ser fornecida para habilitar o suporte ao RCON. Mais informações disponíveis aqui: https://wiki.play.eco/en/RCON
world,
Commands related to world stuff.,Comandos relacionados a coisas do mundo.
Education Enabled,Habilitar sistema de ensino
Food Variety Multiplier Enabled,Habilitar sistema de multiplicação por variedade de alimento
Food Tastiness Multiplier Enabled,Habilitar sistema de multiplicação por sabor de alimento
Allows players to rent access to a given deed from one another when enabled.,Permite que os jogadores aluguem o acesso a uma determinada escritura uns dos outros quando habilitado.
"When enabled, the variety of food you eat will provide a bonus.","Quando habilitado, a variedade dos alimentos que você ingere fornecerá um bônus."
"When enabled, each player has unique preferences for each type of food that yields a bonus, and periodic 'cravings' will emerge for an additional bonus.","Quando habilitado, cada jogador terá preferências únicas para cada tipo de alimento que renderá um bônus, e 'desejos' periódicos surgirão por um bônus adicional."
Log Missed Strings,Registrar Linhas Perdidas
Track Missed String,Rastrear Linhas Perdida
Missing localization strings logging behavior,Comportamento de registro de linhas de localização ausentes
Missed strings tracking behavior,Comportamento de rastreamento de linhas perdidas
fastforward,
ff,
education,
"Set education value (0 to 1) for a skill (default to 1), giving the skill if the user doesn't have it.  If no target user is set, apply to self.","Defina o valor de ensino (0 a 1) para uma habilidade (o padrão é 1), fornecendo a habilidade se o usuário não a tiver. Se nenhum usuário for definido como alvo, se aplicará a si mesmo."
skillName,
Gives a skill matching the given name.,Dá uma habilidade correspondente ao nome fornecido.
talentdel,
talentName,
cleartalents,
point,
dinnerbell,
animal,
unpollute,
fullReplacement,
removedeadplants,
plant,
forcecollectglobalstats,
globalstats,
Force global stats to collect now. Updates world progress stats as well.,Força as estatísticas globais a serem coletadas agora. Atualiza as estatísticas de progresso do mundo também.
allplants,
resetworldcaches,
tp,
yOrZ,
tpto,
fgive,
addvoid,
distance,
evict,
resident,
res,
bt,
bm,
chat,
clearhistoryolderthan,
preserveDays,
language,
showsupportedlanguages,
freecar,
calculate,
calc,
Evaluates provided math expression,Avalia a expressão matemática fornecida.
expression,
achievement4,
Achievement4,
Tier,Nível
Stars To Self Teach,Estrelas para se auto-ensinar
Stars To Be Taught,Estrelas para ensinar
Stars To Become Teacher,Estrelas para se tornar professor
Calories To Teach,Calorias para ensinar
Calories To Learn,Calorias para aprender
Time To Learn Hours,Tempo para aprender em horas
Classroom Tier Required,Nível requerido da sala de aula
Can Be Educated,Pode ser ensinado
settlement,
ownit,
Optional amount charged upon move-in for new residents.,Valor opcional cobrado na mudança para novos residentes.
A list of citizens and demographics that may join as residents.  Only the owner of the property can set this list.,Uma lista de cidadãos e grupos demográficos que podem entrar como residentes. Apenas o proprietário pode definir esta lista.
Commands for changing things about users.,Comandos para mudar as coisas sobre os usuários.
energize,
Provide a user with extra hours they can use to perform labor when exhauasted.  Can be negative to remove previously granted energy.,Fornece ao usuário horas extras que ele pode usar para realizar o trabalho quando estiver exausto. Pode ser um valor negativo para remover a energia concedida anteriormente.
exhaust,
Force a user to be exhausted for the remainder of the day.,Força um usuário a ficar exausto pelo resto do dia.
SLGAccount Name,Nome da conta SLG
SLGAccount Password,Senha da conta SLG
Movement Hack Detection,Detecção de hacks de movimento
The user account associated with this server. This is public knowledge and shared with clients.  Setting this will allow achievements earned by players on this server to be visible in other servers (as well as future features to come). Visti play.eco to link your steam account or create a new account.,A conta de usuário associada a este servidor. Este é um conhecimento público e compartilhado com os clientes. Definir isso permitirá que as conquistas ganhas pelos jogadores neste servidor sejam visíveis em outros servidores (bem como recursos futuros que virão). Visite play.eco para vincular sua conta Steam ou criar uma nova conta.
Password for the above SLG account.,Senha para a conta SLG acima.
When enabled users who likely cheat movement will be identified and kicked from server (beta - may identify non-cheating users as cheaters and disconnect),"Quando habilitado, os usuários que provavelmente estão trapaceando serão identificados e expulsos do servidor (beta - pode identificar usuários que não estão trapaceando e desconecta-los)."
nameOrID,
unban,
mute,
unmute,
unwhitelist,
removeadmin,
kickUser,
whoami,
whois,
listusers,
listadmins,
ignore,
ignoreUser,
markglobal,
removenearestglobalmark,
crave,
"Force a craving on a given user (self if untargeted user, random food if not set)","Força um desejo em um determinado usuário (a si próprio se ninguém for especificado, um alimento aleatório se nenhum for especificado)."
foodName,
Efficiency Modules,Módulos de Eficiência
Hidden/Research,Oculto/Pesquisa
housing,
"Which category this room evaluates to, based on the furniture it contains","Qual categoria esta sala avalia, com base na mobília que contém"
"The computed value of the object towards skill, which gets reduced based on room state.","O valor calculado do objeto para a habilidade, que é reduzido com base no estado da sala."
Multiple furniture of the same type will provide diminishing returns.,Vários móveis do mesmo tipo proporcionarão retornos decrescentes.
Multiple furnishings of the same type will be reduced by this percent with each additional object.,Vários móveis do mesmo tipo serão reduzidos nessa porcentagem com cada objeto adicional.
Scale,Escala
Applies To Property Type,Aplica-se ao Tipo de Propriedade
"If this is a teacher workstation, put the tier in this value.","Se esta for uma estação de trabalho do professor, coloque o nível neste valor."
"If this is a student workstation, put the tier in this value.","Se esta for uma estação de trabalho do estudante, coloque o nível neste valor."
Each workstation needs 'support' matching its tier value.,Cada estação de trabalho precisa de 'suporte' correspondendo ao seu valor de nível.
"For support objects, this many repeats will still provide value in a classroom.","Para objetos de suporte, mesmo com muitas repetições ainda fornecerão valor em uma sala de aula."
"Increases learning speed by this multiplier, summing with other furnishings.","Aumenta a velocidade de aprendizagem por este multiplicador, somando-se a outras mobílias."
Increase calorie efficiency for studying by this multiplier in this classroom.,Aumente a eficiência das calorias para estudar por este multiplicador nesta sala de aula.
Increase calorie efficiency for teaching by this multiplier in this classroom.,Aumente a eficiência calórica ao ensinar por este multiplicador nesta sala de aula.
Stars Used,Estrelas Usadas
Method Learned,Método Aprendido
Number of stars used.,Número de estrelas usadas.
Was the skill gained by self-teaching or education?,A habilidade foi ganha pelo método autodidata ou por ensino?
Create Tree Debris,Criar Detritos de Árvore
A citizen felled a tree and created debris,Um cidadão derrubou uma árvore e criou detritos.
The citizen who chopped down the tree that is generating debris.,O cidadão que derrubou a árvore que gerou detritos.
The average location of the debris.,A localização média dos detritos.
The number of debris blocks created in this action.,O número de blocos de detritos criados nesta ação.
Open Door Action,Ação de Abrir Porta
Student,Estudante
Teacher,Professor
Student enrolling.,O estudante matriculado.
"The teacher, if one is assigned.","O professor, se um for atribuído."
Tuition Fee,Taxa de matrícula
Tuition Currency,Moeda da taxa de matrícula
Teacher Percent,Porcentagem do professor
Subject Being Taught,Matéria sendo ensinada
Enroll Action,Ação de Matricular
A student enrolled in a class.,Um estudante se matriculou em uma classe.
"Tuition fee, held in escrow.","Taxa de matrícula, mantida em garantia."
Currency which tuition is charged in.,Moeda em que a taxa de matrícula é cobrada.
Percent of tuition to be held for teacher.,Porcentagem da taxa de matrícula a ser mantida para o professor.
The subject being taught in this class.,O assunto que está sendo ensinado nesta classe.
Tuition Fee Total,Taxa de matrícula total
Tuition Fee Paid To Teacher,Taxa de matrícula paga ao professor
Tuition Fee Paid To Owner,Taxa de matrícula paga ao proprietário
Tuition Fee Refunded,Taxa de matrícula reembolsada
"Final tuition fee (prorated if left early), in total.","Taxa de matrícula final (proporcional se deixar mais cedo), no total."
Tuition paid to teacher.,Taxa de matrícula paga ao professor.
Tuition paid to table owner.,Taxa de matrícula paga ao proprietário da mesa.
"Tuition refunded to the student, if left early.","Taxa de matrícula reembolsada ao estudante, se deixar mais cedo."
Complete Class,Concluir Classe
A student completed a class successfully.,Um estudante concluiu uma classe com sucesso.
Completion Reason,Motivo da conclusão
Left Class,Deixar Classe
A student left or was removed from a class.,Um estudante deixou ou foi removido de uma classe.
Describes why the student left the class.,Descreve porque o estudante deixou a classe.
String,
Hours Between Executions,Horas Entre as Execuções
Repeat For Each User,Repita Para Cada Usuário
Currency And Amount Game Values,Moeda e Valor de Jogo
offers,
addaccountmanager,
removeaccountmanager,
addaccountuser,
removeaccountuser,
createaccount,
deleteaccount,
setaccountowner,
gabe,
allrecurring,
myrecurring,
specifiedUser,
meteor,
addhours,
makevisible,
Education Context,Contexto de Ensino
The student being educated.,O estudante sendo ensinado.
The teacher of the class.,O professor da classe.
Students,Estudantes
Subject Type,Tipo de matéria
Student Requirements,Requisitos do estudante
Teacher Requirements,Requisitos do professor
Percent Of Tuition Earned,Porcentagem ganha da taxa de matrícula
Min Students Before Teaching,Quantidade mínima de estudantes para ensinar
