English,Arabic
Hold Shift to grab,اضغط على Shift للتقاط
Learn Now,تعلم الآن
Switch to simple,التحول إلى بسيط
Switch to advanced,التحول إلى متقدم
Sail,الإبحار
{0} calories.,{0} السعرات الحرارية.
Stop Teaching,وقف التدريس
Skill Name,اسم المهارة
Add Study Labor,إضافة العمل الدراسي
{0} hours of study time.,{0} ساعات من وقت الدراسة.
Enroll as Student,التسجيل كطالب
Study Progress,تقدم الدراسة
Class Status:,حالة الصف:
Students\n,الطلاب \n
Become teacher,أصبح معلمًا
Subject,الموضوع
Education:,التعليم:
Add Teaching Labor,إضافة العمل التدريسي
Teacher Name,اسم المعلم
Cost to learn:,تكلفة التعلم:
Mininum Students Before Teaching Starts,الحد الأدنى من الطلاب قبل بدء التدريس
Free Food for New Citizens,طعام مجاني للمواطنين الجدد
Add Labor,إضافة العمل
Neutral,محايد
Talking,التحدث
Chewing,المضغ
Achievement 2,إنجاز 2
Achievement 3,إنجاز 3
Knock,طرق الباب
Cheer,تشجيع
Doh,دوه
Facepalm,فرك الوجه باليد
Lol,ضحك
Stinky,نتن
Lie,كذب
Dance 1,الرقص 1
Dance 2,الرقص 2
"Max active players, 0 = Unrestricted. Setting this gives your match score a boost in the server browser when you have fewer players than needed, and an extra boost if players have recently abandoned.(This affects your server score only and is not limiting amount of total users that can connect)",الحد الأقصى للاعبين النشطين ، 0 = غير مقيد. يؤدي تعيين هذا إلى تعزيز نقاط المباراة الخاصة بك في متصفح الخادم عندما يكون لديك عدد أقل من اللاعبين مما هو مطلوب ، وتعزيز إضافي إذا تخلى اللاعبون مؤخرًا. (يؤثر هذا على نتيجة الخادم الخاص بك فقط ولا يحد من إجمالي المستخدمين الذين يمكنهم الاتصال)
Oops,أُووبس
Shame,عار
Laugh,يضحك
Yuck,مقرف
Nope,لا
Gross,إجمالي
Liedown,اضطجع
Lay,يضع
Laydown,ارقد
Dance1,الرقص 1
Dance2,الرقص 2
Home Value,قيمة المنزل
On Ground,على الأرض
Tree is already on ground.,الشجرة بالفعل على الأرض.
"When multiple civic articles can apply to a given action, the one with the highest priority value will be used. (the higher the number, the higher the priority)",عندما يمكن تطبيق مقالات مدنية متعددة على إجراء معين ، فسيتم استخدام المقال الذي يحتوي على أعلى قيمة من حيث الأولوية. (وكلما زاد العدد، كلما زادت الأولوية)
Citizens in this group can remove occupants of this elected title immediately at any government office.,يمكن للمواطنين في هذه المجموعة إزالة شاغلي هذا اللقب المنتخب على الفور في أي مكتب حكومي.
Location 1,الموقع 1
Location 2,الموقع 2
Cornrows,كورنروز
Curly,مجعد
Ponytail,ذيل حصان
Sleek Short Hair,شعر قصير ناعم
The Bob,بوب
Agouti Enchiladas,
Autumn Stew,يخنة الخريف
Banh Xeo,بانه زيو
Bean Sprout,تنبت الفاصوليا
Bison Chow Fun,لعبة بيسون تشاو
Clam Chowder,حساء البطلينوس
Fantastic Forest Pizza,بيتزا الغابة الرائعة
Fish N Chips,سمك وبطاطا
Hearty Hometown Pizza,بيتزا هوم تاون القلبية
Hosomaki,هوسوماكي
Huckleberry Fritter,هاكلبيري فريتر
Kelpy Crab Roll,كيلبي كراب رول
Loaded Taro Fries,لودد تارو فرايز
Millionaires Salad,سلطة المليونيرات
Mochi,موتشي
Phad Thai,فاد تاي
Poke Bowl,بوك بول
Pupusas,العذارى
Rice Flour,طحين الأرز
Rice Noodles,نودلز الأرز
Roast Pumpkin,اليقطين المشوي
Seeded Camas Roll,رول كاماس
Sensuous Sea Pizza,بيتزا البحر الحسية
Shark Fillet Soup,شوربة سمك القرش فيليه
Smooth Gut Noodle Roll,رول المعكرونة الناعم
Spiky Roll,سبيكي رول
Sun Butter,زبدة الشمس
Sun Cheese,جبنة الشمس
Taro Fries,تارو فرايز
Tasty Tropical Pizza,بيتزا استوائية لذيذة
Worldly Donut,دونات عالمية
CO2 Canister,اسطوانة CO2
Composite Lumber Dresser,خزانة خشب مركب للملابس
Large Bath Mat,حصيرة حمام كبيرة
Nylon Futon Bed,سرير فوتون من النايلون
Nylon Futon Couch,أريكة فوتون من النايلون
Small Bath Mat,حصيرة حمام صغيرة
Students Desk T1,مكتب طلاب T1
Students Desk T2,مكتب طلاب T2
Students Desk T3,مكتب طلاب T3
Teachers Desk T1,مكتب المعلم T1
Teachers Desk T2,مكتب المعلم T2
Teachers Desk T3,مكتب المعلم T3
Towel Rack,رف منشفة
Upholstered Chair,كرسي مبطن
Upholstered Couch,أريكة مبطنة
actor,
Actors related commands,أوامر متعلقة بالممثلين
Uses wind to produce electrical power. Requires clear space for 10 blocks in front of the blades for full power generation. Gains a small output boost when placed at higher elevations.,تستخدم الرياح لتوليد الطاقة الكهربائية. يتطلب وجود مسافة واضحة لـ 10 كتل أمام الشفرات لتوليد الطاقة بالكامل. يحصل على زيادة صغيرة في الإنتاج عند وضعه على ارتفاعات أعلى.
Uses wind to produce mechanical power. Requires clear space for 10 blocks in front of the blades for full power generation. Gains a small output boost when placed at higher elevations.,تستخدم الرياح لتوليد الطاقة الميكانيكية. يتطلب وجود مسافة واضحة لـ 10 كتل أمام الشفرات لتوليد الطاقة بالكامل. يحصل على زيادة صغيرة في الإنتاج عند وضعه على ارتفاعات أعلى.
Uses the power of flowing water to produce mechanical power. Must be placed in fresh water and produces double power when placed in both a river and waterfall.,تستخدم قوة تدفق المياه لتوليد الطاقة الميكانيكية. يجب وضعها في مياه عذبة وتنتج الطاقة المزدوجة عند وضعها في النهر والشلال.
"Like a couch, but upholstered.",مثل أريكة مبطنة، ولكن
"Like a chair, but upholstered.",مثل كرسي، ولكن مبطن
A wooden hanging rack designed for towels.,رف تعليق خشبي مصمم للمناشف
Hanger,معلقات
Generates electrical power from the sun! Requires a clear view of the sky above the generator for full output. Internal batteries ensure generation during nighttime.,يولد طاقة كهربائية من الشمس! يتطلب رؤية واضحة للسماء فوق المولد للحصول على خرج كامل. البطاريات الداخلية تضمن التوليد أثناء الليل.
A small bath mat when a normal rug does not cover your bathroom needs.,سجادة حمام صغيرة عندما لا تغطي السجادة العادية احتياجات الحمام.
A modern styled couch with a classic touch.,أريكة على الطراز الحديث بلمسة كلاسيكية.
A classic futon for when regular beds are too soft.,فوتون كلاسيكي عندما تكون الأسرة العادية ناعمة جدًا.
A large bath mat reduces risks of slipping on wet floors in the bathroom.,يقلل سجادة الحمام الكبيرة من مخاطر الانزلاق على الأرضيات الرطبة في الحمام.
Dresser,مضمد
Sunflower Oil,زيت عباد الشمس
Sand Concentrate Lv3,تركيز الرمل م 3
Sand Concentrate Lv2,تركيز الرمل م 2
Clean Moon Jellyfish,تنظيف قنديل البحر القمر
"Understand this, and you will understand a lot.",افهم هذا وستفهم الكثير.
"To some it is tasty. To others, unforgivable.",بالنسبة للبعض إنه لذيذ. للآخرين ، لا يغتفر.
Crispy strips of taro that have been deep fried in oil.,شرائح من القلقاس مقرمشة مقلية بالزيت.
A plant whose seeds are quite versitile in their use further processed.,النبات الذي تكون بذوره متعددة الاستعمالات في استخدامها تتم معالجتها بشكل أكبر.
Cheesy yet not made in a traditional way.,جبني لكن لم يصنع بالطريقة التقليدية.
Spikes are definitely removed before serving.,يتم إزالة المسامير بالتأكيد قبل التقديم.
These noodle rolls look VERY smooth.,تبدو لفائف المعكرونة هذه ناعمة جدًا.
A texture all of its own.,نسيج خاص به.
The chewyness is unreal.,المضغ غير واقعي.
"Seeds sprinkled on a roll made from rice, fiddleheads and camas paste.",رش البذور على لفافة مصنوعة من الأرز وعجينة الكمان ومعجون الكاما.
Sweet but a suprising source of vitamins.,حلو ولكنه مصدر مفاجئ للفيتامينات.
Noodles made from delicious milled white grains.,نودلز مصنوعة من حبوب بيضاء مطحونة لذيذة.
"Comforting, best served hot from the griddle",مريح ، من الأفضل تقديمه ساخناً من صينية الخبز
A basic yet filling meal with a bite.,وجبة أساسية لكنها مليئة بالقضمة.
"They make you full, and proud.",يجعلونك ممتلئًا وفخورًا.
Watch your hands!,انتبهوا يديك!
A decadent yet healthy assemblage.,مجموعة منحلة لكنها صحية.
Taro Fries with extra everything.,تارو فرايز مع كل شيء إضافي.
Pieces of crab on a bed of rice rolled up and covered in kelp.,قطع من السلطعون على فراش من الأرز ملفوفة ومغطاة بعشب البحر.
Fried and sweet.,مقلي و حلو.
A simple sushi roll consisting of rice and fish tightly wrapped with seaweed.,لفائف سوشي بسيطة تتكون من الأرز والسمك الملفوف بإحكام بالأعشاب البحرية.
When you feel nostalgic and miss that cozy hometown feeling.,عندما تشعر بالحنين وتفتقد ذلك الشعور الدافئ في مدينتك الصغيرة.
Deep-fried fish served with a side of taro chips.,سمك مقلي عميق مقدم مع رقائق التارو الجانبية.
Leaves you full and lively.,يتركك شبعانًا ونشطًا.
A thick stew loaded with clams and taro root.,حساء كثيف محشو بالمحار وجذر التارو.
Who says food can't be fun?,من يقول أن الطعام لا يمكن أن يكون ممتعًا؟
The small sprouts from a grown bean plant.,البراعم الصغيرة من نبات الفول المنبت.
"Wrap the pancakes in the greens, then dip.",لفة الفطائر في الخضر ، ثم اغمسها.
A healthy and cozy meal for those cold days.,وجبة صحية ودافئة لتلك الأيام الباردة.
Sweet and savory...it doesn't have to be an Agouti.,حلو ومالح ... لا داعي لأن يكون أغوتي.
A cotton bandana that is great for keeping the hair out of your face and acts as a sweat band.,شراب قطني ناعم رائع لإبقاء الشعر بعيدًا عن وجهك ويؤدي دورًا كمسح عرق.
A simple white shirt with a tie and a colorable vest.,قميص أبيض بسيط مع ربطة عنق وسترة يمكن تلوينها.
Reinforced pants for exploring but still be fashionable.,بنطلونات مدعمة للاستكشاف ولكن لا تزال عصرية.
A classic adventuring hat protecting you from the unknown.,قبعة مغامرة كلاسيكية تحميك من المجهول.
Sturdy gloves comfortably lined with cotton for extra insulation against the elements.,قفازات متينة مبطنة بالقطن بشكل مريح للحصول على عزل إضافي ضد العوامل الجوية.
Boots with rubber soles and thermal insulation for comfort yet still be durabable.,حذاء بنعل مطاطي وعزل حراري للراحة ولكن يظل متينًا.
A smooth leather belt with a simple buckle design to not get caught in branches while exploring.,حزام جلدي ناعم بتصميم بكبسولة بسيطة لعدم التعرض للفروع أثناء الاستكشاف.
Simple low indoors working shoes helps avoiding slipping on wet surfaces in a large kitchen.,أحذية داخلية منخفضة بسيطة تساعد على تجنب الانزلاق على الأسطح الرطبة في مطبخ كبير.
A clean Chef's shirt to spot all the spots.,قميص طهاة نظيف لرصد جميع البقع.
Checkered style pants for hiding the truths of working in a kitchen.,سروال بنات مربعة لإخفاء حقائق العمل في المطبخ.
To keep your hair in one place while stirring the pots.,للحفاظ على شعرك في مكان واحد أثناء التحريك في القدور.
Spawns SkillScrolls items,يولد SkillScrolls العناصر
Spawns Clothing items,يولد الملابس الملابس
Craving Satisfied for {0}:,حنين راضي عن {0}:
Room Category,فئة الغرف
xp/day,xp / يوم
Remaining Work,العمل المتبقي
Perform {0} on {1} at {2},نفذ {0} على {1} في {2}
{0} still owes {1} a total amount of {2}. Debt can be paid in the Economy Viewer.,{0} لا يزال مدينًا {1} بمبلغ إجمالي قدره {2}. يمكن دفع الديون في عارض الاقتصاد.
"Force a given number of players to be active, creating the users if there are not enough",إجبار عدد معين من اللاعبين على أن يكونوا نشطين ، وخلق المستخدمين إذا لم يكن هناك عدد كافٍ من اللاعبين
Fine,بخير
Can't claim deed with 0 sides,لا يمكن المطالبة بسند مع 0 جوانب
Occupancy rule of type {0} already exists.,قاعدة الإشغال من النوع {0} موجودة بالفعل.
You have not eaten this food lately.,لم تأكل هذا الطعام مؤخرًا.
Fertilize,سمد
"The space in front of the Wind Generator is {0} clear, allowing it to generate {1}w. Due to height above sea level, the base power of {2}w was boosted by {3}.",المساحة أمام مولد الرياح {0} خالية ، مما يسمح لها بتوليد {1}w. نظرًا للارتفاع فوق مستوى سطح البحر ، تم تعزيز القوة الأساسية لـ {2}w بمقدار {3}.
The Wind Generator requires a clear space in front of it to operate.,يتطلب مولد الرياح مساحة خالية أمامه للعمل.
Waterwheel is generating {0}w due to {1} (,تولد عجلة الماء {0}w بسبب {1} (
River,نهر
Waterfall,شلال
being in flowing water.,يجري في المياه المتدفقة.
Achievements Available,الإنجازات المتاحة
List the achievements available.,قائمة الإنجازات المتاحة.
Save corrupted and no valid backup was found,حفظ تالف ولم يتم العثور على نسخة احتياطية صالحة
Backup was forcefully created due to migration.,تم إنشاء النسخ الاحتياطي بقوة بسبب الهجرة.
Item Distribution,توزيع العناصر
A tax taken from citizens applied on sales in a store (buying or selling).,ضريبة تأخذها الحكومة من المواطنين على المشتريات في المتجر (الشراء أو البيع).
A tax taken from citizens when crafting anything.,ضريبة تأخذها الحكومة من المواطنين عند صنع أي شيء.
A tax taken from citizens when a contract is paid.,ضريبة تأخذها الحكومة من المواطنين عند دفع العقد.
Regulator,المنظم
PluginModules,
too hungry,جائع جدًا
You can't use emotes while mounted.,لا يمكن استخدام الرموز التعبيرية أثناء الركوب.
You can't use emotes while working.,لا يمكن استخدام الرموز التعبيرية أثناء العمل.
You can't use emotes with current tool.,لا يمكن استخدام الرموز التعبيرية مع الأداة الحالية.
You can't use emotes while swimming.,لا يمكن استخدام الرموز التعبيرية أثناء السباحة.
You can't use emotes while in mid air.,لا يمكن استخدام الرموز التعبيرية في منتصف الهواء.
"Should the settlement system be used, or should the old style be set? (Note: this system is not finished yet and is currently disabled",هل يجب استخدام نظام التسوية أم يجب تعيين النمط القديم؟ (ملاحظة: هذا النظام غير مكتمل حتى الآن ومعطل حاليًا)
chatClient,
?,
knock,
cheer,
doh,
oops,
facepalm,
shame,
laugh,
lol,
yuck,
stinky,
nope,
gross,
lie,
liedown,
lay,
laydown,
sleep,
dance1,dance2
dance2,Dance3
"Cannot call function {0} from {1}, it requires a in-game user.",لا يمكن استدعاء الوظيفة {0} من {1} ، فهي تتطلب مستخدمًا داخل اللعبة.
Could not add chat command '{0}': Chat command method must be static.,تعذر إضافة أمر الدردشة '{0}': يجب أن يكون أسلوب أمر الدردشة ثابتًا.
Could not add chat command \'/{0}\': invalid parameter type '{1}' of {2} argument.,تعذر إضافة أمر الدردشة \ '/ {0} \': نوع معلمة غير صالح '{1}' من وسيطة {2}.
"Warning: Calories at zero, only base XP is being gained!",تحذير: سعرات حرارية عند صفر يتم اكتساب نقاط خبرة أساسية فقط!
"Warning: Waste at maximum, food digestion stopped and only base XP is being gained!",تحذير: هدر كحد أقصى ، توقف هضم الطعام ويتم اكتساب نقاط خبرة أساسية فقط!
"Removing empty deed: ""{0}"" id[{1}]","إزالة الصك الفارغ: ""{0}"" id[{1}]"
using {4}{5},استخدام {4}{5}
You must specialize in this skill before you can level it up.,يجب أن تتخصص في هذه المهارة قبل أن تتمكن من الارتقاء بها.
Legacy Cart Controls,ضوابط العربة القديمة
Allows carts to be controlled by mouse in addition to keys. Also returns old way of carts behavior as it was in earlier versions.,يسمح بالتحكم في العربات عن طريق الماوس بالإضافة إلى المفاتيح. تُرجع أيضًا الطريقة القديمة لسلوك عربات التسوق كما كانت في الإصدارات السابقة.
addpointsto,
addpoint,
removepointsfrom,
removepoint,
Remove skillpoints from another player. Removes from yourself if target user is empty,إزالة نقاط المهارة من لاعب آخر. يزيل من نفسك إذا كان المستخدم المستهدف فارغًا
addlevelto,
addlevel,
Gives levels to another player. Gives to yourself if target user is empty,يعطي المستويات للاعب آخر. يعطي لنفسك إذا كان المستخدم المستهدف فارغًا
removelevelfrom,
removelevel,
Removes levels from another player. Removes from yourself if target user is empty,يزيل المستويات من لاعب آخر. يزيل من نفسك إذا كان المستخدم المستهدف فارغًا
Ground Pollution Spread,انتشار التلوث الأرضي
Air Pollution Spread,انتشار تلوث الهواء
Constructed Space,مساحة مبنية
Taiga Biome,تايغا بيوم
Version,إصدار
Toggle Cursor,تبديل المؤشر
Vehicle Scoop Rotate,تدوير مغرفة السيارة
Skid Steer Scoop Rotate,انزلاقية التوجيه سكوب تدوير
Crane Rope Length,طول حبل الرافعة
Camera Behavior,سلوك الكاميرا
"Increases the tier requirement of tables by 0.2, but reduces the resources needed by 5 percent.(Only applies to claimed workstations)",يزيد من متطلبات الطبقة للجداول بمقدار 0.2 ، ولكنه يقلل من الموارد المطلوبة بنسبة 5 بالمائة (ينطبق فقط على محطات العمل المطالب بها)
Lowers the tier requirement of related tables by 0.2.(Only applies to claimed workstations),يخفض متطلبات الطبقة للجداول ذات الصلة بمقدار 0.2. (ينطبق فقط على محطات العمل المطالب بها)
You gave {0} specialty points to {1},لقد أعطيت {0} نقاط تخصص لـ {1}
You removed {0} specialty points from {1},لقد قمت بإزالة نقاط التخصص {0} من {1}
You gave {0} levels to {1},لقد قمت بإعطاء مستويات {0} لـ {1}
You removed {0} levels from {1},لقد قمت بإزالة المستويات {0} من {1}
{0} has removed {1} specialty points from you.,{0} قام بإزالة نقاط التخصص {1} منك.
You have been given {0} levels by {1},لقد تم إعطاؤك {0} مستوى من قبل {1}
{0} levels have been removed by {1},تمت إزالة {0} مستوى (أو مستويات) من قبل {1}
You can't use emotes while sitting.,لا يمكنك استخدام الرموز التعبيرية أثناء الجلوس.
You can't use this emote now.,لا يمكنك استخدام هذه الرمز التعبيري الآن.
Logged in as '{0}'{1}.,تم تسجيل الدخول باسم '{0}'{1}.
via STOVE,عبر موقد
via Steam,عبر Steam
Server Log,سجل الخادم
The value must be between 0.01 and 1.,يجب أن تكون القيمة بين 0.01 و 1.
Percentage to refund the player when they remove a specialty.,النسبة المئوية للرد للاعب عند إزالة تخصص.
Specialty Refund Percentage,نسبة الاسترداد التخصصي
The value must be between 0.01 and 100.,يجب أن تكون القيمة بين 0.01 و 100.
Item Stack Size Multiplier,مضاعف حجم مكدس العنصر
Item Weight Multiplier,مضاعف وزن السلعة
Fuel Amount Multiplier,مضاعف كمية الوقود
Storage Range Multiplier,مضاعف نطاق التخزين
Renter,المستأجر
Invitee,المدعو
Owner,مالك
Whispers,همسات
Random Candidate,مرشح عشوائي
No Winner,لا فائز
Incumbent Priority,الأولوية الحالية
Non Incumbent Priority,الأولوية لغير شاغل الوظيفة
Pick a random candidate(s) between tied candidates.,اختر مرشحًا (مرشحين) عشوائيًا من بين المرشحين المتقاربين.
"No action is taken, no winner is chosen.",لم يتم اتخاذ أي إجراء ، ولم يتم اختيار فائز.
"Choose the candidate(s) currently holding the title first, then those with the highest reputation.",اختر المرشح (المرشحين) الحاصل حاليًا على اللقب أولاً ، ثم أولئك الذين يتمتعون بأعلى سمعة.
"Choose the candidate(s) not currently holding the title, then those with the highest reputation.",اختر المرشح (المرشحين) غير الحاصلين على اللقب حاليًا ، ثم أولئك الذين يتمتعون بأعلى سمعة.
profiler,
Commands to profile the server and generate diagnostic data.,أوامر لملف تعريف الخادم وإنشاء بيانات تشخيصية.
Collects memory dump.,يجمع تفريغ الذاكرة.
cpu,
results,
Opens results page in web browser.,يفتح صفحة النتائج في متصفح الويب.
ProfilingPlugin,
Current list of members.,القائمة الحالية للأعضاء.
List of people who have been invited and can join anytime.,قائمة بالأشخاص الذين تمت دعوتهم ويمكنهم الانضمام في أي وقت.
List of people who have applied for membership and can be approved by the owner.,قائمة الأشخاص الذين تقدموا بطلب للحصول على العضوية ويمكن للمالك الموافقة عليها.
Rollover Daily Playtime,مرّر وقت اللعب اليومي
Maximum Playtime Before Exhausted,أقصى وقت للعب قبل استنفاد
Remaining playtime can be added to the next day.,يمكن إضافة وقت اللعب المتبقي إلى اليوم التالي.
If Rollover Daily Playtime is true then this is the maximum hours playtime in a day. This limits how much playtime player can save up by not playing.,إذا كان Rollover Daily Playtime صحيحًا ، فهذا هو الحد الأقصى لساعات اللعب في اليوم. هذا يحد من مقدار وقت اللعب الذي يمكن للاعب توفيره من خلال عدم اللعب.
Voice Chat Enabled,تم تمكين الدردشة الصوتية
"When enabled, players will be able to use voice chat.",عند التمكين ، سيتمكن اللاعبون من استخدام الدردشة الصوتية.
Allows creation of schools and a different skill system that supports getting educated for easier gains. (Note: this system is not finished yet and currently disabled),يتيح إنشاء مدارس ونظام مهارات مختلف يدعم الحصول على التعليم لتسهيل الارتقاء. (ملاحظة: هذا النظام لم يكتمل بعد ومعطل حاليًا)
Force China Locked Mode,قوة وضع الصين المغلق
Debug English,تصحيح الإنجليزية
"Should Simplified Chinese only be enabled, or should the all languages. You'll need to restart the server for changes to fully take effect.",هل يجب تمكين الصينية المبسطة فقط أم يجب تمكين جميع اللغات. ستحتاج إلى إعادة تشغيل الخادم لتأثير التغييرات بشكل كامل.
Debug,تصحيح
Debug translations. You'll need to restart the server for changes to fully take effect.,تصحيح الترجمات. ستحتاج إلى إعادة تشغيل الخادم لتأثير التغييرات بشكل كامل.
MessagingServer,
Channels,القنوات
maintenance,
Schedules an automatic shutdown,جدولة إغلاق تلقائي
clearmaintenance,
Clears currently scheduled user maintenance.,مسح صيانة المستخدم المجدولة حاليا.
levelwithwall,
levelwall,
Level the terrain with a wall,تسوية التضاريس بجدار
notifications,
Commands related to notifications.,الأوامر المتعلقة بالإخطارات.
mail,
m,M
Send mail to the given user (or self if blank).,إرسال بريد إلكتروني للمستخدم المحدد (أو الذاتي إذا كان فارغًا).
residence,
"Reports residency for a given user, or yourself if none passed",تقارير الإقامة للمستخدم المحدد ، أو لنفسك إذا لم يتم تمرير أي شيء.
Channel,القناة
A channel is a citizen-defined communication hub.,القناة هي مركز اتصال تعرفه المواطن. يُسمح للمديرين بإدارة تفاصيل القناة ، بما في ذلك تعيين الأذونات. يُسمح للمستخدمين بالمشاركة في مناقشات القناة.
"Managers are allowed to manage the channel details, including permission set.",تزيل التخصص
Users are allowed to participate in the discussions of the channel.,إدارة المواطنين لهذا التسوية.
removespecialty,
leveldown,
Removes a specialty that matches the passed string.,إزالة التخصص الذي يتطابق مع السلسلة المحددة.
Manages the citizens of this settlement.,يدير المواطنين في هذا التسوية.
Make a citizen a resident of the given town. Removes them from the previous settlement.,جعل المواطن مقيمًا في بلدة معينة. يزيلهم من التسوية السابقة.
Make a given citizen leave citizenship of a given town.,اجعل مواطنًا معينًا يترك جنسية بلدة معينة.
"Move all citizens to the target settlement, or the first found if not set.",انقل جميع المواطنين إلى المستوطنة المستهدفة ، أو المستوطنة الأولى إذا لم يتم تحديدها.
"Forces resolution of property crises by removing claims now.  Pass individual settlement, or leave blank for 'all settlements in crisis'.","يفرض حل أزمات الملكية عن طريق إزالة المطالبات الآن. مرر التسوية الفردية ، أو اتركه فارغًا لـ ""جميع المستوطنات في أزمة""."
Citizens Per Town,المواطنين في كل مدينة
Towns Per Country,مدن في كل بلد
Countries Per Federation,الدول لكل اتحاد
Federations,الاتحادات
Government In Each Settlement,الحكومة في كل مستوطنة
Api Key,مفتاح API
Spawn Search Range,تفرخ بحث المدى
API authentication key which may be used to access Web UI without a game user. May be used for external communication or by automation tools. Keep this setting a secret has it can be used to perform dangerous actions!,مفتاح مصادقة API الذي يمكن استخدامه للوصول إلى Web UI بدون مستخدم اللعبة. يمكن استخدامها للاتصالات الخارجية أو بواسطة أدوات الأتمتة. حافظ على سرية هذا الإعداد لأنه يمكن استخدامه لأداء أعمال خطيرة!
API admin authentication key which may be used to access Web UI without a game user as an admin user. May be used for external communication or by automation tools. Keep this setting a secret has it can be used to perform dangerous actions!,مفتاح مصادقة مسؤول واجهة برمجة التطبيقات والذي يمكن استخدامه للوصول إلى واجهة مستخدم الويب بدون مستخدم اللعبة كمستخدم إداري. يمكن استخدامها للاتصالات الخارجية أو بواسطة أدوات الأتمتة. حافظ على سرية هذا الإعداد لأنه يمكن استخدامه لأداء أعمال خطيرة!
Spawn point search range when no exact locatiion is given.,نطاق البحث عن نقطة الولادة عند عدم تحديد موقع دقيق.
View the input and output pipes to this object.,عرض أنابيب الإدخال والإخراج لهذا الكائن.
Auto Shutdown Hour,ساعة الاغلاق التلقائي
Countdown Start,بدء العد التنازلي
Countdown Intervals,فترات العد التنازلي
Specifies how many seconds until the shutdown counter starts.,يحدد عدد الثواني حتى يبدأ عداد الاغلاق.
Defines the announcement countdown intervals in minutes. The second countdown is handled by the CountdownStart setting.,يحدد فترات العد التنازلي للإعلان بالدقائق. العد التنازلي الثاني يتم التعامل معه بواسطة إعداد CountdownStart.
Work orders are made to indicate the beginning of a project. They can be completed by putting in the proper materials and labor.,يتم إصدار أوامر العمل للإشارة إلى بداية المشروع. يمكن إكمالها عن طريق وضع المواد والعمالة المناسبة.
Tech Tree Visualizer,مصور شجرة التكنولوجيا
The account to which the new currency is minted.,الحساب الذي تم سك العملة الجديدة عليه.
Was this the first time the citizen has entered/left the demographic since they joined?,هل كانت هذه هي المرة الأولى التي يدخل فيها / يغادر المواطن التركيبة السكانية منذ انضمامه؟
Stars Refunded,النجوم مستردة
XPRefunded,XP
Lose Specialty,تفقد التخصص
A citizen lost a specialty.,مواطن فقد تخصص.
Number of stars refunded.,تم رد عدد النجوم.
Amount of XP refunded.,مبلغ XP المسترد.
Currency is a societal construct that makes trade easier.,العملة هي بناء مجتمعي يجعل التجارة أسهل.
Create and manage access to bank accounts.,إنشاء وإدارة الوصول إلى الحسابات المصرفية.
View and create build orders from this crafting table.,عرض وإنشاء أوامر البناء من جدول الصياغة هذا.
Sets the currency used to rent this workbench.,يضبط العملة المستخدمة لاستئجار طاولة العمل هذه.
Set the text to display on this sign.,اضبط النص الذي سيتم عرضه على هذه العلامة.
Set and view currencies to trade.,تعيين وعرض العملات للتداول.
View and set the fuel consumed by this object.,عرض وضبط الوقود الذي يستهلكه هذا الكائن.
Access the inventory of this object and any inventories in range.,الوصول إلى قائمة جرد هذا الكائن وأي قوائم جرد في النطاق.
Create and mint new coins for currencies.,قم بإنشاء عملات معدنية جديدة للعملات وصكها.
View and set the attachment to this vehicle.,عرض وضبط المرفق على هذه السيارة.
Set and view the upgrade modules for this workbench.,قم بتعيين وعرض وحدات الترقية لمنضدة العمل هذه.
View the production of this generator and the status of the power grid.,عرض إنتاج هذا المولد وحالة شبكة الطاقة.
Examine status effects and room requirements for this object.,افحص تأثيرات الحالة ومتطلبات الغرفة لهذا الكائن.
Store Category,فئة المتجر
Set authorization status for people and Demographics.,تعيين حالة التفويض للأشخاص والمعلومات السكانية.
"A defined section of land, which can be referenced by laws and other systems.",قسم محدد من الأرض يمكن الرجوع إليه بالقوانين والأنظمة الأخرى.
How To Proceed If Elections End In ATie,كيفية المضي قدما إذا انتهت الانتخابات في ATie
How to proceed if there was a tie in the election,كيف يتم المضي قدما إذا كان هناك تعادل في الانتخابات
Elected Titles are government officials that can be assigned permissions to manage government policy.,الألقاب المنتخبة هم مسؤولون حكوميون يمكن منحهم أذونات لإدارة سياسة الحكومة.
"Titles can be either appointed or elected titles, and are used to describe a citizen's job, social status, or responsibilities.",يمكن أن تكون الألقاب ألقابًا معينة أو منتخبة ، وتُستخدم لوصف وظيفة المواطن أو الحالة الاجتماعية أو المسؤوليات.
Requirements For New Citizens,متطلبات المواطنين الجدد
Approver,الموافق
The left part of the comparison.,الجزء الأيسر من المقارنة.
The type of the comparison.,نوع المقارنة.
The right part of the comparison.,الجزء الصحيح من المقارنة.
The person being checked.,الشخص الذي يتم فحصه.
Laws determine rules and processes that all citizens are compelled to follow.,تحدد القوانين القواعد والعمليات التي يتعين على جميع المواطنين اتباعها.
A poll set to a group of citizens to determine a position or referendum.,هو استطلاع محدد لمجموعة من المواطنين لتحديد موقف أو استفتاء.
The time the election started.,وقت بدء الانتخابات.
The time the election ends or ended.,وقت انتهاء الانتخابات أو انتهائها.
The election process used for voting.,عملية الانتخاب المستخدمة في التصويت.
The title that is voted upon.,العنوان الذي تم التصويت عليه.
Actions that will occur once the election is completed.,الإجراءات التي ستحدث بمجرد الانتهاء من الانتخابات.
Vote for a candidate in an election.,التصويت لمرشح في الانتخابات.
"Ends an election immediately, blocking its result.",ينهي الانتخابات على الفور ، ويعيق نتيجتها.
