English,SimplifedChinese
Tuition,学费
Crafting Payment,制作费用
Crafting Refund,制作退款
A person who is a resident on the property.,该用户是这块土地上的住客。
A person who is a resident and not an owner.,该用户是住客，而不是拥有人。
A person who is an owner on a property where there are non-owning renters.,该用户是土地上的拥有人，这片土地上的租客都是非所有人。
"A person who has been invited to become a resident, but is not yet one (and not an owner).",该用户已受邀成为了一名住客，不过还未成为住客（且不是拥有人）。
A person who owns the property.,该用户拥有这块土地。
Rent Cost,租金成本
Median,中值
Deed Removed,契据已移除
"An animal or a plant was damaged, but not destroyed.",一种动物或一棵植物已损伤，不过还没坏。
An animal or a plant was destroyed.,一种动物或一棵植物已被毁。
School,学校
Overlaps District,区域重叠
Self Taught,自学
Educated,已受教育
Dropped Out,已辍学
Expelled,已被开除
Legacy,遗产
RconPlugin,侦察插件
serverui,服务器界面
Hashed Password,已打乱的密码
Detailed Description,详细说明
Server Category,服务器类别
Game Server Port,游戏服务器端口
Web Server Port,网络 服务器端口
Rcon Server Port,侦察服务器端口
Rcon IPAddress,侦察IP地址
Rcon Password,侦察密码
Max Connections,最大连接数
The value must start with http:// or https://.,值必须由http://或https://开始。
Bind port for RCON traffic.  TCP only.  Requires a restart to take effect. More info available here: https://wiki.play.eco/en/RCON,为侦察通信绑定端口。仅适用于传输控制协议。需要重启生效。更多可用信息见此处：https://wiki.play.eco/en/RCON
RCON IP Address for the traffic. If not specified then Any (0.0.0.0) address will be used. Requires a restart to take effect. More info available here: https://wiki.play.eco/en/RCON,侦察IP地址用于通信。若未指定，那么任意 (0.0.0.0) 地址将被使用。需要重启生效。更多可用信息见此处：https://wiki.play.eco/en/RCON
Password for authenticating incoming RCON traffic. A password must be provided to enable RCON support. More info available here: https://wiki.play.eco/en/RCON,用于验证发过来的侦察通信密码。必须提供密码，用于获取侦察支持。更多可用信息见此处：https://wiki.play.eco/en/RCON
world,世界
Commands related to world stuff.,和世界东西相关的指令。
Education Enabled,教育已可用
Food Variety Multiplier Enabled,食物多样性系数已可用
Food Tastiness Multiplier Enabled,食物味道系数已可用
Allows players to rent access to a given deed from one another when enabled.,启用后，允许玩家互相租借某个契约的使用权。
"When enabled, the variety of food you eat will provide a bonus.",启用后，你吃的食物种类将提供奖励。
"When enabled, each player has unique preferences for each type of food that yields a bonus, and periodic 'cravings' will emerge for an additional bonus.","启用后，每个玩家对每种类型的食物都有独特的偏好，可以获得奖金。定期的 ""渴望 ""会出现，以获得额外的奖金。"
Log Missed Strings,日志缺少的字符串
Track Missed String,追踪缺少的字符串
Missing localization strings logging behavior,缺失本地化字符串的日志记录行为
Missed strings tracking behavior,缺失字符串追踪行为
fastforward,快进
ff,
education,教育
"Set education value (0 to 1) for a skill (default to 1), giving the skill if the user doesn't have it.  If no target user is set, apply to self.",设置一个技能（默认为1）的教育值（0到1）。如果用户没有该技能，则给予该技能。 如果没有设置目标用户，则应用于自己。
skillName,技能名
Gives a skill matching the given name.,给出一个与给定名称相匹配的技能。
talentdel,天赋移除
talentName,天赋名称
cleartalents,清除天赋
point,点
dinnerbell,开饭铃
animal,动物
unpollute,未污染
fullReplacement,完全代替
removedeadplants,移除枯萎植物
plant,植物
forcecollectglobalstats,强制收集全球数据
globalstats,全球数据
Force global stats to collect now. Updates world progress stats as well.,强制现在就去收集全球数据。同时，更新世界进度数据。
allplants,全部植物
resetworldcaches,重置世界缓存
tp,传送
yOrZ,y轴或z轴
tpto,传送至
fgive,
addvoid,添加空值
distance,距离
evict,驱逐
resident,住客
res,资源
bt,
bm,你能怎么办
chat,聊天
clearhistoryolderthan,清除历史记录早于
preserveDays,保留天数
language,语言
showsupportedlanguages,显示支持语言
freecar,免费汽车
calculate,计算
calc,计算
Evaluates provided math expression,对提供的数学表达式进行评估
expression,表达式
achievement4,成就4
Achievement4,成就4
Tier,层级
Stars To Self Teach,自学所需星星
Stars To Be Taught,学会所需星星
Stars To Become Teacher,成为老师所需星星
Calories To Teach,教学所需卡路里
Calories To Learn,学习所需卡路里
Time To Learn Hours,学习所需时间
Classroom Tier Required,班级所需层级
Can Be Educated,可接受教育
settlement,定居点
ownit,拥有它
Optional amount charged upon move-in for new residents.,对新住客收取非强制性的迁入费用。
A list of citizens and demographics that may join as residents.  Only the owner of the property can set this list.,公民和群体列表，可以作为住客加入。只有土地所有者可以设定该列表。
Commands for changing things about users.,用于改变关于用户事情的指令。
energize,激励
Provide a user with extra hours they can use to perform labor when exhauasted.  Can be negative to remove previously granted energy.,为用户提供额外的时间，他们可以在疲劳时，用这些时间来进行劳动。 可以是负面的，以消除以前授予的能量。
exhaust,疲劳
Force a user to be exhausted for the remainder of the day.,在一天的剩余时间里，强制一个用户进入疲劳状态。
SLGAccount Name,怪奇轮回游戏帐户名称
SLGAccount Password,怪奇轮回游戏帐户密码
Movement Hack Detection,移动异常检测
The user account associated with this server. This is public knowledge and shared with clients.  Setting this will allow achievements earned by players on this server to be visible in other servers (as well as future features to come). Visti play.eco to link your steam account or create a new account.,与该服务器相关的用户账户。这是公共知识，与客户共享。 设置这个将允许玩家在本服务器上获得的成就在其他服务器上可见（以及未来的功能）。访问play.eco来链接你的蒸汽平台账户或创建一个新的账户。
Password for the above SLG account.,上述怪奇轮回游戏帐户的密码。
When enabled users who likely cheat movement will be identified and kicked from server (beta - may identify non-cheating users as cheaters and disconnect),启用时，可能移动异常的用户将被识别并被踢出服务器（测试版--可能将非作弊用户识别为作弊者并断开连接）。
nameOrID,名称或编号
unban,开放
mute,静音
unmute,取消静音
unwhitelist,逐出白名单
removeadmin,移除管理员
kickUser,踢用户
whoami,我是谁
whois,谁是
listusers,列表用户
listadmins,列表管理员
ignore,忽略
ignoreUser,忽略用户
markglobal,标记全球
removenearestglobalmark,移除最近的全球标记
crave,渴望
"Force a craving on a given user (self if untargeted user, random food if not set)",对一个给定的用户强行施加渴望（如果是非目标用户，则为自己，如果没有设置，则为随机食物）。
foodName,食物名称
Efficiency Modules,效率模块
Hidden/Research,隐藏/研究
housing,房屋
"Which category this room evaluates to, based on the furniture it contains",根据所包含的家具，这个房间被评估为哪一类。
"The computed value of the object towards skill, which gets reduced based on room state.",物品对技能的计算值，根据房间状态变少。
Multiple furniture of the same type will provide diminishing returns.,同一类型的多个家具将提供递减回报。
Multiple furnishings of the same type will be reduced by this percent with each additional object.,同一类型的多个家具，每增加一个物品，就会减少这个百分比。
Scale,规模
Applies To Property Type,应用到土地类型
"If this is a teacher workstation, put the tier in this value.",如果这是一个教师工作站，就把层级放在这个值里。
"If this is a student workstation, put the tier in this value.",如果这是一个学生工作站，就把层级放在这个值里。
Each workstation needs 'support' matching its tier value.,"每个工作站都需要与它的层级值相匹配的 ""支持""。"
"For support objects, this many repeats will still provide value in a classroom.",对于支持物品来说，这么多的重复仍然会在班级上提供价值。
"Increases learning speed by this multiplier, summing with other furnishings.",通过这个系数提高学习速度，与其他家具相加。
Increase calorie efficiency for studying by this multiplier in this classroom.,在这个班级里，通过这个系数来提高学习的卡路里效率。
Increase calorie efficiency for teaching by this multiplier in this classroom.,在这个班级里，通过这个系数来提高教学的卡路里效率。
Stars Used,已使用星星
Method Learned,已习得方法
Number of stars used.,已使用的星星数。
Was the skill gained by self-teaching or education?,技能是通过自学还是教育习得的？
Create Tree Debris,创造树木碎片
A citizen felled a tree and created debris,一位公民砍伐了一棵树并产生了碎片
The citizen who chopped down the tree that is generating debris.,砍下树的公民在产出碎片。
The average location of the debris.,碎片的平均位置。
The number of debris blocks created in this action.,在这个行动中，产出的碎片方块数量。
Open Door Action,开门行动
Student,学生
Teacher,老师
Student enrolling.,招收中的学生。
"The teacher, if one is assigned.",老师，如果有的话。
Tuition Fee,学费
Tuition Currency,学费货币
Teacher Percent,老师比例
Subject Being Taught,授课中的学科
Enroll Action,招收行动
A student enrolled in a class.,已招收进班级的一名学生。
"Tuition fee, held in escrow.",学费，以代管方式持有。
Currency which tuition is charged in.,收取学费的货币。
Percent of tuition to be held for teacher.,为教师保留的学费比例。
The subject being taught in this class.,这个班级上正在教的科目。
Tuition Fee Total,总计学费
Tuition Fee Paid To Teacher,支付给老师的学费
Tuition Fee Paid To Owner,支付给拥有者的学费
Tuition Fee Refunded,已退款的学费
"Final tuition fee (prorated if left early), in total.",最终学费（如果提前离开，则按比例计算），总和。
Tuition paid to teacher.,支付给老师的学费。
Tuition paid to table owner.,支付给桌子拥有者的学费。
"Tuition refunded to the student, if left early.",如果提前离开，学费退还给学生。
Complete Class,上完课
A student completed a class successfully.,一名学生成功上完了课。
Completion Reason,完成原因
Left Class,离开班级
A student left or was removed from a class.,一名学生从班级离开或被开除。
Describes why the student left the class.,描述学生离开班级的原因。
String,字符串
Hours Between Executions,执行期间小时数
Repeat For Each User,为每个用户重复
Currency And Amount Game Values,游戏所值的货币和量
offers,提供
addaccountmanager,添加客户经理
removeaccountmanager,移除客户经理
addaccountuser,添加账户用户
removeaccountuser,移除账户用户
createaccount,创建账户
deleteaccount,删除账户
setaccountowner,设置账户拥有者
gabe,加布
allrecurring,全部周期
myrecurring,我的周期
specifiedUser,特定用户
meteor,流星
addhours,添加小时数
makevisible,使得可见
Education Context,教育环境
The student being educated.,接受教育中的学生。
The teacher of the class.,班级老师。
Students,学生
Subject Type,科目类型
Student Requirements,学生要求
Teacher Requirements,老师要求
Percent Of Tuition Earned,已赚的学费比例
Min Students Before Teaching,教学前最少学生数
"Requirements that must be satisfied throughout the course. If the student fails to maintain these requirements, they will be expelled.",在整个课程中必须满足的要求。如果学生不能保持这些要求，他们将被开除。
"If set, students will be charged this amount upon enrollment, which will be held in Escrow until completion or unerollment, upon which it will be split with the teacher and the owner's bank account.  Students that leave class before completion will have a prorated amount refunded.  Students who have a partial education when joining will be charged a prorated tuition.",如果设定了，学生在入学时将被收取相应金额，该笔金额将被托管，直到完成学业或取消学业，届时将会分配给教师和所有者的银行账户。 在完成学业之前离开班级的学生将按比例获得退款。 加入时有部分教育的学生将被收取按比例的学费。
"Requirements that must be satisfied throughout the course. If the teacher fails to maintain these requirements, they will be removed.",在整个课程中必须满足的要求。如果老师不能保持这些要求，他们将被开除。
Thie percentage of tuition will be paid to the teacher when a student finishes a course or unenrolls.,当学生完成课程或退学时，学费的比例将支付给教师。
"Teaching will not begin until this many students are enrolled and have met the calorie requirements for studying.  This is to limit the calorie expenditure of the teacher, which is the same regardless of the number of students being taught.",在这么多学生入学并达到学习的卡路里要求后，才开始教学。 这是为了限制教师的卡路里消耗，无论所教的学生人数多少，其卡路里消耗都是一样的。
"Teaching requires labor, paid in advance in the form of calories. When students are enrolled and have studied, their queued 'study' calories and the teachers queued 'teaching' calories will tick down together, while their education rises.","教学需要劳动，以卡路里的形式提前支付。当学生入学并学习后，他们排队的 ""学习 ""卡路里和教师排队的 ""教学 ""卡路里会一起下降，而他们的教育水平会上升。"
fin,鱼鳍
Location To Display,显示位置
Affects where the message will be displayed.,影响消息将显示的位置。
Total Terms Allowed,允许完整任期
Can Set Global Objective,可设定全球目标
Immigrant,移民
The immigrant applying to become a citizen.,移民正申请成为一名公民。
A set of rules for how immigrants may become citizens of a settlement.,一套关于移民如何成为一个定居点公民的规则。
Game Value Wrapper,游戏数值包装
Game Value Context,游戏数值环境
Comparison,比较
Not Value,不是值
Arithmetic operations on other values from the world.,从世界上对其他数值的算术操作。
Target citizen's personal bank account.,目标公民的个人银行账户。
Definition,定义
Variable's text representation.,变量的文字表述。
Variable's value that will be used in calculations.,将用于计算的变量的值。
Formula,公式
Where,位置
Text Formula,文本公式
"Calculates a formula written out in text, using variables defined below.",计算用文本写出的公式，使用下面定义的变量。
"The formula to compute. Can use operators +,-,*,/,%,^,(). Can use variables: add a name and you'll have the option to auto-create them from the tooltip.",要计算的公式。可以使用运算符+、-、*、/、%、^、（）。可以使用变量：添加一个名称，你就可以选择从提示信息中自动创建它们。
Round Type,舍入类型
Round To Multiple,舍入至系数
Thresholds,阈值
Progressive Percent,递增百分比
"Choose a percent based on increasing thresholds, like tax-brackets.",根据增加的阈值选择一个百分比，就像税率一样。
Value to query.,要查询的值。
List of threshold to query progressive percent value.,列表中的阈值，用于查询渐进式百分比值。
Threshold,阈值
Statistical queries of the world.,世界统计查询
Species Types,物种类型
Statistic,统计
Custom Stat Name,自定义数据名称
Time Range In Hours,时间范围小时数
Time Range Type,时间范围类型
"The name of the stat that will be recorded, creating it if it doesn't exist. Case insensitive.",将被记录的统计信息名称，如果不存在则创建。不区分大小写。
Matches Currency,匹配货币
Authorized Or Not,已授权或未授权
Ignore Government Owned,忽略已拥有公会
Weight By Percent Owned,已拥有的重量比例
Stats about players.,关于玩家的数据。
Within Last Number Of Days,在最后的天数内
Population Type,人口类型
Defines what kind of population will be queried.,定义将要查询的人口类型。
House Value,住房价值
Defines what kind of house value will be queried.,定义将要查询的房屋价值类型。
The list of districts to query.,要查询的地区列表。
Queries population overlapping or contained in specific districts.,查询与特定地区重叠或包含的人口。
Population At Location,所在地的人口
Population values at given location.,给定地点的人口值。
Location to query population.,地点查询人口。
Population At District,地区人口
Population values relative to districts.,相对于地区的人口值。
The relation of resident's property and the districts.,居民的土地和地区的关系。
House Value At Location,所在地的房屋价值
Get a value related to housing at a given location.,在指定位置，获得和住房相关的一个值。
Location to check house value of.,检查住房价值的位置。
Analysis Type,分析类型
Property Relation Type,土地关系类型
House Value At Districts,区域住房价值
Get a value related to housing at given districts.,在指定区域，获得和住房相关的一个值。
Defines what analysis of the data you want to perform.,定义你想要呈现的数据分析内容。
Resident Type,住客类型
Is Resident Type,是住客类型
"Check if a citizen is a resident, renter, owner, or invited on a given property",检查一个公民是否为一名住客、租客或受邀进入指定土地
Defines the resident type to check for.,定义要检查的住客类型。
Sections,部分
Property Location,土地位置
Invite Or Rescind,邀请或撤回
Show Achievements At Trust Level,显示在信任层面的成就
Only achievements earned on other servers this level of trust and up will be shown in the game.,只有在其他服务器上获得的这个级别的信任及以上的成就才会在游戏中显示。
CO2 Total Delta,二氧化碳总量三角洲
Temperature Total Delta,温度总量三角洲
Sea Level Total Delta,海平面总量三角洲
Layer Type,层类型
Subcategory,子种类
Habitability Layer,宜居层
Species Change Rate,物种变化率
Is Terrestrial,是陆生生物
Decay Rate Flat,衰减率固定值
Decay Rate Percent,衰减率百分比
Zero At Height Diff,变为零时的高度差
Source Influence Rate,源值的影响速率
Base Layer Name,基本图层名称
Height Layer Name,高度层名称
Celsius Range,摄氏度范围
Init Multiplier,初始系数
Sync To Client,同步到客户端
Override Render Range,覆盖渲染范围
Min Color,最小颜色值
Max Color,最大颜色值
Sum Relevant,相关总和
Category Name,类别名称
Visible,可见
Render Range,渲染范围
Value Type,数值类型
Area Description,区域描述
Initial Oxygen Percent,初始氧百分比
Initial Nitrogen Percent,初始氮百分比
Atmosphere Display Enabled,已启用大气显示
Pollution Multiplier,污染系数
Sea Level Sim Enabled,已启用海平面模拟
Temperature Sim Enabled,已启用温度模拟
Max Sea Level Rise,海平面上升的最高范围
Max Temperature Rise,温度上升的最高范围
Max Sea Level Rise Rate Per Day,每天的最大海平面上升率
Max Temperature Change Per Day,每天的最大温度变化
Pollution Per Tailing Per Tick,时间每滴答过去一下，单位残渣造成的污染
Max Debris Blocks,最大碎屑块数量
Climate Settings,气候设置
Push To World,进入世界
Pull From World,退出世界
Animal Behavior Lodding,动物行为遮盖
Base Skill Gain Rate,基本技能获取速率
Skill Damage Multiplier,技能伤害系数
Record Layer History,记录层历史记录
Layer History Backups Per Day,每天的图层历史记录备份数量
Time Of Day Scale,昼夜长度设置
Group By Essential Fields,按基本字段分组
Group By All Fields,按所有字段分组
Dont Group,不分组
Stats Grouping Days,数据分组天数
Max Records To Group,最大待分组记录
Keep Details Hours,保持细节小时数
Rebuild Database On Exit,退出时重建数据库
Grouping Level,分组等级
"How old records can be grouped. It means it will try to process all last X days of records to group them. Usually you want to have this number low (1-2) in order to avoid process already processed records, but you can set high value (by example world age) in order to process at once all records from some old save with disabled grouping.",多久的记录可以被分组。这意味着它将尝试处理所有最后X天的记录来分组。通常你希望这个数字低一些（1-2），以避免处理已经处理过的记录，但你也可以设置高的数值（例如世界年龄），以便一次性处理一些旧保存的所有记录，并禁止分组。
"Max count of records that will be proccesed at once hourly. For reference, server with 100 players may reach 1.000.000 records per day. Usually 500.000 (default) should be ok, but you may want to tweak it if you have incredibly big count of records or if you are facing lag while it groups records.",每小时一次处理的最大记录数。作为参考，有100个玩家的服务器每天可能达到1.000.000条记录。通常情况下，500.000（默认值）应该是可以的，但如果你有难以置信的大数量的记录，或者你在分组记录时出现延迟，你可能想调整它。
Most recent records wont be processed in order to have more exact values for laws like 'Users who in last 1 hour claimed plots ...'. You may want to tweak this value to increase this support.,"最近的记录不会被处理，以便为 ""在过去1小时内认领地块的用户...... ""等法律提供更精确的数值。你可能想调整这个值以增加这种支持。"
"It rebuilds database file at the moment of exiting the application. It may reduce space of stats file, but it will increase the time needed to exit.",它在退出应用程序的时候重建数据库文件。这可能会减少统计文件的空间，但会增加退出的时间。
"Level of grouping data. Essential fields means only citizen, i.e, it may group action of 'drop rubble' and 'drop garbage' for same citizen. Currently othey fields are not used, so it should be good enough. But in the future there are may be another features with database, which may requiere another properties.","分组数据的等级。基本字段仅指公民，即，它可以对同一公民的 ""丢弃瓦砾 ""和 ""丢弃垃圾 ""的行动进行分组。目前其他字段没有被使用，所以应该是足够好的。但在未来，可能会有其他的数据库功能，这可能需要其他的属性。"
Radius of initial seed points. Influences cell size.,初始种子点数的半径。影响细胞尺寸。
Percentage of the world to create as land. Rest will be ocean.,世界百分比，以陆地进行创建。其余的部分将会是海洋。
Number of cells to place as coastline.,细胞数量，以海岸线进行放置。
Number of cells to place as shallow ocean near the coast.,细胞数量，以海岸附近的浅海进行放置。
Weight of land to spawn for the desert biome.,为沙漠生物群生成的土地重量。
Weight of land to spawn for the warm forest biome.,为温带森林生物群生成的土地重量。
Weight of land to spawn for the cold forest biome.,为寒带森林生物群生成的土地重量。
Weight of land to spawn for the taiga biome.,为针叶林地带生物群生成的土地重量。
Weight of land to spawn for the tundra biome.,为苔原生物群生成的土地重量。
Weight of land to spawn for the ice biome.,为寒带生物群生成的土地重量。
Weight of land to spawn for the rainforest biome.,为雨林生物群生成的土地重量。
Weight of land to spawn for the wetland biome.,为湿地生物群生成的土地重量。
Weight of land to spawn for the steppe biome.,为草原生物群生成的土地重量。
Weight of land to spawn for the high desert biome.,为高地沙漠生物群生成的土地重量。
Number of continents to spawn.,大陆数量生成。
Range that continents avoid other land masses.,大陆避开其他陆块的范围。
Weight of land to spawn as smaller islands.,以小型岛屿生成的陆地重量。
Min number of smaller islands to spawn.,小型岛屿生成的最小数量。
Range that islands avoid other land masses.,岛屿避开其他陆块的范围。
Minimum number of rainforest biomes to spawn. Multiple biomes can merge into one larger biome.,雨林生物群的最小数量生成。多个生物群可合成一个大型生物群。
Minimum number of warm forest biomes to spawn. Multiple biomes can merge into one larger biome.,温带森林生物群的最小数量生成。多个生物群可合成一个大型生物群。
Minimum number of cool forest biomes to spawn. Multiple biomes can merge into one larger biome.,寒带森林生物群的最小数量生成。多个生物群可合成一个大型生物群。
Minimum number of taiga biomes to spawn. Multiple biomes can merge into one larger biome.,针叶林生物群的最小数量生成。多个生物群可合成一个大型生物群。
Minimum number of tundra biomes to spawn. Multiple biomes can merge into one larger biome.,苔原生物群的最小数量生成。多个生物群可合成一个大型生物群。
Minimum number of ice biomes to spawn. Multiple biomes can merge into one larger biome.,寒带生物群的最小数量生成。多个生物群可合成一个大型生物群。
Minimum number of desert biomes to spawn. Multiple biomes can merge into one larger biome.,沙漠生物群的最小数量生成。多个生物群可合成一个大型生物群。
Minimum number of wetland biomes to spawn. Multiple biomes can merge into one larger biome.,湿地生物群的最小数量生成。多个生物群可合成一个大型生物群。
Minimum number of high desert biomes to spawn. Multiple biomes can merge into one larger biome.,高地沙漠生物群的最小数量生成。多个生物群可合成一个大型生物群。
Minimum number of steppe biomes to spawn. Multiple biomes can merge into one larger biome.,草原生物群的最小数量生成。多个生物群可合成一个大型生物群。
Size range to spawn lakes.,生成湖泊的尺寸范围。
Number lakes to spawn.,湖泊数量生成。
Number of rivers to spawn.,河流数量生成。
Distance in meters that rivers avoid themselves or other rivers.,河流避开自己或其他河流的计量距离。
Approximate width of rivers.,大致的河流宽度。
The distance in meters from the ocean where the maximum world elevation is allowed. (x in the elevation equation [(d*x)^y]),以米为单位的距海洋的距离，其中允许有最大的世界海拔高度。（x在高程方程[(d*x)^y] 中）
The power or rate of change in elevation from the ocean. (y in the elevation equation [(d*x)^y]),与海洋相比，海拔变化的力量或速率。（y在高程方程[(d*x)^y] 中）
"Autoscales features based on world size compared to default (720). Internally affects the number of biomes and continent size. For finer control of larger worlds, disable this feature.",与默认值（720）相比，根据世界大小自动缩放功能。内部影响到生物群的数量和大陆的大小。如果要对更大的世界进行更精细的控制，请禁用此功能。
Power used in the autoscale function (worldSize / defaultWorldSize) ^ exponent,在自动缩放功能中使用的功率（世界尺寸 / 默认世界尺寸） ^ 指数
Whether or not to save an image of the terrain after generation.,是否在生成后保存地形的图像。
Water Level,水位
Heightmap Module,高度图模块
Water Module,水模块
Rainfall Module,雨量模块
Temperature Module,温度模块
Terrain Module,地形模块
Voxel Size,体素大小
Frequency Scale,频率规模
Size Description,大小说明
May be used to specify weight variance. Every time when new block generated it's direction weight will be increased by random value from range [0; direction variance).,可以用来指定权重差异。每次当新地块生成时，它的方向权重将从范围[0；方向方差] 中随机增加。
sea,海
Explorer Boots,探索者的靴子
Beaver Carcass,海狸遗骸
Marmot Carcass,土拨鼠遗骸
Prairie Dog Carcass,草原犬鼠遗骸
Tailoring Modern Upgrade,裁缝现代化升级
Blackboard,黑板
Canning Assembly,罐头装配
Cast Iron Bed,铸铁床
Cast Iron Bench,铸铁长凳
Cast Iron Chair,铸铁椅子
Cast Iron Royal Bed,铸铁皇家床
Cast Iron Table,铸铁桌子
Elevator Call Post,电梯呼叫站
Feminine Mannequin,女模特儿
Hewn Dresser,锯木化妆台
Hewn Nightstand,锯木床头柜
Huge Banner Sign,巨型横幅标志
Huge Iron Banner Sign,巨型铁质横幅标志
Huge Iron Sign,巨型铁质标志
Huge Steel Banner Sign,巨型钢铁横幅标志
Huge Steel Sign,巨型钢铁标志
Huge Wooden Banner Sign,巨型木质横幅标志
Large Wooden Bookshelf,大型木质书架
Limestone Podium,石灰石讲台
Masculine Mannequin,男模特儿
Plastic Bench Blue,蓝色塑料长凳
Plastic Bench Green,绿色塑料长凳
Plastic Bench Red,红色塑料长凳
Plastic Chair Blue,蓝色塑料椅子
Plastic Chair Green,绿色塑料椅子
Plastic Chair Red,红色塑料椅子
Plastic Table Blue,蓝色塑料桌子
Plastic Table Green,绿色塑料桌子
Plastic Table Red,红色塑料桌子
Pottery Table,制陶工作台
Small Meeting Chair,小型会议椅子
Small Meeting Table,小型会议桌子
Steel Abstract Fixture,钢制抽象灯具
Steel Hanging Fixture,钢制悬挂式灯具
Steel Hanging Lamp,钢制悬挂式灯
Steel Kitchen Lamp,钢制厨房灯
Steel Podium,钢制讲台
Steel Row Seating,钢制座椅
Steel Searchlight,钢制探照灯
Steel Square Fixture,钢制方形灯具
Wooden Podium,木质讲台
Amanita Mushroom Species,鹅膏菌物种
Barrel Cactus Species,桶形仙人掌物种
Beans Species,豆子物种
Beets Species,甜菜物种
Big Bluestem Species,大须芒草物种
Birch Species,桦树物种
Bolete Mushroom Species,牛肝菌物种
Bunchgrass Species,丛生禾草物种
Buttonbush Species,风箱树物种
Camas Species,卡马斯物种
Cedar Species,雪松物种
Ceiba Species,木棉物种
Clam Species,蛤蜊物种
Common Grass Species,杂草物种
Cookeina Mushroom Species,大孢毛菇物种
Corn Species,玉米物种
Cotton Species,棉花物种
Creosote Bush Species,灌木物种
Crimini Mushroom Species,香啡菇物种
Deer Lichen Species,鹿地衣物种
Desert Moss Species,沙漠苔藓物种
Dwarf Willow Species,矮柳物种
Fern Species,蕨类物种
Filmy Fern Species,瓶蕨物种
Fir Species,冷杉物种
Fireweed Species,柳兰物种
Heliconia Species,海芋物种
Huckleberry Species,越橘物种
Jointfir Species,麻黄物种
Joshua Species,约书亚树物种
Kelp Species,巨藻物种
King Fern Species,国王蕨物种
Lattice Mushroom Species,格子蘑菇物种
Lupine Species,羽扇豆物种
Oak Species,橡木物种
Ocean Spray Species,海洋花丛物种
Old Growth Redwood Species,原始林红杉物种
Orchid Species,兰花物种
Palm Species,棕榈物种
Papaya Species,番木瓜物种
Peat Moss Species,泥煤苔藓物种
Pineapple Species,菠萝物种
Pitcher Plant Species,猪笼草物种
Prickly Pear Species,仙人球物种
Pumpkin Species,南瓜物种
Redwood Species,红杉物种
Rice Species,稻米物种
Saguaro Cactus Species,树形仙人掌物种
Salal Species,沙龙白珠树物种
Saxifrage Species,虎耳草物种
Seagrass Species,海草物种
Spruce Species,云杉物种
Sunflower Species,向日葵物种
Switchgrass Species,柳枝稷物种
Taro Species,芋头物种
Tomatoes Species,番茄物种
Trillium Species,延龄草物种
Urchin Species,海胆物种
Waterweed Species,伊乐藻物种
Wheat Species,小麦物种
White Bursage Species,白豚草物种
Max Professions per Citizen: {0},每个公民最多职业数：{0}
Max Specialties per Citizen: {0},每个公民最多专业数：{0}
Over-Specialization Rate: {0},过于专业的比率：{0}
Desired Max Users: {0},期望最大用户数：{0}
{0} star: {1},{0} 星：{1}
World Skill Settings,世界技能设置
"0% means users get the bare-minimum number based on targeted number of players, each specialty going to each person once.  100% means everyone gets every specailty.",0%意味着用户获得基于目标玩家数量的最低数量，每个专业平均分配至每个玩家一次。 100%意味着每个人都能得到每一种专业。
Tier {0} Skills,层级{0} 的技能
XP Needed For Each Star,每颗星所需的经验值
Each additional star after these costs {0} more than the previous.,在这些之后，每一颗额外的星星都要比前一颗多花费{0}。
A device with a rotating drum that is used to shape molten synthetic materials into thin ribbons.,一种带有旋转滚筒的设备，用于将熔化的合成材料塑造成细带。
Spices,调味料
Food Storage,食物贮藏
Fireplace,壁炉
Food Preparation,食品准备
A device for making fabric by weaving yarn or thread.,通过编织纱线或线来制作织物的设备。
A large corrugated steel door.,大型波纹钢门。
Used to call a nearby elevator.,已经呼叫过附近的电梯
A corrugated steel door with fence-like viewing slots.,一扇带有栅栏式猫眼的波纹钢门。
A secure door made of hard corrugated steel.,一扇由坚硬的波纹钢制成的安全门。
An automated device for making fabric by weaving yarn or thread.,通过编织纱线或线来制作织物的自动化设备。
Fountain,喷泉
Clean Medium Fish,清理中型的鱼
Clean Large Fish,清理大型的鱼
Campfire Fish Medium,篝火慢烤鱼（中型）
Campfire Fish Large,篝火慢烤鱼（大型）
Butcher Medium Wooly Animal,加工中型毛茸茸的动物
Tailoring Basic Upgrades,裁缝基础升级
Basic Upgrade that greatly increases efficiency when crafting Tailoring recipes,基础升级可大大提高制作裁缝配方时的效率
Modern Upgrade that greatly increases efficiency when crafting Tailoring recipes,现代升级，可大大提高制作裁缝配方时的效率
"Spun wool that can be used for knitting, weaving, or sewing.",可用于针织、编织或缝制的纺纱羊毛。
"Wool fabric is warm and durable, but it can be slightly itchy.",羊毛织物是温暖而耐用的，但它可能会有轻微的痒。
A dead prairie dog.,一只没有生命迹象的草原犬鼠。
Synthetic thread that has more resistance to abrasion than more natural threads.,合成线，比更多的天然线具有更强的抗磨损性。
A synthetic fabric that is desired for its durability and cheap cost to produce.,一种合成织物，因其耐用性和廉价的生产成本而受到欢迎。
Nylon is a synthetic polymer that can be used as a cheap alternative to more natural textiles.,尼龙是一种合成聚合物，可作为更多天然纺织品的廉价替代品。
A dead marmot.,一只没有生命迹象的土拨鼠。
Cotton fiber that has been processed at a cotton gin and is ready to be used for textiles.,在轧棉机上加工过的、可用于纺织品的棉花纤维。
