English,Dutch
{0} provides you the following {1} here:,{0} provides you the following {1} here:
"{0} is not active, no changes allowed.","{0} is not active, no changes allowed."
Civic Powers,Civic Powers
prevents,voorkomt
"add, remove, or change a {0}","add, remove, or change a {0}"
Must have at least one civic action or civic object specified.,Must have at least one civic action or civic object specified.
all other actions,alle andere acties
change,verander
perform all other actions,perform all other actions
You Planted {0} trees. Last planted tree was: {1},You Planted {0} trees. Last planted tree was: {1}
You have discovered your favorite food. It's {0},You have discovered your favorite food. It's {0}
You have discovered your most disliked food. It's {0},You have discovered your most disliked food. It's {0}
Craving for {0} was satisfied.,Craving for {0} was satisfied.
You harvested 100 farmable items.,You harvested 100 farmable items.
You witnessed the destruction of the meteor with {0} other people. Destruction date {1},You witnessed the destruction of the meteor with {0} other people. Destruction date {1}
Meteor destroyed the world! Destruction date {0},Meteor destroyed the world! Destruction date {0}
The {0} species went extinct.,The {0} species went extinct.
You chopped down your first tree. It was {0} species.,You chopped down your first tree. It was {0} species.
You chopped down 100 trees.,Je hebt 100 bomen omgehakt.
You setup a shop! First item for sale was {0} for {1}.,You setup a shop! First item for sale was {0} for {1}.
You completed your first contract {0},You completed your first contract {0}
You set up currency exchange. Exchange is between {0} and {1},You set up currency exchange. Exchange is between {0} and {1}
You minted First currency: {0}.,You minted First currency: {0}.
"You paid 1000 currency in taxes, in backing-item value. Currency backing value is {0} per {1}.","You paid 1000 currency in taxes, in backing-item value. Currency backing value is {0} per {1}."
{0} has proposed ratification of constitution: {1},{0} has proposed ratification of constitution: {1}
{0} {1} {2} against {3} ,{0} {1} {2} against {3} 
{0} removed from office. Reason: {1},{0} removed from office. Reason: {1}
won the election,won de verkiezingen
lost the election,verloor de verkiezingen
candidate,kandidaat
other participants,andere deelnemers
Weather,Weer
The current weather is {0},The current weather is {0}
The current weather is {0} from {1} to {2},The current weather is {0} from {1} to {2}
The current weather is clear.,The current weather is clear.
Toggle qamode on/off.,Toggle qamode on/off.
"Destination container is missing, clause is ignored","Destination container is missing, clause is ignored"
Commands to aid in debugging.,Commands to aid in debugging.
Trigger a breakpoint.,Trigger a breakpoint.
You successfully gave {0} to {1}.,You successfully gave {0} to {1}.
{0} taught you {1}.,{0} taught you {1}.
You successfully learned {0}.,You successfully learned {0}.
{0} is not discovered by {1}.,{0} is not discovered by {1}.
You have reset all specialities for {0}.,You have reset all specialities for {0}.
{0} has reset all your specialities.,{0} has reset all your specialities.
You have removed talent {0} from {1}.,You have removed talent {0} from {1}.
{0} has removed talent {1} from you.,{0} has removed talent {1} from you.
You have removed talent for {0} from {1}.,You have removed talent for {0} from {1}.
{0} has removed talents for {1} from you.,{0} has removed talents for {1} from you.
You have removed all talents from {0}.,You have removed all talents from {0}.
{0} has removed all talents from you.,{0} has removed all talents from you.
You have been given {0} levels by {1}.,You have been given {0} levels by {1}.
{0} levels have been removed by {1}.,{0} levels have been removed by {1}.
Objects destroyed: {0}.,Objects destroyed: {0}.
{0} may apply for membership in this {1} by performing a civic action on their foundation object.,{0} may apply for membership in this {1} by performing a civic action on their foundation object.
"Until {0} is founded, only the creator {1} may approve applicant {2}.","Until {0} is founded, only the creator {1} may approve applicant {2}."
Applicant {0} may be approved by civic action only (see Civic Action tab).,Applicant {0} may be approved by civic action only (see Civic Action tab).
{0} has approved the {1} of {2} to join the {3} of {4}.,{0} has approved the {1} of {2} to join the {3} of {4}.
{0} is already invited to become a member.,{0} is already invited to become a member.
{0} has already applied to become a member.,{0} has already applied to become a member.
{0} is already a member settlement of {1}.,{0} is already a member settlement of {1}.
{0} has applied to become a member {1} in the {2} of {3}.,{0} has applied to become a member {1} in the {2} of {3}.
The {0} {1} has become a member of the {2} {3}!,The {0} {1} has become a member of the {2} {3}!
{0} was invited to join as a member of the {1} of {2}.,{0} was invited to join as a member of the {1} of {2}.
Settlement Claim Stakes,Settlement Claim Stakes
Settlement Claim Papers,Settlement Claim Papers
Not a member of any {0}.,Not a member of any {0}.
{0} was dissolved!,{0} is opgelost!
{0} founder,{0} stichter
{0} Election Process,{0} verkiezingsproces
Can't claim here.,Can't claim here.
Ratification election '{0}' is in progress but will fail because {1} requirements not met! See status tab.,Ratification election '{0}' is in progress but will fail because {1} requirements not met! See status tab.
Requirements are met and this {0} can be founded at any time.,Requirements are met and this {0} can be founded at any time.
"Requirements not met, this {0} cannot be founded. See status tab.","Requirements not met, this {0} cannot be founded. See status tab."
Requirements not met to found a {0}. Check status tab.,Requirements not met to found a {0}. Check status tab.
You must be an owner to found this settlement.,You must be an owner to found this settlement.
It is not yet founded.,It is not yet founded.
{0} Foundation,{0} Foundation
Found {0},Vond {0}
{0} has been founded!,{0} has been founded!
Already a town on this plot.,Already a town on this plot.
Rebuilt civic powers.,Rebuilt civic powers.
No civic powers found.,No civic powers found.
No {0} found at current pos.,No {0} found at current pos.
Civic Powers of {0} in {1}:,Civic Powers of {0} in {1}:
Create a new town on this plot and add citizens.,Create a new town on this plot and add citizens.
Target settlement not set.,Target settlement not set.
Accept the {0} {1}'s application to become a member of the {2} {3},Accept the {0} {1}'s application to become a member of the {2} {3}
Invite the {0} {1} to become a member of the {2} {3},Invite the {0} {1} to become a member of the {2} {3}
Accept {0}'s invitation for {1} to become a member {2}.,Accept {0}'s invitation for {1} to become a member {2}.
{0} will become a member {1} of {2}.,{0} will become a member {1} of {2}.
It was founded in the election {0}.,It was founded in the election {0}.
It was founded by {0}.,It was founded by {0}.
A {0} of {1}.,A {0} of {1}.
maintain,onderhoud
found,gevonden
{0} has settled within range of {1} and may become a citizen.,{0} has settled within range of {1} and may become a citizen.
{0} is now in range of your property. You may become a citizen at {1}.,{0} is now in range of your property. You may become a citizen at {1}.
This land is claimed in the name of {0}.,This land is claimed in the name of {0}.
Plot must be adjacent to existing plot on {0}.,Plot must be adjacent to existing plot on {0}.
Can't start a claim: this plot is already on the deed {0}.,Can't start a claim: this plot is already on the deed {0}.
"As more citizens join {0}, more property can be claimed in its name.","As more citizens join {0}, more property can be claimed in its name."
"After {0}'s property crisis is resolved, {1} will contribute {2} claims and {3} stakes.","After {0}'s property crisis is resolved, {1} will contribute {2} claims and {3} stakes."
become a resident,become a resident
"{0} power grid(s), containing {1} component(s). {2}","{0} power grid(s), containing {1} component(s). {2}"
Power Grids,Power Grids
Meteor impact in {0},Meteor impact in {0}
Your texture '{0}' will need to be approved before it can be displayed.,Your texture '{0}' will need to be approved before it can be displayed.
Your texture '{0}' has been approved!,Your texture '{0}' has been approved!
User Textures,User Textures
Block the Image.,Block the Image.
Block the image and ban the author.,Block the image and ban the author.
Block all images of the author and ban them.,Block all images of the author and ban them.
Citizen Pictures,Citizen Pictures
New texture has been added and is awaiting approval.,New texture has been added and is awaiting approval.
User is already a reviewer.,User is already a reviewer.
User is not a reviewer.,User is not a reviewer.
What would you like to do?,What would you like to do?
You have kicked {0}.,You have kicked {0}.
Couldn't update the image,Couldn't update the image
{0} has left the game.,{0} has left the game.
"This {0} has the following contracts relying on it, and if you pick it up those contracts will be ignored: {1}{2} {3}Proceed?","This {0} has the following contracts relying on it, and if you pick it up those contracts will be ignored: {1}{2} {3}Proceed?"
"Can't place there, blocked by {0}.","Can't place there, blocked by {0}."
"'{0}' is missing the 'SurfaceMounted' property in the tech tree, or the '{1}' property in the source file if the item is not in the tech tree.","'{0}' is missing the 'SurfaceMounted' property in the tech tree, or the '{1}' property in the source file if the item is not in the tech tree."
Files,Bestanden
{0} must be placed on {1}.,{0} moet geplaatst worden op {1}.
a solid wall,een stevige muur
the ceiling,het plafond
solid ground,stevige grond
{0} is already learned.,{0} is already learned.
Freshness,Frisheid
Durability,Duurzaamheid
Avatar Part,Avatar Part
{0}: {1} plots.,{0}: {1} plots.
(MISSING INFLUENCER ID: {0}),(MISSING INFLUENCER ID: {0})
Spoilage,Bederf
{0} is running. Average Tick: {1:n1}ms. Last Tick: {2:n1}ms. Tick Interval: {3}s.,{0} is running. Average Tick: {1:n1}ms. Last Tick: {2:n1}ms. Tick Interval: {3}s.
Placed on {0}.,Plaats op {0}.
ignored,genegeerd
Select a file before printing.,Selecteer een bestand voor het afdrukken.
Make space for a new picture to be put in the slot.,Make space for a new picture to be put in the slot.
Needs Paper to print a picture on.,Needs Paper to print a picture on.
This seat is occupied.,This seat is occupied.
There are no seats available.,There are no seats available.
none,geen
{0} was opened. Customers will now be able to exchange currencies.,{0} was opened. Customers will now be able to exchange currencies.
{0} was closed. Customers won't be able to exchange currencies.,{0} was closed. Customers won't be able to exchange currencies.
Cannot trade: Currency exchange is not in a valid state. Check the status tab for more details.,Cannot trade: Currency exchange is not in a valid state. Check the status tab for more details.
Cannot trade: Currency exchange is closed.,Cannot trade: Currency exchange is closed.
"{0}, cannot trade.","{0}, cannot trade."
Sell {0} for {1} {2},Sell {0} for {1} {2}
{0} bought {1} from you.,{0} bought {1} from you.
{0} started {1},{0} gestart {1}
Work orders started,Work orders started
"{0} is disabled, and active ratification election '{1}' will fail if it is still disabled upon completion. See status tab.","{0} is disabled, and active ratification election '{1}' will fail if it is still disabled upon completion. See status tab."
"This will draft an election to ratify constitution of the {0} {1}, founding it.","This will draft an election to ratify constitution of the {0} {1}, founding it."
This will draft an election to ratify the constitution.,This will draft an election to ratify the constitution.
"You can attach more civic actions to the election (adding laws, etc) before starting it in the side panel.","You can attach more civic actions to the election (adding laws, etc) before starting it in the side panel."
"{0} is disabled, cannot ratify constitution.  Check status tab.","{0} is disabled, cannot ratify constitution.  Check status tab."
You can add additional provisions to it before starting voting.,You can add additional provisions to it before starting voting.
{0} cannot be copied while {1} is editing it.,{0} cannot be copied while {1} is editing it.
{0} cannot be used while {1} is editing it.,{0} cannot be used while {1} is editing it.
Someone is already editing this proposable.,Someone is already editing this proposable.
Cannot be removed while {0} is editing it.,Cannot be removed while {0} is editing it.
{0} is a core part of {1} and cannot be deleted. It can be modified only.,{0} is a core part of {1} and cannot be deleted. It can be modified only.
This bed is being used by someone else and has no free space.,This bed is being used by someone else and has no free space.
Are you sure you want to remove bed while player is sleeping in it? This is generally considered quite rude and uncouth.,Are you sure you want to remove bed while player is sleeping in it? This is generally considered quite rude and uncouth.
Game Action Accumulator,Game Action Accumulator
{0} added with occupant {1},{0} added with occupant {1}
Create an elected title for debugging and put in a test user.,Create an elected title for debugging and put in a test user.
Area Buff Manager,Area Buff Manager
Failed to add test blueprint item to inventory: {0},Failed to add test blueprint item to inventory: {0}
Blueprint testing commands.,Blueprint testing commands.
Blueprint,Blauwdruk
Generates and returns test blueprint item.,Generates and returns test blueprint item.
This world has unlocked the achievement {0}!,This world has unlocked the achievement {0}!
Current Progress is: {0} / {1},Current Progress is: {0} / {1}
You unlocked an achievement!,Je hebt een prestatie ontgrendelt!
Achievement {0} given to {1}.,Achievement {0} given to {1}.
Removed achievement of type '{0}' from {1}.,Removed achievement of type '{0}' from {1}.
Achievements system is disabled. Please enable Achievements feature in Server UI,Achievements system is disabled. Please enable Achievements feature in Server UI
Name must be between {0} and {1} characters.,Name must be between {0} and {1} characters.
"'{0}' contains profanity, not allowed.","'{0}' contains profanity, not allowed."
Name must be at least {0} characters.,Name must be at least {0} characters.
Name must be less than {0} characters (currently {1} characters).,Name must be less than {0} characters (currently {1} characters).
Name '{0}' already exists.,Naam '{0}' bestaat al.
Name contains profanity.,Name contains profanity.
No Client directory found. Client configs not copied.,No Client directory found. Client configs not copied.
Only managed to place {0} rivers out of {1} requested,Only managed to place {0} rivers out of {1} requested
Failed to place any rivers,Kon geen rivieren plaatsen
The server crashed with error:\n{0},The server crashed with error:\n{0}
Failed to add EBS action handler '{0}': Action handlers must be static.,Failed to add EBS action handler '{0}': Action handlers must be static.
Failed to add EBS action handler '{0}': Missing required first parameter {1},Failed to add EBS action handler '{0}': Missing required first parameter {1}
Failed to add EBS action handler '{0}': Invalid first parameter '{1}'. First parameter must be {2},Failed to add EBS action handler '{0}': Invalid first parameter '{1}'. First parameter must be {2}
Connection to Twitch EBS lost,Connection to Twitch EBS lost
Connection to Twitch EBS established: {0},Connection to Twitch EBS established: {0}
Twitch,Twitch
Attempting to reconnect to Twitch EBS,Attempting to reconnect to Twitch EBS
Subscribed to channel: {0}.,Subscribed to channel: {0}.
Failed to subscribe to channel: {0}.,Failed to subscribe to channel: {0}.
Unsubscribed from channel: {0}.,Unsubscribed from channel: {0}.
Failed to unsubscribe from channel: {0}.,Failed to unsubscribe from channel: {0}.
List of some helpful Twitch debug commands,List of some helpful Twitch debug commands
Forces a Twitch channel subscription with the EBS server,Forces a Twitch channel subscription with the EBS server
Forces the removal of a Twitch channel subscription with the EBS server,Forces the removal of a Twitch channel subscription with the EBS server
Forces all datasets to refresh on the EBS server,Forces all datasets to refresh on the EBS server
Item movement Hotkeys,Item movement Hotkeys
Left-Click,Left-Click
Shelf Life Remaining: {0} {1},Resterende houdbaarheid: {0} {1}
"Your GPU's Max Tessellation Level is less than 64. AMD is the only known GPU manufacturer who doesn't follow the standard and reduces this setting to hack performance in their ""AMD Radeon Software"", setting it to 8 in the default optimized settings. You may experience problems with the Minimap rendering. To fix this, set ""Max Tessellation Level"" to 64 in the software for Eco (explicitly) and restart the game.","Your GPU's Max Tessellation Level is less than 64. AMD is the only known GPU manufacturer who doesn't follow the standard and reduces this setting to hack performance in their ""AMD Radeon Software"", setting it to 8 in the default optimized settings. You may experience problems with the Minimap rendering. To fix this, set ""Max Tessellation Level"" to 64 in the software for Eco (explicitly) and restart the game."
You do not have the ability to perform this Civic Power.,You do not have the ability to perform this Civic Power.
Trade{0}for{1},Ruil{0}voor{1}
Buy{0},Koop{0}
Sell{0},Verkoop{0}
PicturePrinterUI,PicturePrinterUI
Are you sure you would like to open this link in your browser?,Are you sure you would like to open this link in your browser?
This link has not been verified by Strange Loop Games and may be dangerous. Only open links that you know you can trust.,This link has not been verified by Strange Loop Games and may be dangerous. Only open links that you know you can trust.
In inventory only,Enkel in inventaris
(client-side part),(client-side part)
Edit who can review textures,Edit who can review textures
Min{0}{1},Min{0}{1}
Plot is already a part of this deed.,Plot is already a part of this deed.
Start Homestead,Start Homestead
You have {0} playing on this server.,You have {0} playing on this server.
friend,vriend
Achievements:,Prestaties:
Out Of Stock,Niet in voorraad
Accept(Dev Mode),Accepteer(Dev Mode)
Discovered only,Discovered only
You are sending messages too fast. Please try again later,Je stuurt te snel berichten. Probeer het later opnieuw
Being edited by {0} ...,Bewerkt door {0} ...
Attempting to Link Twitch account.,Attempting to Link Twitch account.
Waiting for response from play.eco.,Waiting for response from play.eco.
{0} Your Twitch Account,{0} Je Twitch Account
Unlink,Unlink
fps,fps
You have no arrows in inventory.,Je hebt geen pijlen in je inventaris.
Not enough fuel.,Niet genoeg brandstof.
Error communicating with authorization server,Error communicating with authorization server
Failed to parse login session,Failed to parse login session
Error with server response,Error with server response
You cannot accept an invite while already connecting to a server.,You cannot accept an invite while already connecting to a server.
<size=150%>STOVE Error</size>\r\n\r\nUser doesn't own game on STOVE. Press ok to quit and login with a user that owns the game to play.,<size=150%>STOVE Error</size>\r\n\r\nUser doesn't own game on STOVE. Press ok to quit and login with a user that owns the game to play.
Failed to authenticate with Steam. An unknown error has occured,Failed to authenticate with Steam. An unknown error has occured
Allow {0} to join your game?,Sta {0} toe om mee te spelen?
{0} is inviting you to play.,{0} nodigt je uit om mee te spelen.
Allow Player to Join,Speler toestaan om deel te nemen
Deny,Weigeren
Ignore,Negeren
This plot is unclaimed and you may start a new {0} here.,This plot is unclaimed and you may start a new {0} here.
This plot is adjacent to {0} and can be claimed.,This plot is adjacent to {0} and can be claimed.
This plot is not adjacent to {0} and cannot be claimed.,This plot is not adjacent to {0} and cannot be claimed.
Property Selection,Selectie van onroerend goed
This plot is unclaimed and not a part of any town.,This plot is unclaimed and not a part of any town.
This key is currently assigned to {0}.\nDo you want to assign it here instead?,This key is currently assigned to {0}.\nDo you want to assign it here instead?
"Finished memory profiler snapshot. Saved to ""{0}","Finished memory profiler snapshot. Saved to ""{0}"
Accuracy: {0:0.00},Nauwkeurigheid: {0:0.00}
No Data,Geen data
Close avatar window?,Avatar scherm sluiten?
This can be reopened from settings menu,Dit kan opnieuw geopend worden in de instellingen
Your duties are determined by the ratified Constitution.,Your duties are determined by the ratified Constitution.
\nTo print your chosen image onto a paper you need to put paper in the slot above and click this button.,\nTo print your chosen image onto a paper you need to put paper in the slot above and click this button.
Browse,Browse
"\nSelect a file from your computer to upload,\nFiles can't be larger than specified in server config.","\nSelect a file from your computer to upload,\nFiles can't be larger than specified in server config."
View Government,Zie regering
Sleeping Players,Slapende spelers
Start Ratification Election,Start Ratification Election
High Detail View Distance,High Detail View Distance
Changes the distance at which high quality terrain is rendered.\n\nPerformance impact: High,Changes the distance at which high quality terrain is rendered.\n\nPerformance impact: High
Lock delay,Lock delay
Delay before the tooltip is locked.,Delay before the tooltip is locked.
Tooltip delay,Tooltip delay
The delay before the tooltip appear.,The delay before the tooltip appear.
Allow to use the Chat Hotkey for hiding Chat and Newsfeed,Allow to use the Chat Hotkey for hiding Chat and Newsfeed
Allow Discord Join Requests,Allow Discord Join Requests
"on - Enables support for Discord chat invites and the ""Request to Join"" button. This feature requires ""Enable Discord Rich Presence"" be enabled.\noff - Disables support for Discord chat invites and the ""Request to Join"" button","on - Enables support for Discord chat invites and the ""Request to Join"" button. This feature requires ""Enable Discord Rich Presence"" be enabled.\noff - Disables support for Discord chat invites and the ""Request to Join"" button"
Hide Chat and Newsfeed completely with the Chat Hotkey,Hide Chat and Newsfeed completely with the Chat Hotkey
Chat and Newsfeed will be completely hidden when pressing Chat Hotkey (otherwise they will go into the Passive Mode).,Chat and Newsfeed will be completely hidden when pressing Chat Hotkey (otherwise they will go into the Passive Mode).
Discord\n,Discord\n
Create a new private tab for each player you start a discussion with\r (otherswise common Whispers tab will be used).,Create a new private tab for each player you start a discussion with\r (otherswise common Whispers tab will be used).
Enable lock timer,Enable lock timer
on - Tooltips are locked if the cursor doesn't move for a specified time or if the lock key is pressed.\n\noff - Tooltips are only locked if the lock key is pressed.,on - Tooltips are locked if the cursor doesn't move for a specified time or if the lock key is pressed.\n\noff - Tooltips are only locked if the lock key is pressed.
Eco Twitch Integration,Eco Twitch Integration
on - Enables the Eco Community extension when playing on supported servers.\noff - Disables the Eco Community extension.,on - Enables the Eco Community extension when playing on supported servers.\noff - Disables the Eco Community extension.
Enable Discord Rich Presence,Enable Discord Rich Presence
on - Enables rich presence support in Discord\noff - Disables rich presence support in Discord.,on - Enables rich presence support in Discord\noff - Disables rich presence support in Discord.
Unlock delay,Unlock delay
Delay before the tooltip is unlocked.,Delay before the tooltip is unlocked.
Enable Discord Rich Presence\n,Enable Discord Rich Presence\n
Enable Twitch Integration,Enable Twitch Integration
Chat Zen Mode\n,Chat Zen Mode\n
Enable Avatar view,Enable Avatar view
Face tracking Enabled,Face tracking Enabled
Lipsync,Lipsync
Camera devices,Camera-apparatuur
Calibrate,Calibreren
Invited\n,Uitgenodigd\n
Contracts & Work Parties,Contracts & Work Parties
Texture Reviews,Texture Reviews
"Level of Details determines how good environment (like grass, leaves, etc.) looks in game and how far it is visible.\nAlso affects small animals.\n\nPerformance impact: Average","Level of Details determines how good environment (like grass, leaves, etc.) looks in game and how far it is visible.\nAlso affects small animals.\n\nPerformance impact: Average"
STOCKPILE,VOORRAAD
STORAGE CHEST,OPSLAGKIST
Specialties Held:,Specialties Held:
Professions Held:,Professions Held:
Stars Available:,Sterren beschikbaar:
Textures to Review,Textures to Review
Your Avatar,Jouw Avatar
Prioritize Selected Language,Prioriteit geven aan de geselecteerde taal
Accept All,Accepteer alles
Reviewers,Reviewers
Systems,Systemen
Max Tooltip Cache Size,Max Tooltip Cache Size
"Maximum number of tooltip parts stored in server's cache. Lowering this number can reduce RAM usage, but may impact response time for user's tooltip requests. Changing this setting will take effect after server restart.","Maximum number of tooltip parts stored in server's cache. Lowering this number can reduce RAM usage, but may impact response time for user's tooltip requests. Changing this setting will take effect after server restart."
Add or Remove System Sources.,Add or Remove System Sources.
Track Unremoved World Objects,Track Unremoved World Objects
Tracks the world objects that are still in memory even after removal. Helps to find memory leaks. ,Tracks the world objects that are still in memory even after removal. Helps to find memory leaks. 
Display Name Override,Display Name Override
Original Display Name,Original Display Name
{0} total shelf life by: {1},{0} total shelf life by: {1}
Spawns a corridor-like tunnel that gives entrance to the mines.,Spawns a corridor-like tunnel that gives entrance to the mines.
per {0}m²,per {0}m²
Wanted : ,Wanted : 
For Sale : ,Te koop: 
This {0} no longer exists.,This {0} no longer exists.
Deleted object,Deleted object
Only barter is possible in {0}. The sell cost must be equal or bigger than buy cost.,Only barter is possible in {0}. The sell cost must be equal or bigger than buy cost.
For each citizen perform the following:,For each citizen perform the following:
Unremoved objects: {0},Unremoved objects: {0}
Unremoved components: {0},Unremoved components: {0}
Unremoved component types: {0},Unremoved component types: {0}
Unremoved objects names: {0},Unremoved objects names: {0}
Memory Manager,Memory Manager
Currency exchange tax,Currency exchange tax
Hint,Hint
Total shelf life {0} by {1:P0} due being stored in {2}.,Total shelf life {0} by {1:P0} due being stored in {2}.
increased,verhoogd
decreased,verminderd
"The store owner will benefit by {0} in this trade, proceed anyway?","The store owner will benefit by {0} in this trade, proceed anyway?"
Cached tooltip part strings: {0},Cached tooltip part strings: {0}
Max{0}{1},Max{0}{1}
Press '{0}' to wake up.,Press '{0}' to wake up.
Split Stack/Add Labor (100),Split Stack/Add Labor (100)
"Can't leave vehicle, the way out is blocked.","Can't leave vehicle, the way out is blocked."
Create a new tab.,Create a new tab.
Show hidden tabs.,Show hidden tabs.
Shows a list of available channels on the server and allows you to create a new channel.,Shows a list of available channels on the server and allows you to create a new channel.
There are no founded settlements in existence.,There are no founded settlements in existence.
Press 'E' to wake up.,Press 'E' to wake up.
Set Exhaustion Timer Preference,Set Exhaustion Timer Preference
Add or Remove Channels Source.,Add or Remove Channels Source.
A large lumber door with windows allowing moderate sized vehicles through..,A large lumber door with windows allowing moderate sized vehicles through..
A large lumber door allowing moderate sized vehicles through..,A large lumber door allowing moderate sized vehicles through..
[WIP - No functionality yet]Every hit has a chance of destroying tree stumps and splitting trunks immediately.,[WIP - No functionality yet]Every hit has a chance of destroying tree stumps and splitting trunks immediately.
[WIP - No functionality yet] Allows to pick up debris by hand that costs no calories.,[WIP - No functionality yet] Allows to pick up debris by hand that costs no calories.
Dev,Dev
Couldn't Make Aggregated Message,Couldn't Make Aggregated Message
{0} at {1}.,{0} op {1}.
"Can't calculate wealth of citizen in their own personal currency, because it will always be infinite.","Can't calculate wealth of citizen in their own personal currency, because it will always be infinite."
has at least level {0} of,has at least level {0} of
doesn't have at least level {0} of,doesn't have at least level {0} of
is member of,is member of
is not member of,is not member of
demographic,demografisch
demographics,demografie
Following conditions,Following conditions
are met:,are met:
are not met:,are not met:
condition,voorwaarde
conditions,voorwaarden
Invalid user.,Invalid user.
{0} playtime boost set to {1} hours. Civics tick triggered.,{0} playtime boost set to {1} hours. Civics tick triggered.
"Set a 'boost' that will add to all 'recent playtime' requests for the given player (yourself if null, 2 hours if unset).  Will make players instantly active if set high enough.","Set a 'boost' that will add to all 'recent playtime' requests for the given player (yourself if null, 2 hours if unset).  Will make players instantly active if set high enough."
{0} is not a member of {1},{0} is not a member of {1}
{0} is a member of {1},{0} is a member of {1}
Old,Oud
All Other Privileges,All Other Privileges
SPECIAL RATIFICATION PRIVILEGE,SPECIAL RATIFICATION PRIVILEGE
Commands to aid in physics debugging.,Commands to aid in physics debugging.
Spawn cars for physics testing,Spawn cars for physics testing
"Force the vehicle you are looking at to be underground, you need to be the physics controller of the car.","Force the vehicle you are looking at to be underground, you need to be the physics controller of the car."
There shouldn't be a null object as part of the setting list: \n PlayerName: {0} \n Container.Type: {1} \n Container.ToString(): {2} \n new list items: {3},There shouldn't be a null object as part of the setting list: \n PlayerName: {0} \n Container.Type: {1} \n Container.ToString(): {2} \n new list items: {3}
Initial Setup,Initial Setup
NOT FOUND,NIET GEVONDEN
Failed to create derived type of {0} '{1}'. Class does not have a parameterless constructor.,Failed to create derived type of {0} '{1}'. Class does not have a parameterless constructor.
"{0} chunk block data corrupted, reset to empty blocks. Errors: {1}","{0} chunk block data corrupted, reset to empty blocks. Errors: {1}"
Your store cannot buy items. You must first link an inventory to receive them in the storage component tab of the store.,Your store cannot buy items. You must first link an inventory to receive them in the storage component tab of the store.
Minimum durability: {0},Minimum durability: {0}
Loading local server,Loading local server
Add Labor (500),Add Labor (500)
Add Labor (3000),Add Labor (3000)
Copied to Clipboard: {0},Copied to Clipboard: {0}
Change Opacity of Chat Log when in Transparent Mode.,Change Opacity of Chat Log when in Transparent Mode.
Extent of the observable game world that is seen on the display at any given moment in the first person view.\n\nWarning: High FOV can cause graphical glitches.\n\nPerformance impact: Average,Extent of the observable game world that is seen on the display at any given moment in the first person view.\n\nWarning: High FOV can cause graphical glitches.\n\nPerformance impact: Average
on - Enables rich presence support in Discord.\noff - Disables rich presence support in Discord.,on - Enables rich presence support in Discord.\noff - Disables rich presence support in Discord.
Change Chat text size.,Change Chat text size.
"on - Enables support for Discord chat invites and the ""Request to Join"" button. This feature requires ""Enable Discord Rich Presence"" be enabled.\noff - Disables support for Discord chat invites and the ""Request to Join"" button.","on - Enables support for Discord chat invites and the ""Request to Join"" button. This feature requires ""Enable Discord Rich Presence"" be enabled.\noff - Disables support for Discord chat invites and the ""Request to Join"" button."
You are 1/1 in queue,You are 1/1 in queue
Time in Queue 00:00:00,Time in Queue 00:00:00
's Blast Furnace,'s Blast Furnace
Minimum durability:,Minimum durability:
CLOSED,GESLOTEN
AchievementIcon,AchievementIcon
Max \nDurability:,Max \nDurability:
Buy\nPrice,Buy\nPrice
Immigration Desk,Immigration Desk
Town Foundation,Town Foundation
Country Foundation,Country Foundation
Federation Foundation,Federation Foundation
Town Claim Stake,Town Claim Stake
Country Claim Stake,Country Claim Stake
Copper Plate,Copper Plate
Cotton Lint,Cotton Lint
Flax Trawler Net,Flax Trawler Net
Glass Lens,Glazen lens
Court Chair,Court Chair
Court Table,Court Table
Embassy Desk,Embassy Desk
Galaxy Vase,Galaxy Vase
Glassworks,Glaswerk
Orange Vase,Orange Vase
Outpost Netting,Outpost Netting
Outpost Table,Outpost Table
Plant Vase,Plant Vase
Purple Vase,Purple Vase
Red Vase,Red Vase
Steel Moorage Post,Steel Moorage Post
Stenographers Table,Stenographers Table
Swirl Vase,Swirl Vase
Wooden Moorage Post,Wooden Moorage Post
Property Value,Property Value
Center In District,Center In District
Is the average position in the district? Note that this point may not be on a plot of the deed.,Is the average position in the district? Note that this point may not be on a plot of the deed.
Granted Access,Granted Access
Lost Access,Lost Access
Positive Reputation,Positive Reputation
Negative Reputation,Negative Reputation
Transferred Manually,Transferred Manually
Transferred Using Work Party,Transferred Using Work Party
Cultural,Cultureel
"A 'Residence' deed will apply housing points towards the Character XP mulitplier, split among the residents.","A 'Residence' deed will apply housing points towards the Character XP mulitplier, split among the residents."
Default Slots,Default Slots
Max number of slots allowed on at one time (negative is infinite).,Max number of slots allowed on at one time (negative is infinite).
Number of additional slots allowed beyond Max Connections for users who have been assigned queue priority permissions. Set to -1 for infinite.,Number of additional slots allowed beyond Max Connections for users who have been assigned queue priority permissions. Set to -1 for infinite.
Audible Distance,Audible Distance
Conversational Distance,Conversational Distance
Audio Fade Model,Audio Fade Model
Audio Fade Intensity By Distance,Audio Fade Intensity By Distance
The maximum distance from which a listener can hear a speaking player. Requires restart.,The maximum distance from which a listener can hear a speaking player. Requires restart.
"Controls the range within which a speaker’s audio remains at its original volume, and beyond which the loudness of the voice chat starts to fade out when heard. Requires restart.","Controls the range within which a speaker’s audio remains at its original volume, and beyond which the loudness of the voice chat starts to fade out when heard. Requires restart."
