"STRINGID","Context","English","Gibberish","French","Spanish","German","Korean","BrazillianPortuguese","SimplifedChinese","Russian","Italian","Portuguese","Hungarian","Japanese","Norwegian","Polish","Dutch","Romanian","Danish","Czech","Swedish","Ukrainian","Greek","Arabic","Vietnamese","Turkish"
"DEFAULT","","% of fee\n","","% de frais\n","% de tarifa\n","% der Gebühr\n","요금의 %\n","% de taxa\n","费用 % \n","% от стоимости\n","% dell'imposta\n","% of fee\n","% of fee\n","費用の％\n","% of fee\n","% od podatku\n","% of fee\n","% of fee\n","% of fee\n","% z poplatku\n","% av avgift\n","% від оплати\n","% του τέλους\n","% of fee\n","% of fee\n","ücretin %'si\n"
"DEFAULT","","Contract Tax","","Taxe sur les contrats","Impuesto sobre los Contratos","Vertragssteuer","계약세","Imposto sobre contratos","契税","Налог на договора","Tassa Contratto","Contract Tax","Contract Tax","契約税","Contract Tax","Podatek od umowy","Contract Tax","Contract Tax","Contract Tax","Daň ze zakázek","Contract Tax","Податок на договір","Φόρος Συμβολαίου","Contract Tax","Contract Tax","Kontrat Vergisi"
"DEFAULT","","Treasury\n","","Trésor public\n","Tesorería\n","Staatskasse\n","금고\n","Tesouraria\n","金库\n","Казна\n","Tesoreria\n","Treasury\n","Treasury\n","金庫\n","Treasury\n","Skarbiec\n","Treasury\n","Treasury\n","Treasury\n","Pokladnice\n","Treasury\n","Скарбниця\n","Θησαυροφυλάκιο\n","Treasury\n","Treasury\n","Hazine\n"
"DEFAULT","","per plot, per day.","","par parcelle, par jour.","por parcela, por día.","pro Grundstück, pro Tag.","부지당, 일당.","por lote, por dia.","每块地（每天）。","за участок, в день.","per lotto, al giorno.","per plot, per day.","per plot, per day.","プロットごとの１日あたり","per plot, per day.","na akcję, na dzień.","per plot, per day.","per plot, per day.","per plot, per day.","za pozemek, za den.","per plot, per day.","за ділянку в день.","ανά οικόπεδο, ανά ημέρα.","per plot, per day.","per plot, per day.","arsa başına, günlük."
"DEFAULT","","Taxes","","Taxes","Impuestos","Steuern","세금","Impostos","税","Налоги","Tasse","Taxes","Taxes","税金","Skatt","Podatki","Taxes","Taxes","Taxes","Daně","Taxes","Податки","Φόροι","Taxes","Taxes","Vergiler"
"DEFAULT","","Sales Tax","","Taxe de vente","Impuesto sobre las ventas","Verkaufssteuer","판매세","Imposto Sobre Vendas","销售税","Налог с продаж","Tassa sulle Vendite","Sales Tax","Sales Tax","消費税","Salgsavgift","Podatek od sprzedaży","Sales Tax","Sales Tax","Sales Tax","Prodejní daň","Sales Tax","Податок з продажів","Φόρος Πώλησης","Sales Tax","Sales Tax","Satış Vergisi"
"DEFAULT","","Power Grid","","Réseau électrique","Red de energía","Stromnetz","전력망","Rede de energia","电网","Энергетическая сеть","Griglia Energetica","Power Grid","Power Grid","送電網","Power Grid","Sieć Energetyczna","Power Grid","Power Grid","Power Grid","Energetická síť","Power Grid","Силова мережа","Δίκτυο Ηλεκτρικής Ενέργειας","Power Grid","Power Grid","Güç Şebekesi"
"DEFAULT","","Supply:","","Approvisionnement :","Suministro:","Versorgung:","공급:","Fornecimento:","供应：","Выработка:","Fornitura:","Supply:","Supply:","供給:","Tilbud:","Dostawa:","Aanvoer:","Supply:","Supply:","Dodávka:","Supply:","Припаси:","Προμήθεια:","Supply:","Supply:","Tedarik:"
"DEFAULT","","Demand:","","Demande :","Demanda:","Nachfrage:","수요:","Demanda:","需求：","Потребление:","Domanda:","Demand:","Demand:","需要:","Etterspørsel:","Zapotrzebowanie:","Vraag:","Demand:","Demand:","Požadavek:","Demand:","Потребує:","Ζήτηση:","Demand:","Demand:","İhtiyaç:"
"DEFAULT","","Type:","","Type :","Tipo:","Typ:","유형:","Tipo:","类型：","Тип:","Tipo:","Type:","Type:","タイプ:","Type:","Rodzaj:","Type:","Type:","Type:","Typ:","Type:","Тип:","Τύπος:","Type:","Type:","Tür:"
"DEFAULT","","Current Output:","","Production actuelle :","Salida actual:","Aktuelle Ausgabe:","현재 출력:","Saída atual:","当前输出：","Текущий выход:","Output Corrente:","Current Output:","Current Output:","電流出力:","Current Output:","Aktualne wyjście:","Current Output:","Current Output:","Current Output:","Aktuální výstup:","Current Output:","Поточний вихід:","Τρέχουσα Έξοδος:","Current Output:","Current Output:","Mevcut Üretim:"
"DEFAULT","","Max Output:","","Puissance max :","Salida máxima:","Maximale ausgabe:","최대 출력:","Saída máxima:","最大输出：","Максимальный выход:","Output Massimo:","Max Output:","Max Output:","最大出力:","Max Output:","Maksymalna wydajność:","Max Output:","Max Output:","Max Output:","Maximální výstup:","Max Output:","Максимальний вихід:","Μέγιστη Έξοδος:","Max Output:","Max Output:","Maksimum Üretim:"
"DEFAULT","","Producing Power","","Production d’énergie","Producción de Energía","Erzeugt Strom","전력 생산","Produção de energia","发电","Производит энергию","Produzione Energetica","Producing Power","Producing Power","生産力","Producing Power","Produkcja mocy","Producing Power","Producing Power","Producing Power","Produkuje energii","Producing Power","Виробляє енергію","Παραγωγή Ενέργειας","Producing Power","Producing Power","Üretim Gücü"
"DEFAULT","","Claim","","Réclamation","Reclamar","Beanspruchen","주장","Reivindicar","认领","Застолбить","Reclama","Claim","Claim","請求","Krev inn","Przejmij","Claim","Claim","Claim","Zabrat","Claim","Підтвердити право","Διεκδίκηση","Claim","Claim","İste"
"DEFAULT","","Authorized Consumers","","Utilisateurs autorisés","Clientes autorizados","Autorisierte Nutzer","수권 소비자","Consumidores autorizados","经授权消费者","Авторизованные пользователи","Clienti Autorizzati","Authorized Consumers","Authorized Consumers","認定消費者","Authorized Consumers","Osoby autoryzowane","Authorized Consumers","Authorized Consumers","Authorized Consumers","Povolení spotřebitelé","Authorized Consumers","Авторизовані споживачі","Εξουσιοδοτημένοι Καταναλωτές","Authorized Consumers","Authorized Consumers","Yetkili Tüketiciler"
"DEFAULT","","Powered Network Status","","État du réseau alimenté","Estado de la red eléctrica","Status des stromversorgten Netzwerks","전력이 공급된 네트워크 상태","Estado da Rede Elétrica","供电网络状态","Статус энергетической сети","Stato Rete Alimentata","Powered Network Status","Powered Network Status","動力を与えられたネットワークの状態","Powered Network Status","Stan Sieci Zasilanej","Powered Network Status","Powered Network Status","Powered Network Status","Stav poháněné sítě","Powered Network Status","Стан силової мережі","Κατάσταση Δικτύου","Powered Network Status","Powered Network Status","Başlatılmış Bağlantı Durumu"
"DEFAULT","","Activate!","","Activer !","¡Activar!","Aktivieren!","활성화!","Ativar!","激活！","Включить!","Attiva!","Activate!","Activate!","アクティブにする！","Activate!","Aktywuj!","Activeer!","Activate!","Activate!","Aktivovat!","Aktivera!","Активувати!","Ενεργοποίηση!","تفعيل!","Activate!","Etkinleştir!"
"DEFAULT","","No exchanges offered","","Aucun échange proposé","No se ofrecen intercambios","Keine Austauschangebote angeboten","제공된 교환 없음","Nenhum câmbio oferecido","未提供兑换","Нет предложенного обмена","Nessuno scambio offerto","No exchanges offered","No exchanges offered","提供していない交換","No exchanges offered","Brak ofert wymiany","No exchanges offered","No exchanges offered","No exchanges offered","Žádné nabídnuté výměny","No exchanges offered","Обмін не запропоновано","Δεν προσφέρονται ανταλλαγές","No exchanges offered","No exchanges offered","Hiçbir takas teklifi sunulmadı"
"DEFAULT","","Fuel Supply","","Réserve de Carburant","Suministro de combustible","Kraftstoffversorgung","연료 공급","Combustível fornecido","燃料供应","Источник топлива","Fornitura di Carburante","Fuel Supply","Fuel Supply","燃料を供給","Fuel Supply","Zapas paliwa","Fuel Supply","Fuel Supply","Fuel Supply","Dodávka paliva","Fuel Supply","Поставки палива","Απόθεμα Καυσίμου","Fuel Supply","Fuel Supply","Yakıt Temini"
"DEFAULT","","Craft","","Fabriquer","Fabricar","Herstellen","제작","Fabricar","制作","Изготовить","Fabbricare","Craft","Craft","クラフト","Byggverk","Stwórz","Craft","Craft","Craft","Vytvořit","Craft","Виготовити","Κατασκευή","Craft","Craft","Zanaat"
"DEFAULT","","Craft Coins","","Fabrication de monnaie","Elaborar monedas","Münzen herstellen","코인 제작","Fabricar Moedas","铸造硬币","Чеканить валюту","Crea Monete","Craft Coins","Craft Coins","コインを製作","Craft Coins","Stwórz monety","Craft munten","Craft Coins","Skab Mønter","Vyrazit mince","Craft Coins","Виготовити монети","Κατασκευή Κερμάτων","Craft Coins","Craft Coins","İşlenmiş Paralar"
"DEFAULT","","Coins per Item:","","Pièces par article :","Monedas por objeto:","Münzen pro Gegenstand:","아이템당 코인 수:","Moedas por item:","每项硬币数：","Валюты за предмет:","Monete per Elemento:","Coins per Item:","Coins per Item:","アイテムごとのコイン:","Coins per Item:","Monety za przedmiot:","Coins per Item:","Coins per Item:","Mønter pr. vare:","Mincí za předmět:","Coins per Item:","Монет за предмет:","Κέρματα ανά Αντικείμενο:","Coins per Item:","Coins per Item:","Eşya başına para:"
"DEFAULT","","Currency Settings","","Paramètres monétaires","Ajustes de divisa","Währungseinstellungen","통화 설정","Configurações da Moeda","货币设置","Настройки валюты","Impostazioni Valuta","Currency Settings","Currency Settings","通貨の設定","Valuta innstillinger","Ustawienia waluty","Huidige instellingen","Currency Settings","Møntfods Indstillinger","Nastavení měny","Currency Settings","Налаштування валюти","Ρυθμίσεις Νομισμάτων","Currency Settings","Currency Settings","Para Birimi Ayarları"
"DEFAULT","","Currency Name:","","Nom de la monnaie :","Nombre de divisa:","Währungsname:","통화 이름:","Nome da moeda:","货币名称：","Название валюты:","Nome Valuta:","Currency Name:","Currency Name:","通貨の名前:","Currency Name:","Nazwa waluty:","Huidige naam:","Currency Name:","Møntfods Navn:","Název měny:","Currency Name:","Назва валюти:","Ονομασία Νομίσματος:","اسم العملة:","Currency Name:","Para Birimi İsmi:"
"DEFAULT","","Total in Circulation:","","Total en circulation :","Total en circulación:","Insgesamt im Umlauf:","유통 통화 총량:","Total em circulação:","流通总数：","Всего в обращении:","Totale in Circolazione:","Total in Circulation:","Total in Circulation:","総流通量:","Total in Circulation:","Całkowita liczba w obrocie:","Total in Circulation:","Total in Circulation:","Total i Cirkulation:","Dohromady v součtu:","Total in Circulation:","Загалом у обігу:","Συνολικά σε Κυκλοφορία:","Total in Circulation:","Total in Circulation:","Dolaşımdaki Toplam:"
"DEFAULT","","Add Exchange","","Ajouter un échange","Añadir intercambio","Austausch hinzufügen","교환 추가","Adicionar câmbio","添加兑换","Добавить обмен","Aggiungi Scambio","Add Exchange","Add Exchange","交換を追加する","Add Exchange","Dodaj wymianę","Add Exchange","Add Exchange","Tilføj Udvekslings Mulighed","Přidat Výměnu","Add Exchange","Додати обмін","Προσθήκη Ανταλλαγής","Add Exchange","Add Exchange","Takas Ekle"
"DEFAULT","","In Exchange For","","En échange de","A cambio de","Im Austausch für","교환 대가:","Em câmbio de","交换","В обмен на","In Cambio Di","In Exchange For","In Exchange For","見返りに","In Exchange For","W zamian za","In Exchange For","In Exchange For","I bytte for","In Exchange For","In Exchange For","У обмін на","Σε Αντάλλαγμα Με","In Exchange For","In Exchange For","Takas Karşılığı"
"DEFAULT","","Offering","","Offre","Ofreciendo","Angebot","제안","Oferecendo","提供","Предлагает","Offerta","Offering","Offering","募集","Offering","Oferta","Offering","Offering","Tilbyder","Nabídka","Offering","Пропозиції","Προσφέρεται","Offering","Offering","Teklif"
"DEFAULT","","Owner Balance Restrictions","","Restrictions de solde du propriétaire","Restricciones de balance del propietario","Einschränkungen des Eigentümersaldos","소유자 잔고 제한","Restrições de saldo do proprietário","所有者余额限制","Ограничения баланса владельца","Restrizioni Saldo Proprietario","Owner Balance Restrictions","Owner Balance Restrictions","所有者の残高制限","Owner Balance Restrictions","Ograniczenia dotyczące salda właściciela","Eigenaar balans beperkingen","Owner Balance Restrictions","Ejer Balance Restriktioner","Owner Balance Restrictions","Owner Balance Restrictions","Обмеження балансу власника","Περιορισμοί Ισορροπίας Κατόχου","Owner Balance Restrictions","Owner Balance Restrictions","Sahip Denge Yasaklamaları"
"DEFAULT","","Add Restriction","","Ajouter une restriction","Añadir restricción","Einschränkung hinzufügen","제한 추가","Adicionar restrição","添加限制","Добавить ограничение","Aggiungi Restrizione","Add Restriction","Add Restriction","制限を追加します。","Add Restriction","Dodaj ograniczenie","Add Restriction","Add Restriction","Tilføj Restriktion","Add Restriction","Add Restriction","Додати обмеження","Προσθήκη Περιορισμού","Add Restriction","Add Restriction","Yasaklama Ekle"
"DEFAULT","","Consuming Power","","Consommation de puissance","Consumo de energía","Verbraucht Strom","전력 소모","Consumo de energia","消耗电力","Потребление энергии","Consumando Energia","Consuming Power","Consuming Power","消費電力","Consuming Power","Zużycie energii","Consuming Power","Consuming Power","Forbruger strøm","Spotřebovaná energie","Consuming Power","Споживання енергії","Κατανάλωση Ενέργειας","Consuming Power","Consuming Power","Güç Tüketimi"
"DEFAULT","Customer","Client","","Client","Cliente","Kunde","의뢰인","Cliente","客户","Клиент","Client","Client","Client","クライアント","Klient","Klient","Klant","Client","Klient","Klient","Client","Клієнт","Πελάτης","Client","Client","Müşteri"
"DEFAULT","","Payment:","","Paiement :","Pago:","Zahlung:","지불:","Pagamento:","付款：","Оплата:","Pagamento:","Payment:","Payment:","支払い:","Betaling:","Płatność:","Betaling:","Payment:","Betaling:","Platba:","Payment:","Платіж:","Πληρωμή:","Payment:","Payment:","Ödeme:"
"DEFAULT","","Create Contract\n","","Créer un contrat\n","Crear contrato\n","Vertrag erstellen\n","계약 생성\n","Criar Contrato\n","创建合同\n","Создать договор\n","Crea Contratto\n","Create Contract\n","Create Contract\n","契約を作成する\n","Create Contract\n","Stwórz umowę\n","Create Contract\n","Create Contract\n","Opret Kontrakt\n","Vytvořit zakázku\n","Create Contract\n","Створити договір\n","Δημιουργία Συμβολαίου\n","Create Contract\n","Create Contract\n","Kontrat Yarat\n"
"DEFAULT","","Client:","","Client :","Cliente:","Kunde:","의뢰인:","Cliente:","客户：","Клиент:","Client:","Client:","Client:","クライアント:","Klient:","Klient:","Klant:","Client:","Klient:","Klient:","Client:","Клієнт:","Πελάτης:","Client:","Client:","Müşteri:"
"DEFAULT","","Max\nPressure","","Max\nPression","Presión\nmáx.","Maximaler\nDruck","최대\n압력","Pressão\nMáx.","最大\n压力","Максимальное\nдавление","Massima\nPressione","Max\nPressure","Max\nPressure","最大\n気圧","Max\nPressure","Max\nCiśnienie","Max\nPressure","Max\nPressure","Max\nTryk","Maximální\ntlak","Max\nPressure","Максимальний\nтиск","Μέγιστο\nΠίεση","Max\nPressure","Max\nPressure","Maks\nBasınç"
"DEFAULT","","Authorization Settings:","","Paramètres d’autorisation :","Ajustes de permisos:","Autorisierungseinstellungen:","권한 부여 설정:","Configurações de Autorização:","授权设置：","Настройки разрешений:","Impostazioni d'Autorizzazione:","Authorization Settings:","Authorization Settings:","承認設定:","Authorization Settings:","Ustawienia autoryzacji:","Authorization Settings:","Authorization Settings:","Autorisations Indstillinger:","Nastavení přístupu:","Authorization Settings:","Налаштування авторизації:","Ρυθμίσεις Εξουσιοδότησης:","Authorization Settings:","Authorization Settings:","Yetki Ayarları:"
"DEFAULT","","Max","","Max","Máx.","Max","최대","Máximo","最大","Макс.","Max","Max","Max","最大","Max","Max","Max","Max","Max","Maximální","Max","Макс.","Μέγιστο","Max","Max","En Çok"
"DEFAULT","","Min","","Min","Mín.","Min","최소","Mínimo","最小","Мин.","Min","Min","Min","最小","Min","Min","Min","Min","Min","Minimální","Min","Мін.","Ελάχιστο","Min","Min","En Az"
"DEFAULT","","Clause:","","Clause :","Cláusula:","Klausel:","조항:","Cláusula:","条款：","Предложение:","Clausola:","Clause:","Clause:","句:","Clause:","Postanowienia:","Clause:","Clause:","Klausul:","Ujednání:","Clause:","Умова:","Ρήτρα:","Clause:","Clause:","İşlem:"
"DEFAULT","","to","","à","para","zu","까지","para","至","до","a","to","to","宛先","til","do","naar","to","til","na","to","до","σε","إلى","to","to"
"DEFAULT","","The more balanced your diet, the faster you gain skill points.","","Plus votre alimentation est équilibrée, plus vous gagnez de points de compétences rapidement.","Cuanto más equilibrada sea tu dieta, más rápido ganarás puntos de habilidad.","Je besser und ausgeglichener deine Ernährung, desto schneller bekommst du Fertigkeitspunkte.","식단의 균형이 좋을수록 스킬 포인트 획득이 더 빨라집니다.","Quanto mais equilibrada for sua dieta, mais rápido você ganhará pontos de habilidade.","饮食结构越平衡，技能点数的获取速度越快。","Чем лучше сбалансирована ваша диета, тем быстрее вы получаете очки навыков.","Più è bilanciata la tua dieta, più velocemente guadagni punti abilità.","The more balanced your diet, the faster you gain skill points.","The more balanced your diet, the faster you gain skill points.","よりバランスのとれたあなたの食事療法はより早く、あなたはスキルポイントを得られます","The more balanced your diet, the faster you gain skill points.","Im bardziej zbilansowana dieta, tym szybciej zdobywasz punkty umiejętności.","Hoe meer je dieet in balans is, des te sneller je vaardigheidspunten krijgt.","The more balanced your diet, the faster you gain skill points.","Jo mere balanceret din diet er, jo hurtigere får du færdigheds points.","The more balanced your diet, the faster you gain skill points.","The more balanced your diet, the faster you gain skill points.","Чим більш збалансованою є ваша дієта, тим швидше ви набуваєте очки вмінь.","Όσο πιο ισορροπημένη είναι η διατροφή σου, τόσο πιο γρήγορα κερδίζεις πόντους δεξιότητας.","The more balanced your diet, the faster you gain skill points.","The more balanced your diet, the faster you gain skill points.","Beslenmen ne kadar dengeli olursa, yetenek puanı kazanman o kadar hızlı olur."
"DEFAULT","","The hammer can place different forms of the same material.","","Le marteau peut placer différentes formes du même matériau.","El martillo puede dar diferentes formas al mismo material","Der Hammer kann verschiedene Formen des gleichen Materials platzieren.","망치는 동일한 재료로 다양한 모양을 만들 수 있습니다.","Com o martelo você pode colocar diferentes formas do mesmo material.","锥子可将同种材料打造出不同形状。","При помощи молотка можно строить разные формы используя тот же материал.","Il martello può posizionare diverse forme dello stesso materiale.","The hammer can place different forms of the same material.","The hammer can place different forms of the same material.","ハンマーは、同じ材質の異なるフォームを配置できます。","The hammer can place different forms of the same material.","Młotek może umieszczać różne formy tego samego materiału.","The hammer can place different forms of the same material.","The hammer can place different forms of the same material.","En hammer kan placere forskellige former af det samme materiale.","The hammer can place different forms of the same material.","The hammer can place different forms of the same material.","За допомогою молотка можна створювати різні заготовки з одного і того ж матеріалу.","Το σφυρί μπορεί να τοποθετήσει διαφορετικές μορφές από το ίδιο υλικό.","The hammer can place different forms of the same material.","The hammer can place different forms of the same material.","Çekiç, aynı materyalin farklı formlarını işleyebilir."
"DEFAULT","","Work:","","Travail :","Trabajo:","Arbeit:","작업:","Trabalho:","工作：","Работа:","Lavoro:","Work:","Work:","仕事:","Arbeid:","Praca:","Werk:","Work:","Arbejde:","Práce:","Work:","Робота:","Δουλεύει:","Work:","Work:","İş:"
"DEFAULT","","Width:","","Largeur :","Anchura:","Breite:","너비:","Largura:","宽度：","Ширина:","Larghezza:","Width:","Width:","幅：","Bredde:","Wysokość:","Breedte:","Width:","Bredde:","Výška:","Width:","Ширина:","Πλάτος:","Width:","Width:","Genişlik:"
"DEFAULT","","Wednesday","","Mercredi","Miércoles","Mittwoch","수요일","Quarta-feira","星期三","Среда","Mercoledì","Quarta-feira","Wednesday","水曜日","Onsdag","Środa","Woensdag","Wednesday","Onsdag","Středa","Wednesday","Середа","Τετάρτη","الأربعاء","Wednesday","Çarşamba"
"DEFAULT","","Wake Up","","Se réveiller","Despertar","Aufwachen","기상","Acordar","唤醒","Проснуться","Svegliati","Wake Up","Wake Up","目を覚ます","Våkne Opp","Obudź się","Opstaan","Wake Up","Vågn op","Probudit se","Wake Up","Прокиньтесь","Ξύπνα","Wake Up","Wake Up","Uyan"
"DEFAULT","","Volume:","","Volume :","Volumen:","Volumen:","용량:","Volume:","体积：","Объём:","Volume:","Volume:","Volume:","ボリューム:","Volum:","Głośność:","Volume:","Volume:","Volume:","Hlasitost:","Volume:","Об’єм:","Ένταση Ήχου:","Volume:","Volume:","Hacim:"
"DEFAULT","","Very Low-Very High","","Très faible-Très Haut","Muy bajo - Muy alto","Sehr Niedrig-Sehr Hoch","매우 낮음-매우 높음","Muito Baixo-Muito Alto","极低 - 极高","Очень низкое-Очень высокое","Molto Basso-Molto Alto","Very Low-Very High","Very Low-Very High","非常に低い - 非常に高い","Veldig Lavt-Veldig Høyt","Bardzo niski-Bardzo Wysoki","Very Low-Very High","Very Low-Very High","Meget lavt - Meget højt","Very Low-Very High","Very Low-Very High","Дуже низьке — дуже високе","Πολύ Χαμηλά-Πολύ Υψηλά","Very Low-Very High","Very Low-Very High","Çok Düşük-Çok Yüksek"
"DEFAULT","","Tuesday","","Mardi","Martes","Dienstag","화요일","Terça-feira","星期二","Вторник","Martedì","Terça-feira","Tuesday","火曜日","Tirsdag","Wtorek","Dinsdag","Tuesday","Tirsdag","Úterý","Tuesday","Вівторок","Τρίτη","الثلاثاء","Tuesday","Salı"
"DEFAULT","","To:","","À :","Para:","Zu:","대상:","Para:","至：","Кому:","Per:","To:","To:","宛先:","Til:","Do:","Naar:","To:","Til:","Na:","To:","До:","Σε:","إلى:","To:","Kime:"
"DEFAULT","","To Remove:","","À supprimer :","Para eliminar:","Zu Entfernen:","제거:","Para remover:","要移除：","Убрать:","Per Rimuovere:","To Remove:","To Remove:","削除する:","To Remove:","Do usunięcia:","Te verwijderen:","To Remove:","At Fjerne:","Odstranit:","To Remove:","Для видалення:","Για αφαίρεση:","To Remove:","To Remove:","Silmek İçin:"
"DEFAULT","","To Move:","","À déplacer :","Para mover:","Zu Bewegen:","이동:","Para mover:","要移动：","Переместить:","Per Muovere:","To Move:","To Move:","移動する:","To Move:","Do przemieszczenia:","Te verplaatsen:","To Move:","At Flytte:","Přesunutí:","To Move:","Для переміщення:","Για μετακίνηση:","To Move:","To Move:","Hareket İçin:"
"DEFAULT","","Time Zone: Pacific GMT+8","","Fuseau horaire : Pacifique GMT + 8","Huso horario: Pacífico (GMT+8)","Zeitzone: Pacific GMT + 8","시간대: 태평양 GMT+8","Fuso Horário: Pacífico GMT+8","时区：太平洋时区 标准时间+8","Часовой пояс: Pacific GMT+8","Fuso Orario: Pacifico GMT+8","Time Zone: Pacific GMT+8","Time Zone: Pacific GMT+8","タイム ゾーン: 太平洋 GMT + 8","Time Zone: Pacific GMT+8","Strefa czasowa: Pacific GMT+8","Time Zone: Pacific GMT+8","Time Zone: Pacific GMT+8","Tids Zone: Stillehavet GMT+8","Time Zone: Pacific GMT+8","Time Zone: Pacific GMT+8","Часовий пояс: Тихоокеанський GMT+8","Ζώνη Ώρας: Pacific GMT+8","Time Zone: Pacific GMT+8","Time Zone: Pacific GMT+8","Saat Dilimi: Pasifik GMT+8"
"DEFAULT","","than:","","que :","que:","als:","다음보다:","que:","比：","чем:","di:","than:","than:","より:","than:","niż:","dan:","than:","end:","nežli:","than:","ніж:","από:","than:","than:","than:"
"DEFAULT","","Surface:","","Superficie :","Superficie:","Oberfläche:","표면:","Superfície:","表面：","Поверхность:","Superficie:","Surface:","Surface:","表面:","Surface:","Powierzchnia:","Surface:","Surface:","Overflade:","Povrch:","Surface:","Поверхня:","Επιφάνεια:","Surface:","Surface:","Yüzey:"
"DEFAULT","","Still to Add:","","Manquant :","Falta por añadir:","Noch hinzuzufügen:","여전히 추가:","Ainda para adicionar:","仍要添加：","Осталось добавить:","Ancora da Aggiungere:","Still to Add:","Still to Add:","追加する:","Still to Add:","Nadal do dodania:","Still to Add:","Still to Add:","Stadig at tilføje:","Ještě Přidat:","Still to Add:","Залишилось додати:","Απομένουν για προσθήκη:","Still to Add:","Still to Add:","Eklenmeyi Bekleyen:"
"DEFAULT","","Source:","","Source :","Fuente:","Quelle:","원천:","Fonte:","来源：","Источник:","Fonte:","Source:","Source:","ソース:","Kilde:","Źródło:","Bron:","Source:","Kilde:","Zdroj:","Source:","Джерело:","Πηγή:","Source:","Source:","Kaynak:"
"DEFAULT","","Skill name","","Nom de la compétence","Nombre de habilidad","Fertigkeitsname","스킬 이름","Nome da Habilidade","技能名称","Название навыка","Nome Abilità","Skill name","Skill name","スキル名","Skill name","Nazwa umiejętności","Skill name","Skill name","Færdigheds navn","Název skilu","Skill name","Назва вміння","Ονομασία Δεξιότητας","اسم المهارة","Skill name","Beceri ismi"
"DEFAULT","","Run For Office","","Se présenter aux élections","Postularse para un Cargo","Kandidieren","선거에 출마하기","Concorrer a um cargo","参加推选","Участвовать в выборах","Candidati","Candidatar-Se A Um Cargo","Indulj a választáson","オフィス向けに実行","Still til valg","Kandyduj na urząd","Stel Je Verkiesbaar","Aleargă la birou","Stil Op Til Valg","Kandidovat na post","Försök bli borgmästare","Брати участь","Τρέξε για το Γραφείο","Run For Office","Run For Office","Ofis İçin Adaylığını Koy"
"DEFAULT","","Resource Types:","","Types de ressources :","Tipos de recursos:","Ressourcentypen:","자원 유형:","Tipos de recursos:","资源类型：","Типы ресурсов:","Tipi di Risorsa:","Resource Types:","Resource Types:","リソースの種類:","Resource Types:","Typy zasobów:","Resource Types:","Resource Types:","Ressource typer:","Resource Types:","Resource Types:","Типи ресурсів:","Τύπος Πόρου:","Resource Types:","Resource Types:","Kaynak Türleri:"
"DEFAULT","","Relative Reputation","","Réputation relative","Reputación relativa","Relatives Ansehen","상대 명성","Reputação Relativa","相对声望","Относительная репутация","Reputazione Relativa","Relative Reputation","Relative Reputation","相対的な評価","Relative Reputation","Relatywna reputacja","Relative Reputation","Relative Reputation","Relativt Omdømme","Relative Reputation","Relative Reputation","Відносна репутація","Σχετική Φήμη","Relative Reputation","Relative Reputation","Yakın İtibar"
"DEFAULT","","Recalcuate","","Recalculer","Recalcular","Neuberechnen","다시 계산","Recalcular","重新计算","Пересчитать","Ricalcola","Recalcuate","Recalcuate","再計算する","Recalcuate","Oblicz ponownie","Herbereken","Recalcuate","Genberegn","Přepočítat","Recalcuate","Перерахувати","Επανυπολογισμός","Recalcuate","Recalcuate","Yeniden Hesapla"
"DEFAULT","","Real-time passed:","","Temps réel écoulé :","Tiempo real transcurrido:","Vergangene Echtzeit:","실시간 경과:","Tempo real passado:","实时通过：","Пропущено реального времени:","Tempo reale passato:","Real-time passed:","Real-time passed:","リアルタイム通過:","Real-time passed:","Upływ realnego czasu:","Real-time passed:","Real-time passed:","Realtid passeret:","Real-time passed:","Real-time passed:","В режимі реального часу пройшло:","Πραγματικός χρόνος που πέρασε:","Real-time passed:","Real-time passed:","Geçen Gerçek Zaman:"
"DEFAULT","","Propose Law","","Proposer une loi","Proponer Ley","Gesetz vorschlagen","입법 제안","Propor lei","提出议案","Предложить закон","Proponi Legge","Lei proposta","Javaslatot tesz a jog","法律を提案します。","Foreslå lov","Zaproponuj prawo","Stel Wet Voor","Propuneți Legea","Foreslå Lov","Navrhnout zákon","Föreslå lag","Запропонувати закон","Πρότεινε έναν Νόμο","اقتراح قانون","Propose Law","Kanun Teklif Et"
"DEFAULT","","Property:\n","","Propriété :\n","Propiedad:\n","Grundstück:\n","부지:\n","Propriedade:\n","土地：\n","Собственность:\n","Proprietà:\n","Property:\n","Property:\n","プロパティ: \n","Property:\n","Nieruchomość:\n","Property:\n","Property:\n","Ejendom:\n","Majetek:\n","Property:\n","Власність:\n","Ιδιοκτησία:\n","Property:\n","Property:\n","Mülkiyet:\n"
"DEFAULT","","Property:","","Propriété :","Propiedad:","Grundstück:","부지:","Propriedade:","土地:","Собственность:","Proprietà:","Property:","Property:","プロパティ:","Property:","Własność:","Eigendom:","Property:","Ejendom:","Majetek:","Property:","Власність:","Ιδιοκτησία:","Property:","Property:","Mülkiyet:"
"DEFAULT","","Property\n","","Propriété\n","Propiedad\n","Grundstück\n","부지\n","Propriedade\n","土地\n","Собственность\n","Proprietà\n","Property\n","Property\n","プロパティ\n","Eiendom\n","Nieruchomość\n","Eigendom\n","Property\n","Ejendom\n","Majetek\n","Property\n","Власність\n","Ιδιοκτησία\n","Property\n","Property\n","Mülkiyet\n"
